LISTA,CANDIDATO
GIORGIA MELONI FRATELLI D'ITALIA,ANDREA DE PRIAMO
GIORGIA MELONI FRATELLI D'ITALIA,FRANCESCO FIGLIOMENI
GIORGIA MELONI FRATELLI D'ITALIA,LAVINIA MENNUNI
GIORGIA MELONI FRATELLI D'ITALIA,RACHELE MUSSOLINI
GIORGIA MELONI FRATELLI D'ITALIA,DARIO ANTONIOZZI
GIORGIA MELONI FRATELLI D'ITALIA,NICOLA AZZARITO
GIORGIA MELONI FRATELLI D'ITALIA,FRANCESCA BARBATO
GIORGIA MELONI FRATELLI D'ITALIA,GESSICA BERTOLLINI
GIORGIA MELONI FRATELLI D'ITALIA,ROSARIO CALABRESE
GIORGIA MELONI FRATELLI D'ITALIA,MARINA CANNAVO'
GIORGIA MELONI FRATELLI D'ITALIA,DARIA CASCARANO
GIORGIA MELONI FRATELLI D'ITALIA,GILBERTO CASCIANI
GIORGIA MELONI FRATELLI D'ITALIA,GIAMPAOLO CASTELLANI
GIORGIA MELONI FRATELLI D'ITALIA,LIDIA MARIA GRAZIA CATENA
GIORGIA MELONI FRATELLI D'ITALIA,DOMENICO CERAVOLO
GIORGIA MELONI FRATELLI D'ITALIA,ROBERTO CIPOLLETTI
GIORGIA MELONI FRATELLI D'ITALIA,MARIALISA COMES
GIORGIA MELONI FRATELLI D'ITALIA,ALESSANDRA CONSORTI
GIORGIA MELONI FRATELLI D'ITALIA,FRANCESCO CUOMO
GIORGIA MELONI FRATELLI D'ITALIA,GIULIO DALLE MOLLE
GIORGIA MELONI FRATELLI D'ITALIA,NAICHE DI SALVO
GIORGIA MELONI FRATELLI D'ITALIA,STEFANO ERBAGGI
GIORGIA MELONI FRATELLI D'ITALIA,MAURIZIO ESPOSITO
GIORGIA MELONI FRATELLI D'ITALIA,MARCO FANTAUZZI
GIORGIA MELONI FRATELLI D'ITALIA,FRANCO FORLENZA
GIORGIA MELONI FRATELLI D'ITALIA,DANIELE FUNICELLI
GIORGIA MELONI FRATELLI D'ITALIA,DANIELE GATTANELLA
GIORGIA MELONI FRATELLI D'ITALIA,FULVIO GIULIANO
GIORGIA MELONI FRATELLI D'ITALIA,VALERIO BENITO LIMIDO
GIORGIA MELONI FRATELLI D'ITALIA,UGO MAINOLFI
GIORGIA MELONI FRATELLI D'ITALIA,SIMONA MARCELLINI
GIORGIA MELONI FRATELLI D'ITALIA,MARIACRISTINA MASI
GIORGIA MELONI FRATELLI D'ITALIA,GLORIA MORSELLO
GIORGIA MELONI FRATELLI D'ITALIA,GIOVANNI OTTAVIANO
