SEZIONE,ENRICO MICHETTI,ROSARIO TREFILETTI,LUCA TEODORI,VIRGINIA RAGGI,FRANCESCO GRISOLIA,CRISTINA CIRILLO,FABRIZIO MARRAZZO,MARGHERITA CORRADO,GIAN LUCA GISMONDI,PAOLO BERDINI,GIUSEPPE CIRILLO,PAOLO ORONZO MAGLI,FABIOLA CENCIOTTI,ROBERTO GUALTIERI,CARLO CALENDA,MICAELA QUINTAVALLE,ELISABETTA CANITANO,CARLO PRIOLO,SERGIO IACOMONI,MONICA LOZZI,GILBERTO TROMBETTA,ANDREA BERNAUDO,TOTALE,AFFLUENZA
1,189,0,0,102,0,1,2,0,1,7,1,0,0,154,130,3,0,0,0,0,1,1,592,0.5943775100401606
2,93,0,5,41,0,1,1,0,1,3,0,1,0,98,57,0,3,0,0,1,1,0,306,0.47737909516380655
3,93,0,0,52,0,1,5,0,0,7,0,4,0,112,69,1,4,0,0,0,0,0,348,0.44050632911392407
4,91,0,1,37,0,1,0,0,0,2,0,1,0,74,69,2,2,0,0,1,1,0,282,0.5720081135902637
5,113,1,0,48,0,0,3,1,0,3,0,0,1,144,86,1,7,0,1,2,0,0,411,0.6189759036144579
6,93,1,1,40,0,3,1,0,0,1,0,1,1,135,94,1,1,0,1,0,0,2,376,0.5505124450951684
7,61,1,6,68,0,1,0,0,2,1,0,0,0,204,97,0,7,0,0,2,0,0,450,0.6373937677053825
8,49,2,1,29,0,0,0,1,1,3,0,0,1,51,30,0,0,0,0,1,1,0,170,0.2777777777777778
9,129,0,2,55,1,0,2,0,0,2,1,0,144,81,0,6,0,0,0,5,0,0,428,0.5631578947368421
10,108,0,3,54,0,1,1,0,1,4,0,1,1,148,77,0,5,0,1,0,0,0,405,0.574468085106383
11,109,0,3,44,0,1,0,0,0,1,0,0,1,200,118,0,7,0,0,0,0,0,484,0.5924112607099143
12,87,0,1,36,0,0,1,0,0,2,0,0,1,125,75,2,3,0,0,0,0,0,333,0.506079027355623
13,88,1,2,66,2,3,1,0,0,10,0,0,0,189,83,2,5,0,1,0,1,1,455,0.5410225921521997
14,164,0,1,53,0,0,1,0,0,3,0,0,3,230,156,1,6,0,0,1,1,1,621,0.6253776435045317
15,129,0,2,78,0,1,0,0,0,0,0,0,0,196,112,3,6,0,0,2,0,0,529,0.6004540295119183
16,109,0,2,41,0,0,1,0,0,2,0,0,1,126,89,1,3,0,0,1,0,1,377,0.4973614775725594
17,112,0,2,66,1,3,0,0,1,1,0,0,0,148,121,4,4,0,1,1,2,0,467,0.5436554132712457
18,88,0,1,24,0,1,1,0,1,0,0,0,0,78,131,0,0,0,0,0,0,1,326,0.5821428571428572
19,79,0,1,24,0,1,0,0,0,0,0,0,0,63,80,0,1,0,1,0,2,1,253,0.48007590132827327
20,139,2,3,40,0,0,0,0,0,0,0,0,0,98,176,1,3,0,0,0,0,0,462,0.5796737766624843
21,136,1,2,54,0,1,1,0,1,2,0,0,2,166,144,0,2,0,0,0,2,0,514,0.6068476977567887
22,147,1,2,70,1,1,0,2,2,0,0,0,0,151,145,2,4,4,1,0,0,0,533,0.5749730312837109
23,119,0,3,50,0,3,0,1,1,2,0,0,0,86,96,1,0,0,0,0,0,0,362,0.49725274725274726
24,122,0,0,54,0,2,0,1,1,3,0,1,0,91,88,1,3,0,2,1,2,0,372,0.4487334137515078
25,184,0,7,163,2,1,1,0,2,5,1,0,1,188,84,0,5,0,1,5,0,1,651,0.5512277730736664
26,68,0,0,27,0,0,0,0,0,2,0,0,0,80,57,2,3,0,0,0,0,0,239,0.48380566801619435
27,66,0,1,28,0,0,0,0,0,5,0,0,0,84,98,0,1,0,0,0,0,0,283,0.5349716446124764
28,84,1,5,26,0,2,1,0,0,2,0,1,0,108,153,0,0,0,0,1,3,1,388,0.53077975376197
29,73,1,3,29,0,0,0,0,0,2,1,0,0,185,174,0,2,0,0,0,1,0,471,0.6728571428571428
30,114,0,0,34,0,0,0,1,0,0,0,0,2,140,199,2,1,0,1,1,1,3,499,0.6413881748071979
31,88,0,1,63,0,0,1,0,1,3,1,0,0,172,155,2,11,0,0,0,1,1,500,0.6060606060606061
32,127,0,2,54,0,1,1,0,1,1,0,0,0,157,177,2,11,0,0,0,0,0,534,0.5591623036649215
33,125,0,3,60,0,0,1,0,0,0,0,0,0,164,178,0,4,1,0,1,2,0,539,0.5715800636267232
34,124,0,0,42,0,0,0,0,1,1,1,0,0,165,272,2,1,0,0,0,1,1,611,0.6527777777777778
35,128,0,0,59,2,4,1,0,0,4,1,0,0,186,193,6,1,0,1,0,0,0,586,0.6376496191512514
36,128,0,0,56,0,0,1,0,1,1,0,0,0,161,149,0,4,0,1,1,0,2,505,0.5412647374062165
37,163,0,1,87,1,1,1,0,1,0,0,0,0,132,123,2,3,0,0,0,1,2,518,0.6590330788804071
38,114,0,3,48,0,0,2,0,1,0,0,0,1,110,110,0,3,0,0,0,0,0,392,0.5482517482517483
39,118,0,1,60,0,0,0,0,0,3,0,0,0,147,143,3,1,0,0,0,3,0,479,0.6319261213720316
40,112,0,1,61,0,1,0,0,0,0,1,0,0,147,129,2,3,0,1,0,0,3,461,0.5594660194174758
41,134,0,1,35,0,1,0,0,0,0,0,0,0,151,212,2,2,0,0,1,0,1,540,0.6561360874848117
42,101,0,5,48,0,0,2,0,0,1,0,0,3,115,115,1,1,0,1,0,1,1,395,0.5766423357664233
43,93,0,0,37,0,2,0,0,0,0,0,0,2,86,94,0,1,0,1,2,1,1,320,0.47761194029850745
44,82,2,4,69,0,0,0,0,0,3,0,0,0,109,70,4,2,0,0,2,0,0,347,0.52023988005997
45,100,1,0,36,0,0,2,0,1,2,0,0,0,138,108,1,1,0,0,0,0,2,392,0.5781710914454278
46,125,0,2,37,0,0,0,0,0,4,0,0,0,93,160,1,2,0,0,0,0,2,426,0.6008462623413258
47,92,1,1,61,0,0,0,0,0,0,1,0,0,131,133,1,0,0,2,0,0,0,423,0.5826446280991735
48,131,0,3,46,0,3,0,0,0,0,0,0,0,167,140,1,0,0,0,1,1,1,494,0.6009732360097324
49,102,0,1,81,0,1,0,0,0,2,0,0,0,136,98,2,3,0,0,3,0,6,435,0.5792276964047937
50,107,0,5,60,0,0,0,0,0,3,0,0,0,167,149,0,4,0,0,0,0,4,499,0.6348600508905853
51,118,2,1,60,1,1,0,1,0,0,0,0,0,139,109,1,2,0,1,0,0,1,437,0.5489949748743719
52,129,0,0,46,1,0,0,1,1,0,0,0,4,173,164,2,2,0,0,0,2,2,527,0.6163742690058479
53,117,2,1,47,1,0,1,0,0,1,1,0,0,167,130,1,8,0,4,0,2,0,483,0.5897435897435898
54,148,0,3,57,1,0,0,0,0,8,0,1,0,185,138,2,2,2,0,1,1,0,549,0.6224489795918368
55,83,0,1,38,0,0,1,0,1,0,0,0,0,119,111,1,5,0,0,1,0,0,361,0.5813204508856683
56,131,0,1,24,0,2,0,0,0,1,0,0,3,172,119,0,5,1,0,1,1,1,462,0.5892857142857143
57,111,0,1,52,0,0,0,0,1,0,0,0,1,132,173,0,1,0,0,0,0,0,472,0.6012738853503184
58,125,1,1,55,0,0,0,0,0,4,0,0,0,150,192,2,1,0,0,0,0,0,531,0.6629213483146067
59,114,1,3,40,1,1,1,1,0,3,0,0,0,134,140,1,4,0,0,2,0,1,447,0.6313559322033898
60,116,0,1,71,1,0,3,0,1,2,0,0,0,130,132,0,6,0,0,0,1,1,465,0.5548926014319809
61,97,0,0,39,0,0,0,0,0,1,0,0,0,138,171,0,1,0,0,0,0,0,447,0.6762481089258698
62,126,1,2,55,0,1,1,0,2,6,1,0,1,132,142,1,1,0,1,5,0,1,479,0.6395193591455274
63,143,0,2,61,0,0,1,0,0,2,0,0,1,160,243,1,1,0,0,0,0,0,615,0.6386292834890965
