SEZIONE,MARIO FALCONI,MONICA PICCA,TOTALE,AFFLUENZA,MUNICIPIO
311,259.0,252.0,511.0,0.4247714048212801,10
314,219.0,279.0,498.0,0.4868035190615836,10
842,282.0,198.0,480.0,0.4316546762589928,10
1042,250.0,224.0,474.0,0.42934782608695654,10
1219,203.0,201.0,404.0,0.4606613454960091,10
1560,1.0,3.0,4.0,0.0784313725490196,10
1755,235.0,257.0,492.0,0.47126436781609193,10
1812,107.0,101.0,208.0,0.30998509687034276,10
1813,228.0,203.0,431.0,0.4599786552828175,10
1814,188.0,140.0,328.0,0.44931506849315067,10
1815,235.0,202.0,437.0,0.4463738508682329,10
1816,203.0,136.0,339.0,0.47412587412587415,10
1817,201.0,149.0,350.0,0.4768392370572207,10
1818,172.0,146.0,318.0,0.352549889135255,10
1819,185.0,161.0,346.0,0.39770114942528734,10
1820,172.0,153.0,325.0,0.3627232142857143,10
1821,190.0,174.0,364.0,0.3752577319587629,10
1822,167.0,139.0,306.0,0.3574766355140187,10
1823,237.0,160.0,397.0,0.423692636072572,10
1824,157.0,156.0,313.0,0.39670468948035487,10
1825,136.0,116.0,252.0,0.3351063829787234,10
1826,129.0,143.0,272.0,0.35789473684210527,10
1827,122.0,149.0,271.0,0.3093607305936073,10
1828,139.0,148.0,287.0,0.3164277839029768,10
1829,244.0,232.0,476.0,0.49428868120456904,10
1830,225.0,168.0,393.0,0.4763636363636364,10
1831,187.0,167.0,354.0,0.472,10
1832,189.0,186.0,375.0,0.4550970873786408,10
1833,253.0,148.0,401.0,0.418580375782881,10
1834,178.0,162.0,340.0,0.4166666666666667,10
1835,192.0,153.0,345.0,0.38895152198421645,10
1836,191.0,161.0,352.0,0.4,10
1837,235.0,170.0,405.0,0.4308510638297872,10
1838,195.0,204.0,399.0,0.4318181818181818,10
1839,195.0,153.0,348.0,0.37379162191192267,10
1840,187.0,137.0,324.0,0.33505687693898656,10
1841,194.0,165.0,359.0,0.4024663677130045,10
1842,158.0,161.0,319.0,0.32954545454545453,10
1843,110.0,157.0,267.0,0.30101465614430667,10
1844,88.0,151.0,239.0,0.30445859872611464,10
1845,85.0,119.0,204.0,0.20647773279352227,10
1846,92.0,164.0,256.0,0.2598984771573604,10
1847,229.0,269.0,498.0,0.45231607629427795,10
1848,120.0,171.0,291.0,0.2898406374501992,10
1849,98.0,134.0,232.0,0.2694541231126597,10
1850,144.0,175.0,319.0,0.30821256038647343,10
1851,157.0,148.0,305.0,0.3950777202072539,10
1852,176.0,166.0,342.0,0.45298013245033114,10
1853,205.0,175.0,380.0,0.5177111716621253,10
1854,262.0,143.0,405.0,0.49511002444987773,10
1855,225.0,122.0,347.0,0.46266666666666667,10
1856,278.0,153.0,431.0,0.47676991150442477,10
1857,275.0,163.0,438.0,0.4960362400906002,10
1858,277.0,107.0,384.0,0.48,10
1859,292.0,174.0,466.0,0.516629711751663,10
1860,209.0,187.0,396.0,0.46588235294117647,10
1861,213.0,158.0,371.0,0.41685393258426967,10
1862,118.0,178.0,296.0,0.46984126984126984,10
1863,309.0,197.0,506.0,0.5238095238095238,10
1864,281.0,159.0,440.0,0.4954954954954955,10
1865,182.0,129.0,311.0,0.42544459644322846,10
1866,273.0,230.0,503.0,0.4670380687093779,10
1867,199.0,164.0,363.0,0.4134396355353075,10
1868,154.0,145.0,299.0,0.3424971363115693,10
1869,160.0,119.0,279.0,0.36186770428015563,10
1870,193.0,142.0,335.0,0.41003671970624234,10
1871,235.0,193.0,428.0,0.4592274678111588,10
1872,150.0,114.0,264.0,0.4,10
1873,221.0,148.0,369.0,0.40239912758996726,10
1874,228.0,126.0,354.0,0.39864864864864863,10
1875,260.0,129.0,389.0,0.47671568627450983,10
1876,127.0,149.0,276.0,0.45171849427168576,10
1877,196.0,125.0,321.0,0.43437077131258456,10
1878,219.0,141.0,360.0,0.40358744394618834,10
