SEZIONE,CULTURA E INNOVAZIONE ROMA ECOLOGISTA VIRGINIA RAGGI SINDAC,LISTA CIVICA VIRGINIA RAGGI,PARTITO COMUNISTA MARCO RIZZO,LEGA SALVINI PREMIER,LISTA CIVICA MICHETTI SINDACO,GIORGIA MELONI FRATELLI D'ITALIA,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,PICCA PRESIDENTE,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,POTERE AL POPOLO,IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,REVOLUZIONE CIVICA,CALENDA SINDACO,RICONQUISTARE L'ITALIA,PD PARTITO DEMOCRATICO,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,SINISTRA CIVICA ECOLOGISTA,DEMOS DEMOCRAZIA SOLIDALE - LABORATORIO CIVICO X -,LISTA CIVICA GUALTIERI SINDACO,PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,MOVIMENTO CINQUE STELLE 2050,TOTALE,MUNICIPIO,AFFLUENZA
311,11,16,5,50,3,152,23,8,17,4,2,7,69,0,72,13,6,10,2,22,5,66,563,10,0.4679966749792186
314,4,31,3,58,19,131,13,9,22,2,6,6,57,1,70,7,3,5,1,17,2,71,538,10,0.5259042033235581
842,8,29,6,48,7,114,2,29,9,8,2,5,65,0,68,6,4,33,5,32,2,88,570,10,0.512589928057554
1042,6,26,8,65,13,112,11,13,8,2,4,3,57,2,76,7,4,14,1,12,8,59,511,10,0.4628623188405797
1219,6,20,5,23,13,111,10,8,13,3,0,4,60,0,72,12,3,0,11,17,3,39,433,10,0.49372862029646525
1560,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,17,10,0.3333333333333333
1755,5,23,6,33,25,134,14,10,14,1,5,12,67,0,76,11,2,5,7,19,1,48,518,10,0.49616858237547895
1812,3,13,4,37,6,34,8,10,7,3,0,2,17,1,37,3,5,1,7,6,2,34,240,10,0.35767511177347244
1813,6,11,5,75,16,96,10,6,11,3,2,2,50,2,71,6,2,3,14,24,4,62,481,10,0.5133404482390609
1814,6,12,3,42,9,52,6,4,11,1,1,0,56,3,66,4,0,6,15,16,2,54,369,10,0.5054794520547945
1815,3,14,4,47,15,87,4,12,17,0,2,10,61,4,81,7,5,6,21,17,1,65,483,10,0.4933605720122574
1816,0,8,5,39,11,57,14,7,9,0,2,0,50,6,57,5,0,3,15,19,1,39,347,10,0.4853146853146853
1817,1,0,4,28,7,76,3,4,9,4,0,3,54,0,59,10,4,3,13,23,2,41,348,10,0.47411444141689374
1818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,
1819,4,21,6,63,15,58,4,6,15,4,2,3,33,8,83,7,1,2,13,10,3,50,411,10,0.4724137931034483
1820,0,13,5,60,5,68,3,7,17,2,3,1,32,0,63,4,1,1,8,10,1,59,363,10,0.40513392857142855
1821,8,14,4,47,11,92,14,18,10,2,0,0,30,1,71,6,3,9,6,12,3,62,423,10,0.43608247422680413
1822,7,20,5,46,9,63,11,11,11,3,0,2,27,0,59,4,5,6,18,9,2,74,392,10,0.45794392523364486
1823,8,21,6,42,6,74,7,9,8,0,1,3,44,4,105,7,2,1,18,17,1,69,453,10,0.4834578441835646
1824,6,11,2,48,11,64,3,18,14,1,1,5,29,1,45,6,3,4,9,10,0,53,344,10,0.43599493029150826
1825,3,16,4,45,8,35,4,12,15,3,7,4,39,0,35,2,2,3,13,5,3,39,297,10,0.3949468085106383
1826,6,11,2,48,9,54,6,13,13,4,0,1,22,0,59,6,2,3,6,14,2,52,333,10,0.4381578947368421
1827,1,14,0,69,4,59,2,15,12,3,1,1,16,1,43,2,1,6,11,2,0,44,307,10,0.3504566210045662
1828,3,12,3,58,6,59,6,13,15,2,2,3,32,1,55,6,1,4,12,17,0,47,357,10,0.3936052921719956
1829,4,15,5,47,11,101,3,21,30,3,1,3,66,2,78,9,1,3,20,25,3,53,504,10,0.5233644859813084
1830,5,15,7,61,18,65,9,5,4,1,3,6,40,2,90,7,2,8,15,18,1,47,429,10,0.52
1831,3,13,2,46,9,99,7,9,11,3,1,0,37,2,72,9,1,3,12,9,1,61,410,10,0.5466666666666666
1832,2,8,1,49,11,76,5,16,26,0,2,2,38,1,54,3,2,7,8,34,3,49,397,10,0.4817961165048544
