SEZIONE,GIANLUCA LANZI,DANIELE CATALANO,TOTALE,AFFLUENZA,MUNICIPIO
513,210,150,360,0.6521739130434783,11
1270,181,197,378,0.3783783783783784,11
1298,215,125,340,0.3953488372093023,11
1299,207,124,331,0.4401595744680851,11
1300,157,101,258,0.38622754491017963,11
1301,229,122,351,0.46675531914893614,11
1302,166,113,279,0.44075829383886256,11
1303,212,99,311,0.422554347826087,11
1304,212,143,355,0.4771505376344086,11
1305,179,100,279,0.4279141104294479,11
1306,151,130,281,0.353904282115869,11
1307,233,156,389,0.41339001062699254,11
1309,162,110,272,0.40236686390532544,11
1310,284,165,449,0.47163865546218486,11
1311,179,83,262,0.5783664459161147,11
1312,174,117,291,0.5300546448087432,11
1313,257,144,401,0.524869109947644,11
1314,209,127,336,0.5316455696202531,11
1315,259,132,391,0.5178807947019868,11
1316,248,154,402,0.47183098591549294,11
1317,148,85,233,0.3935810810810811,11
1318,131,129,260,0.33635187580853815,11
1319,193,114,307,0.38616352201257864,11
1320,151,100,251,0.3837920489296636,11
1321,176,93,269,0.477797513321492,11
1322,235,128,363,0.4852941176470588,11
1323,170,94,264,0.42649434571890144,11
1324,128,74,202,0.35130434782608694,11
1325,214,134,348,0.49572649572649574,11
1326,193,119,312,0.4083769633507853,11
1327,183,112,295,0.4244604316546763,11
1328,211,115,326,0.43064729194187584,11
1329,159,92,251,0.4204355108877722,11
1330,134,95,229,0.38945578231292516,11
1331,212,125,337,0.4099756690997567,11
1332,200,136,336,0.41226993865030676,11
1333,88,75,163,0.3319755600814664,11
1334,156,114,270,0.43902439024390244,11
1335,162,84,246,0.42857142857142855,11
1336,168,106,274,0.40412979351032446,11
1337,178,117,295,0.4363905325443787,11
1338,173,143,316,0.4114583333333333,11
1339,175,133,308,0.3751522533495737,11
1340,128,74,202,0.41140529531568226,11
1341,108,88,196,0.33793103448275863,11
1342,101,123,224,0.3328380386329866,11
1343,156,118,274,0.4126506024096386,11
1344,126,85,211,0.31075110456553756,11
1345,106,104,210,0.2608695652173913,11
1346,187,138,325,0.3859857482185273,11
1347,123,113,236,0.3010204081632653,11
1348,215,149,364,0.4057971014492754,11
1349,175,133,308,0.402088772845953,11
1350,196,178,374,0.4034519956850054,11
1351,142,146,288,0.3613550815558344,11
1352,120,96,216,0.34838709677419355,11
1353,103,103,206,0.29640287769784174,11
1354,202,87,289,0.47068403908794787,11
1355,158,107,265,0.40644171779141103,11
1356,220,103,323,0.6117424242424242,11
1357,216,100,316,0.553415061295972,11
1358,228,144,372,0.5006729475100942,11
1359,206,160,366,0.45409429280397023,11
1360,253,145,398,0.5070063694267516,11
1361,259,116,375,0.5230125523012552,11
1362,278,128,406,0.49033816425120774,11
1363,233,124,357,0.4766355140186916,11
1364,147,99,246,0.412751677852349,11
1365,189,79,268,0.464471403812825,11
1366,235,103,338,0.48633093525179855,11
1367,227,133,360,0.48322147651006714,11
1368,255,141,396,0.5294117647058824,11
1369,249,146,395,0.49810844892812106,11
1370,261,103,364,0.5112359550561798,11
1371,223,111,334,0.4489247311827957,11
1372,276,130,406,0.5132743362831859,11
1373,247,207,454,0.5176738882554162,11
1374,318,183,501,0.529039070749736,11
1375,328,162,490,0.5840286054827175,11
1376,293,137,430,0.55198973042362,11
1377,325,135,460,0.5032822757111597,11
1378,238,114,352,0.5050215208034433,11
1379,236,130,366,0.4759427828348505,11
1380,221,163,384,0.5525179856115108,11
1381,222,167,389,0.5613275613275613,11
1382,164,124,288,0.42415316642120765,11
1468,238,127,365,0.4691516709511568,11
1469,198,79,277,0.42484662576687116,11
1470,230,135,365,0.4815303430079156,11
1471,185,151,336,0.44327176781002636,11
1570,219,112,331,0.4962518740629685,11
1571,233,124,357,0.5296735905044511,11
1572,277,165,442,0.48043478260869565,11
1573,260,167,427,0.7679856115107914,11
1575,267,135,402,0.48201438848920863,11
1576,107,82,189,0.33810375670840787,11
1577,290,129,419,0.5469973890339426,11
1578,112,98,210,0.26649746192893403,11
1579,144,152,296,0.3045267489711934,11
1580,109,85,194,0.2840409956076135,11
1581,156,137,293,0.3667083854818523,11
1582,114,101,215,0.2788586251621271,11
1583,115,98,213,0.31981981981981983,11
1584,199,193,392,0.46445497630331756,11
1585,184,117,301,0.3924380704041721,11
1586,154,148,302,0.3932291666666667,11
1587,128,135,263,0.35254691689008044,11
1588,112,106,218,0.34991974317817015,11
1589,172,151,323,0.3385744234800839,11
1590,150,175,325,0.3934624697336562,11
1591,175,197,372,0.3566634707574305,11
1592,214,180,394,0.42872687704026113,11
1593,209,155,364,0.509090909090909,11
