SEZIONE,PARTITO COMUNISTA MARCO RIZZO,LISTA CIVICA VIRGINIA RAGGI,MOVIMENTO CINQUE STELLE 2050,REVOLUZIONE CIVICA,ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD,CALENDA SINDACO,IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,LISTA CIVICA GUALTIERI SINDACO,SINISTRA CIVICA ECOLOGISTA,PD PARTITO DEMOCRATICO,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,DEMOS DEMOCRAZIA SOLIDALE,GIORGIA MELONI FRATELLI D'ITALIA,LEGA SALVINI PREMIER,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,LISTA CIVICA CATALANO PRESIDENTE,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,TOTALE,MUNICIPIO,AFFLUENZA
513,4,27,34,2,1,16,3,17,4,173,2,2,2,123,24,18,2,3,457,11,0.8278985507246377
1270,4,16,58,3,0,22,7,17,3,109,4,3,1,118,42,20,1,11,439,11,0.4394394394394394
1298,6,23,31,2,3,37,1,34,8,68,6,6,13,71,24,13,1,6,353,11,0.4104651162790698
1299,9,20,25,0,4,54,1,37,8,67,7,10,9,64,13,13,2,10,353,11,0.46941489361702127
1300,5,20,34,5,3,40,2,23,8,48,2,13,7,51,24,13,0,3,301,11,0.4505988023952096
1301,5,12,19,1,5,48,0,25,6,94,5,15,9,71,28,14,0,11,368,11,0.48936170212765956
1302,7,17,34,0,2,42,1,22,3,64,3,3,9,60,28,11,0,4,310,11,0.48973143759873616
1303,5,38,23,0,2,44,1,28,8,86,5,8,10,50,25,7,2,3,345,11,0.46875
1304,2,21,20,3,5,54,1,22,7,72,6,7,12,76,41,14,1,9,373,11,0.5013440860215054
1305,5,28,26,0,2,29,2,12,5,78,2,5,5,59,30,20,1,8,317,11,0.48619631901840493
1306,3,27,32,2,2,31,1,17,2,63,1,0,8,74,20,27,2,15,327,11,0.41183879093198994
1307,5,34,33,7,2,49,0,18,12,85,9,7,20,72,38,18,2,6,417,11,0.44314558979808716
1309,2,21,29,0,2,35,1,16,7,53,6,11,11,49,30,12,1,16,302,11,0.4467455621301775
1310,10,29,35,1,6,53,1,32,7,95,9,8,28,92,37,18,3,15,479,11,0.5031512605042017
1311,2,18,20,0,3,36,0,16,14,55,3,9,16,50,22,12,1,6,283,11,0.6247240618101545
1312,1,27,42,2,1,34,0,14,8,55,6,5,9,51,25,8,1,11,300,11,0.546448087431694
1313,4,22,22,2,5,67,1,25,27,86,8,7,8,73,23,14,0,14,408,11,0.5340314136125655
1314,6,19,27,1,10,49,1,22,12,57,7,10,7,64,21,14,0,27,354,11,0.560126582278481
1315,3,26,23,1,4,66,0,30,11,81,11,12,12,61,31,14,0,12,398,11,0.5271523178807948
1316,7,29,23,3,1,17,0,33,20,75,4,5,10,70,38,25,1,13,374,11,0.43896713615023475
1317,1,26,31,2,0,36,1,11,12,44,7,4,10,41,21,9,0,5,261,11,0.4408783783783784
1318,3,8,17,3,1,34,1,19,14,51,2,4,4,75,35,10,1,17,299,11,0.3868046571798189
1319,6,41,36,2,2,41,0,19,4,57,4,8,7,55,31,16,0,15,344,11,0.4327044025157233
1320,4,27,22,2,2,19,2,11,15,47,6,10,8,56,19,12,0,6,268,11,0.40978593272171254
1321,5,32,35,3,3,33,3,23,10,46,4,12,8,47,12,23,1,7,307,11,0.5452930728241563
1322,4,32,35,2,1,55,0,30,14,94,3,6,6,64,21,15,0,9,391,11,0.5227272727272727
1323,5,27,22,5,1,37,0,11,19,64,2,6,4,39,20,9,2,4,277,11,0.44749596122778673
1324,2,21,27,0,5,30,0,27,6,50,4,4,4,36,22,13,1,9,261,11,0.4539130434782609
