SEZIONE,CANDIDATO,PREFERENZE,LISTA,MUNICIPIO
1295,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1296,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1297,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1383,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1384,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1385,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1386,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1387,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1388,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1389,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1390,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1391,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1392,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1393,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1394,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1395,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1396,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1397,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1398,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1399,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1400,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1401,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1402,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1403,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1404,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1405,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1406,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1407,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1408,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1409,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1410,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1411,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1412,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1413,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1414,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1415,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1416,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1417,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1418,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1419,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1420,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1421,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1422,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1423,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1424,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1425,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1426,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1427,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1428,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1429,MONICA SIGISMONDI,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1295,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1296,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1297,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1383,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1384,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1385,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1386,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1387,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1388,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1389,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1390,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1391,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1392,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1393,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1394,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1395,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1396,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1397,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1398,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1399,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1400,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1401,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1402,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1403,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1404,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1405,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1406,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1407,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1408,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1409,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1410,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1411,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1412,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1413,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1414,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1415,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1416,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1417,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1418,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1419,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1420,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1421,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1422,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1423,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1424,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1425,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1426,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1427,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1428,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1429,LIZ GIULIANA ARCE ORTIZ,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1295,GENNARO CICALA,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1296,GENNARO CICALA,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1297,GENNARO CICALA,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1383,GENNARO CICALA,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1384,GENNARO CICALA,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1385,GENNARO CICALA,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1386,GENNARO CICALA,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1387,GENNARO CICALA,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1388,GENNARO CICALA,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1389,GENNARO CICALA,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1390,GENNARO CICALA,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1391,GENNARO CICALA,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1392,GENNARO CICALA,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1393,GENNARO CICALA,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1394,GENNARO CICALA,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1395,GENNARO CICALA,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1396,GENNARO CICALA,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1397,GENNARO CICALA,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1398,GENNARO CICALA,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1399,GENNARO CICALA,0.0,PARTITO COMUNISTA MARCO RIZZO,12
1400,GENNARO CICALA,0.0,PARTITO COMUNISTA MARCO RIZZO,12
