SEZIONE,POTERE AL POPOLO,ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD,PARTITO COMUNISTA MARCO RIZZO,CALENDA SINDACO,REVOLUZIONE CIVICA,RICONQUISTARE L'ITALIA,MOVIMENTO STORICO ROMANO LISTA NERONE,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,SINISTRA CIVICA ECOLOGISTA,PD PARTITO DEMOCRATICO,LISTA CIVICA GUALTIERI SINDACO,DEMOS DEMOCRAZIA SOLIDALE,LEGA SALVINI PREMIER,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,LISTA CIVICA MICHETTI SINDACO,GIORGIA MELONI FRATELLI D'ITALIA,MOVIMENTO CINQUE STELLE 2050,LISTA CIVICA VIRGINIA RAGGI,CULTURA E INNOVAZIONE ROMA ECOLOGISTA VIRGINIA RAGGI SINDAC,IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,TOTALE,MUNICIPIO,AFFLUENZA
1295,10,8,2,89,1,0,2,12,6,21,92,24,9,14,7,8,6,49,24,15,1,0,400,12,0.44493882091212456
1296,9,2,4,40,0,0,0,5,11,12,45,12,12,12,6,2,7,30,15,10,2,1,237,12,0.5074946466809421
1297,6,2,1,18,0,1,0,7,11,12,64,12,5,8,5,11,3,20,17,19,1,0,223,12,0.4607438016528926
1383,12,4,5,80,1,1,0,12,11,23,86,34,12,15,9,23,3,40,15,12,2,0,400,12,0.4914004914004914
1384,12,2,2,86,0,0,0,8,5,15,83,25,4,7,4,11,5,28,10,9,5,0,321,12,0.5358931552587646
1385,4,4,2,53,0,0,0,6,14,15,73,19,15,21,14,13,5,28,11,9,5,1,312,12,0.4992
1386,3,1,3,83,0,2,0,3,9,16,95,23,6,22,6,20,5,59,29,17,7,0,409,12,0.4993894993894994
1387,4,0,4,83,1,0,1,4,8,25,78,23,6,17,5,17,7,50,23,13,2,1,372,12,0.4626865671641791
1388,0,17,4,71,0,0,0,4,19,19,10,62,15,5,7,37,5,13,27,0,1,8,324,12,0.4576271186440678
1389,5,8,3,64,0,0,0,7,16,14,65,21,18,20,9,9,0,40,30,1,14,1,345,12,0.5203619909502263
1390,3,6,6,90,0,1,0,8,11,16,98,34,9,16,3,9,4,35,28,15,2,0,394,12,0.5580736543909348
1391,13,5,4,64,2,0,0,19,13,29,127,43,12,11,4,12,5,57,24,8,1,1,454,12,0.5106861642294713
1392,3,0,5,102,1,0,0,14,6,32,132,45,12,6,5,10,2,48,15,14,1,2,455,12,0.5939947780678851
1393,4,6,0,88,0,1,0,12,9,16,115,48,18,21,7,18,5,53,23,20,6,1,471,12,0.6030729833546735
1394,6,4,4,86,1,0,0,10,13,19,103,71,9,14,3,14,3,50,19,14,5,1,449,12,0.550920245398773
1395,4,2,4,77,1,0,0,22,13,24,123,55,8,20,7,17,8,45,28,4,5,0,467,12,0.6128608923884514
1396,0,0,0,78,0,0,0,4,2,18,98,31,10,13,5,11,6,39,20,18,2,0,355,12,0.5689102564102564
1397,4,3,1,78,0,0,0,8,11,20,130,37,14,18,9,16,10,84,29,19,5,1,497,12,0.567351598173516
1398,3,2,2,84,0,0,0,15,15,7,147,59,19,12,6,12,5,38,19,11,5,3,464,12,0.5714285714285714
1399,8,4,3,56,0,0,1,7,15,14,106,48,15,21,3,18,10,58,29,14,3,0,433,12,0.5306372549019608
1400,2,8,2,89,1,1,1,7,17,14,79,44,8,8,10,9,2,36,15,4,2,0,359,12,0.5644654088050315
1401,0,0,0,62,0,0,0,0,3,10,126,0,0,9,0,0,0,98,0,14,0,0,322,12,0.3659090909090909
1402,0,0,0,107,0,0,0,5,14,20,163,42,10,11,8,14,7,51,24,1,5,0,482,12,0.5421822272215973
1403,14,4,8,71,0,3,1,5,16,15,156,41,8,9,4,12,5,41,21,12,2,2,450,12,0.6040268456375839
1404,7,3,4,110,3,3,0,15,10,31,117,56,6,23,10,28,5,50,24,12,6,1,524,12,0.5509989484752892
1405,4,1,7,67,1,0,10,10,23,153,42,9,11,8,14,7,36,17,5,3,0,6,434,12,0.5703022339027596
1406,2,4,1,82,0,1,0,11,10,15,128,35,21,24,3,12,2,69,25,15,4,5,469,12,0.5616766467065868
1407,4,4,0,69,0,0,0,6,8,14,80,33,7,12,2,11,6,40,14,11,7,0,328,12,0.5714285714285714
1408,4,5,3,54,1,0,0,8,4,14,115,30,9,9,5,12,5,79,19,14,5,0,395,12,0.5571227080394923
1409,6,1,3,46,0,0,0,7,8,14,93,20,31,16,7,13,9,61,23,9,5,1,373,12,0.5
1410,4,5,4,52,0,2,0,8,6,14,104,26,11,17,8,14,6,72,30,17,2,1,403,12,0.47919143876337694
1411,4,4,2,39,0,0,0,5,7,11,89,14,8,15,3,7,3,33,19,9,1,2,275,12,0.492831541218638
1412,3,4,4,66,0,0,2,10,3,11,121,27,7,24,7,10,14,82,28,21,8,0,452,12,0.5189437428243399
1413,6,4,1,68,1,2,0,11,3,14,93,23,2,14,5,20,9,67,36,8,1,1,389,12,0.47094430992736075
1414,4,2,4,85,1,1,0,6,5,12,126,13,4,18,5,15,12,77,29,16,8,1,444,12,0.5454545454545454
1415,2,3,4,29,0,0,0,2,5,8,78,26,12,9,9,13,6,35,12,7,2,1,263,12,0.451114922813036
1416,4,13,7,52,0,1,0,2,7,19,101,32,10,23,8,11,6,54,57,21,4,1,433,12,0.46310160427807484
1417,4,7,2,61,1,0,0,6,7,18,99,26,5,21,7,11,9,39,35,12,2,0,372,12,0.5414847161572053
1418,5,0,2,94,1,1,0,11,7,17,137,45,15,21,11,15,5,57,29,9,2,2,486,12,0.5436241610738255
1419,12,7,0,49,1,0,0,7,7,19,101,23,8,15,4,17,9,62,56,15,5,0,417,12,0.4982078853046595
1420,5,3,5,49,3,0,1,9,8,9,109,31,9,10,9,10,7,57,38,16,6,2,396,12,0.4968632371392723
1421,3,2,6,45,3,0,1,5,7,23,70,17,7,5,5,7,6,41,22,8,7,1,291,12,0.4817880794701987
1422,4,8,5,61,1,2,1,8,8,20,126,20,17,18,6,12,5,67,30,14,5,0,438,12,0.47973713033953996
1423,8,5,3,50,2,2,0,9,8,17,100,15,10,19,3,14,3,54,25,16,2,1,366,12,0.593192868719611
1424,6,14,7,19,1,4,0,3,8,4,87,28,7,16,3,14,7,58,30,14,7,3,340,12,0.3859250851305335
1425,9,3,4,54,2,0,1,5,5,15,98,24,15,17,4,7,7,47,26,9,4,0,356,12,0.46596858638743455
1426,5,5,3,61,3,1,1,7,4,13,125,29,8,13,11,17,1,42,23,11,4,0,387,12,0.602803738317757
1427,7,8,9,81,0,2,1,16,14,23,120,49,12,20,8,10,7,51,22,19,4,0,483,12,0.6075471698113207
1428,9,4,4,66,2,0,0,6,10,26,114,19,12,26,8,8,78,9,48,30,9,1,489,12,0.5303687635574837
1429,14,6,7,56,1,1,0,7,8,31,126,28,10,22,8,19,12,68,46,20,1,1,492,12,0.5899280575539568
1430,3,3,1,75,3,0,2,4,9,18,132,19,3,35,5,3,5,61,36,15,5,2,439,12,0.5406403940886699
1431,3,5,4,69,0,1,0,13,17,29,103,27,11,21,1,9,4,46,31,18,5,0,417,12,0.5186567164179104
1432,8,2,9,46,5,2,0,15,11,19,113,23,6,23,2,15,9,57,26,14,5,3,413,12,0.4975903614457831
1433,0,4,0,52,1,2,0,5,9,20,109,18,11,7,2,5,2,37,21,10,6,0,321,12,0.5602094240837696
1434,5,3,2,55,0,2,0,5,8,20,91,19,13,20,2,17,7,53,33,18,7,1,381,12,0.5148648648648648
