SEZIONE,DANILO BALLANTI,FRANCESCA SEVERI,MARTA MONDAZZI,GABRIELE LAGO,TATIANA MELARAGNI,ELIO TOMASSETTI,PIETRANGELO MASSARO,ALESSANDRO GALLETTI,MASSIMO BOSCHI,FRANCESCA ANNA PERRI,GIULIA PEZZELLA,TOTALE,AFFLUENZA
1295,2.0,94.0,1.0,0.0,2.0,171.0,84.0,46.0,0.0,10.0,9.0,419.0,0.4660734149054505
1296,4.0,46.0,0.0,0.0,0.0,101.0,58.0,29.0,1.0,9.0,3.0,251.0,0.5374732334047109
1297,1.0,18.0,0.0,1.0,0.0,111.0,47.0,38.0,0.0,6.0,2.0,224.0,0.4628099173553719
1383,5.0,81.0,1.0,1.0,0.0,187.0,101.0,29.0,0.0,12.0,4.0,421.0,0.5171990171990172
1384,2.0,96.0,0.0,0.0,0.0,142.0,63.0,24.0,0.0,12.0,2.0,341.0,0.5692821368948247
1385,2.0,54.0,0.0,0.0,0.0,150.0,83.0,26.0,1.0,5.0,4.0,325.0,0.52
1386,3.0,89.0,0.0,2.0,0.0,158.0,119.0,61.0,0.0,4.0,1.0,437.0,0.5335775335775336
1387,4.0,87.0,2.0,0.0,1.0,149.0,99.0,40.0,2.0,3.0,2.0,389.0,0.48383084577114427
1388,4.0,71.0,0.0,0.0,0.0,130.0,87.0,46.0,1.0,8.0,3.0,350.0,0.4943502824858757
1389,3.0,65.0,0.0,0.0,0.0,145.0,89.0,45.0,1.0,5.0,8.0,361.0,0.5444947209653092
1390,7.0,100.0,0.0,1.0,0.0,186.0,71.0,50.0,0.0,4.0,6.0,425.0,0.6019830028328612
1391,4.0,74.0,2.0,0.0,0.0,265.0,99.0,39.0,1.0,13.0,5.0,502.0,0.5646794150731158
1392,5.0,102.0,1.0,0.0,0.0,241.0,71.0,30.0,2.0,3.0,0.0,455.0,0.5939947780678851
1393,0.0,98.0,0.0,1.0,0.0,231.0,109.0,55.0,1.0,4.0,6.0,505.0,0.646606914212548
1394,4.0,96.0,1.0,0.0,0.0,239.0,88.0,43.0,1.0,6.0,4.0,482.0,0.5914110429447853
1395,4.0,83.0,1.0,0.0,0.0,255.0,103.0,42.0,0.0,4.0,2.0,494.0,0.6482939632545932
1396,2.0,87.0,1.0,0.0,0.0,174.0,78.0,46.0,2.0,0.0,0.0,390.0,0.625
1397,1.0,84.0,0.0,0.0,0.0,228.0,141.0,55.0,1.0,4.0,3.0,517.0,0.5901826484018264
