SEZIONE,MARCO GIOVAGNORIO,SABRINA GIUSEPPETTI,TOTALE,AFFLUENZA,MUNICIPIO
1273,117,98,215,0.39090909090909093,13
1722,118,231,349,0.45921052631578946,13
1723,128,256,384,0.5106382978723404,13
1724,121,253,374,0.48508430609597925,13
1725,180,272,452,0.46028513238289204,13
1726,144,225,369,0.4566831683168317,13
1727,186,182,368,0.45714285714285713,13
1728,158,298,456,0.48253968253968255,13
1729,132,250,382,0.412972972972973,13
1731,172,274,446,0.4922737306843267,13
1732,225,308,533,0.5256410256410257,13
1733,186,233,419,0.4569247546346783,13
1734,169,302,471,0.5147540983606558,13
1735,167,267,434,0.5058275058275058,13
1736,166,240,406,0.4921212121212121,13
1737,193,299,492,0.5245202558635395,13
1738,167,306,473,0.5135722041259501,13
1739,191,258,449,0.4822771213748657,13
1740,184,245,429,0.4798657718120805,13
1741,161,275,436,0.49377123442808607,13
1742,178,283,461,0.5133630289532294,13
1743,162,264,426,0.48081264108352145,13
1744,140,244,384,0.46943765281173594,13
1745,161,228,389,0.4675480769230769,13
1746,143,274,417,0.45773874862788144,13
1747,156,241,397,0.4812121212121212,13
1748,178,241,419,0.5048192771084338,13
1749,169,256,425,0.533249686323714,13
1750,229,153,382,0.5093333333333333,13
1751,124,192,316,0.43706777316735823,13
1752,135,208,343,0.4777158774373259,13
1753,123,341,464,0.44317096466093603,13
1754,123,248,371,0.4354460093896714,13
1756,186,326,512,0.5145728643216081,13
1758,187,298,485,0.5425055928411633,13
1759,140,260,400,0.5291005291005291,13
1760,183,256,439,0.5413070283600493,13
1761,156,274,430,0.5263157894736842,13
1763,47,91,138,0.4584717607973422,13
1937,220,269,489,0.5537938844847112,13
1938,200,260,460,0.5162738496071829,13
1939,203,239,442,0.4927536231884058,13
1940,161,284,445,0.5056818181818182,13
1941,138,194,332,0.4486486486486487,13
1942,198,202,400,0.5291005291005291,13
1943,164,217,381,0.503968253968254,13
1944,172,190,362,0.4398541919805589,13
1945,198,253,451,0.5401197604790419,13
1946,211,237,448,0.49393605292171994,13
1947,271,347,618,0.5264054514480409,13
1948,243,318,561,0.5467836257309941,13
1949,213,272,485,0.4736328125,13
1950,246,241,487,0.44678899082568807,13
1951,93,100,193,0.39068825910931176,13
1952,210,231,441,0.44144144144144143,13
1953,254,230,484,0.4212358572671889,13
1954,225,225,450,0.46487603305785125,13
1955,163,169,332,0.34297520661157027,13
1956,153,152,305,0.32831001076426264,13
1957,210,162,372,0.36081474296799226,13
1958,142,170,312,0.3842364532019704,13
1959,237,209,446,0.4518743667679838,13
1960,164,195,359,0.3802966101694915,13
1961,141,164,305,0.3419282511210762,13
1962,188,108,296,0.3238512035010941,13
1963,115,87,202,0.3268608414239482,13
2065,249,127,376,0.4392523364485981,13
2066,160,145,305,0.32275132275132273,13
2067,319,209,528,0.46234676007005254,13
2076,268,208,476,0.4675834970530452,13
2077,264,182,446,0.35424940428911833,13
2086,187,219,406,0.41683778234086244,13
2087,165,201,366,0.4485294117647059,13
2088,150,204,354,0.364572605561277,13
2089,171,201,372,0.4165733482642777,13
2090,207,184,391,0.4448236632536974,13
2091,183,171,354,0.4425,13
2092,172,212,384,0.43194600674915634,13
2093,202,168,370,0.44740024183796856,13
2094,165,182,347,0.43647798742138366,13
2095,223,246,469,0.458455522971652,13
2096,211,187,398,0.3913470993117011,13
2097,140,70,210,0.3684210526315789,13
2098,177,106,283,0.3947001394700139,13
2246,128,166,294,0.44545454545454544,13
2247,100,158,258,0.37664233576642336,13
2248,132,182,314,0.4109947643979058,13
2249,116,151,267,0.4292604501607717,13
2252,95,195,290,0.4940374787052811,13
2259,157,165,322,0.41494845360824745,13
2260,119,177,296,0.4884488448844885,13
2261,117,147,264,0.416403785488959,13
2262,144,173,317,0.5015822784810127,13
2263,146,205,351,0.47950819672131145,13
2264,103,159,262,0.4418212478920742,13
2265,121,215,336,0.45161290322580644,13
2266,130,155,285,0.44461778471138846,13
2267,121,157,278,0.45723684210526316,13
2268,121,126,247,0.4418604651162791,13
2269,148,164,312,0.5182724252491694,13
2270,144,127,271,0.45932203389830506,13
2291,142,202,344,0.4629878869448183,13
2292,132,189,321,0.4900763358778626,13
2293,117,172,289,0.46763754045307443,13
2294,117,157,274,0.43630573248407645,13
2340,125,86,211,0.25953259532595324,13
2341,126,106,232,0.2839657282741738,13
2342,145,153,298,0.34813084112149534,13
2343,44,40,84,0.17721518987341772,13
2344,118,159,277,0.3985611510791367,13
2345,257,189,446,0.4144981412639405,13
2346,277,162,439,0.42745861733203505,13
2533,62,108,170,0.25718608169440244,13
2547,228,261,489,0.40513670256835127,13
2550,214,184,398,0.4061224489795918,13
2586,3,2,5,,13
2594,9,2,11,,13
2595,8,17,25,0.3246753246753247,13
2596,2,1,3,,13
