SEZIONE,MOVIMENTO CINQUE STELLE 2050,LISTA CIVICA VIRGINIA RAGGI,RICONQUISTARE L'ITALIA,PARTITO COMUNISTA MARCO RIZZO,REVOLUZIONE CIVICA,POTERE AL POPOLO,CALENDA SINDACO,LEGA SALVINI PREMIER,GIORGIA MELONI FRATELLI D'ITALIA,LISTA CIVICA MICHETTI SINDACO,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,SINISTRA CIVICA ECOLOGISTA,DEMOS DEMOCRAZIA SOLIDALE,LISTA CIVICA GUALTIERI SINDACO,PD PARTITO DEMOCRATICO,AURELIO IN COMUNE - EUROPA VERDE ECOLOGISTA - ROMA FUTURA,TOTALE,MUNICIPIO,AFFLUENZA
1273,26,31,0,6,3,2,11,35,43,6,22,3,1,2,7,55,2,255,13,0.4636363636363636
1722,18,10,2,5,2,1,67,17,50,4,7,8,11,2,25,41,88,358,13,0.4710526315789474
1723,26,11,2,1,1,6,106,27,30,12,18,6,12,10,27,57,45,397,13,0.5279255319148937
1724,22,15,2,2,0,4,83,12,64,8,14,9,12,3,23,64,51,388,13,0.503242542153048
1725,39,13,0,5,1,7,71,30,93,9,18,12,11,10,31,67,37,454,13,0.4623217922606925
1726,24,20,0,0,0,0,97,28,66,12,17,3,13,2,25,81,23,411,13,0.5086633663366337
1727,30,18,2,3,2,1,81,23,107,7,13,16,3,4,18,50,26,404,13,0.5018633540372671
1728,37,18,1,6,2,4,73,19,82,13,23,12,18,6,31,74,63,482,13,0.5100529100529101
1729,37,27,1,11,4,5,81,24,54,10,7,18,12,9,24,59,45,428,13,0.4627027027027027
1731,34,3,4,8,4,2,105,19,110,16,16,3,11,18,22,107,34,516,13,0.5695364238410596
1732,27,15,0,8,0,4,121,38,119,13,32,10,13,3,33,89,53,578,13,0.5700197238658777
1733,29,20,1,4,0,4,93,34,84,19,21,11,6,4,21,59,33,443,13,0.4830970556161396
1734,22,8,0,1,0,1,127,25,79,9,16,10,10,9,33,78,46,474,13,0.5180327868852459
1735,24,11,1,2,0,4,170,26,70,12,24,8,14,2,22,63,11,464,13,0.5407925407925408
1736,23,8,0,1,0,3,115,22,75,9,16,7,6,4,31,81,13,414,13,0.5018181818181818
1737,31,19,5,5,0,8,105,20,114,7,21,11,17,4,37,91,39,534,13,0.5692963752665245
1738,36,17,1,0,0,0,0,19,78,12,28,9,12,6,42,107,22,389,13,0.4223669923995657
1739,23,18,2,0,0,1,103,31,87,23,31,9,9,9,32,82,32,492,13,0.5284640171858217
1740,22,16,1,2,0,2,106,24,77,35,27,18,12,6,32,65,20,465,13,0.5201342281879194
1741,35,10,0,0,0,0,98,20,65,15,33,9,9,6,29,104,15,448,13,0.507361268403171
1742,21,21,2,5,1,2,99,27,98,9,18,19,10,5,30,110,21,498,13,0.5545657015590201
1743,25,31,2,3,0,6,68,29,74,8,23,6,11,2,24,106,30,448,13,0.5056433408577878
1744,22,10,0,1,0,5,90,19,89,15,12,3,9,8,21,81,41,426,13,0.5207823960880196
1745,28,12,1,4,1,6,75,27,83,11,22,3,4,2,21,87,18,405,13,0.48677884615384615
1746,26,22,0,4,1,5,84,25,71,10,20,7,10,11,25,100,32,453,13,0.4972557628979144
1747,31,20,1,2,0,6,51,30,96,9,18,6,10,3,17,85,30,415,13,0.503030303030303
1748,28,21,1,3,1,0,82,26,90,11,29,9,10,2,22,73,18,426,13,0.5132530120481927
1749,29,15,1,9,2,1,84,27,15,15,13,15,13,5,29,99,10,382,13,0.479297365119197
1750,18,17,0,1,0,2,91,23,14,68,17,10,4,11,26,80,16,398,13,0.5306666666666666
1751,26,19,1,6,1,8,58,22,70,5,7,7,14,4,26,62,6,342,13,0.4730290456431535
1752,26,20,2,7,0,7,87,20,72,10,6,7,5,2,22,69,13,375,13,0.5222841225626741
1753,40,29,1,5,3,10,74,29,79,7,14,3,18,8,34,148,13,515,13,0.4918815663801337
1754,24,11,1,2,0,1,19,29,68,8,9,8,9,27,16,191,8,431,13,0.505868544600939
1756,29,31,2,3,1,4,120,38,76,12,19,10,10,5,27,105,24,516,13,0.5185929648241207
1758,39,17,4,1,0,0,105,32,81,15,21,6,15,5,32,85,38,496,13,0.5548098434004475
1759,30,13,0,4,0,8,72,29,67,3,21,8,9,2,31,76,53,426,13,0.5634920634920635
1760,22,17,3,4,0,8,94,36,87,14,22,8,14,4,18,81,20,452,13,0.5573366214549939
1761,29,12,1,4,1,2,115,16,84,13,23,11,10,4,32,78,17,452,13,0.5532435740514076
1763,10,3,0,1,2,3,29,7,22,3,10,5,2,0,14,23,3,137,13,0.45514950166112955
1937,20,26,0,2,0,3,111,30,112,13,25,9,7,8,19,96,31,512,13,0.579841449603624
1938,41,27,1,8,1,2,87,42,91,5,36,5,10,3,22,77,18,476,13,0.5342312008978676
1939,34,21,2,2,1,1,95,42,94,8,29,5,9,9,26,73,23,474,13,0.5284280936454849
1940,32,25,4,7,1,6,97,25,79,11,27,9,6,3,26,97,29,484,13,0.55
1941,18,13,0,1,1,3,70,33,87,9,17,2,11,3,22,69,22,381,13,0.5148648648648648
1942,23,9,2,1,1,5,62,32,76,10,35,8,6,7,22,69,17,385,13,0.5092592592592593
1943,19,12,0,2,0,5,63,38,89,8,39,6,4,5,21,69,24,404,13,0.5343915343915344
1944,27,20,1,3,0,12,40,50,82,8,22,5,15,2,17,59,23,386,13,0.4690157958687728
1945,29,12,1,6,3,3,65,43,88,10,29,12,16,11,23,84,24,459,13,0.5497005988023952
1946,41,21,1,4,1,4,87,48,92,12,29,5,5,6,21,82,30,489,13,0.5391400220507166
1947,50,49,0,8,8,4,108,55,122,22,35,6,10,2,42,152,24,697,13,0.5936967632027257
1948,34,21,2,1,0,3,110,61,114,12,29,12,3,6,44,126,29,607,13,0.5916179337231969
1949,30,26,1,4,1,4,84,44,93,14,42,7,7,12,27,84,45,525,13,0.5126953125
1950,23,33,0,0,0,0,80,54,113,10,34,8,8,4,30,80,13,490,13,0.44954128440366975
1951,14,16,0,1,0,1,33,22,54,4,18,7,5,5,26,23,4,233,13,0.4716599190283401
1952,54,42,0,13,2,8,48,38,146,8,15,6,5,11,23,94,27,540,13,0.5405405405405406
1953,51,46,0,5,1,4,49,50,157,15,33,8,7,13,19,78,19,555,13,0.4830287206266319
1954,41,24,0,4,0,5,44,49,117,21,36,8,8,22,22,71,20,492,13,0.5082644628099173
1955,50,39,1,5,0,4,42,45,98,15,26,10,2,1,8,52,37,435,13,0.4493801652892562
