SEZIONE,GIUSEPPINA CASTAGNETTA,GIAN CARLO ANTONELLI,ROBERTO STIVALA,FRANCESCO GIULIANO,ANNA ROSATI,CATERINA MONTICONE,MARCO GIOVAGNORIO,SABRINA GIUSEPPETTI,TOTALE,AFFLUENZA
1273,64.0,0.0,6.0,3.0,3.0,11.0,117.0,71.0,275.0,0.5
1722,32.0,2.0,5.0,2.0,1.0,67.0,91.0,175.0,375.0,0.4934210526315789
1723,38.0,2.0,1.0,1.0,8.0,113.0,103.0,159.0,425.0,0.5651595744680851
1724,40.0,3.0,2.0,0.0,4.0,90.0,106.0,165.0,410.0,0.5317769130998703
1725,64.0,0.0,5.0,1.0,8.0,80.0,167.0,163.0,488.0,0.4969450101832994
1726,49.0,1.0,5.0,1.0,7.0,97.0,134.0,154.0,448.0,0.5544554455445545
1727,54.0,2.0,3.0,2.0,1.0,86.0,173.0,108.0,429.0,0.5329192546583851
1728,59.0,1.0,6.0,2.0,5.0,86.0,155.0,208.0,522.0,0.5523809523809524
1729,74.0,1.0,11.0,3.0,6.0,86.0,119.0,161.0,461.0,0.4983783783783784
1731,37.0,4.0,8.0,4.0,2.0,105.0,164.0,192.0,516.0,0.5695364238410596
1732,45.0,0.0,9.0,0.0,4.0,130.0,217.0,196.0,601.0,0.5927021696252466
1733,53.0,1.0,4.0,0.0,4.0,99.0,176.0,132.0,469.0,0.5114503816793893
1734,30.0,0.0,0.0,1.0,1.0,127.0,139.0,176.0,474.0,0.5180327868852459
1735,38.0,1.0,2.0,0.0,4.0,187.0,149.0,124.0,505.0,0.5885780885780886
1736,38.0,0.0,2.0,0.0,3.0,130.0,136.0,143.0,452.0,0.5478787878787879
1737,54.0,5.0,5.0,0.0,8.0,110.0,177.0,202.0,561.0,0.5980810234541578
1738,61.0,3.0,3.0,0.0,10.0,128.0,157.0,203.0,565.0,0.6134636264929425
1739,44.0,2.0,0.0,0.0,1.0,107.0,188.0,172.0,514.0,0.5520945220193341
1740,43.0,1.0,2.0,0.0,3.0,113.0,183.0,139.0,484.0,0.5413870246085011
1741,47.0,5.0,3.0,0.0,1.0,102.0,146.0,177.0,481.0,0.5447338618346546
1742,49.0,2.0,5.0,1.0,2.0,111.0,178.0,191.0,539.0,0.6002227171492205
1743,68.0,2.0,3.0,1.0,6.0,79.0,154.0,181.0,494.0,0.5575620767494357
1744,36.0,0.0,1.0,0.0,5.0,90.0,151.0,167.0,450.0,0.5501222493887531
1745,43.0,1.0,4.0,1.0,6.0,87.0,152.0,144.0,438.0,0.5264423076923077
1746,51.0,0.0,4.0,1.0,5.0,84.0,144.0,186.0,475.0,0.5214050493962679
1747,58.0,1.0,2.0,0.0,7.0,60.0,164.0,150.0,442.0,0.5357575757575758
1748,53.0,1.0,4.0,1.0,0.0,90.0,172.0,133.0,454.0,0.5469879518072289
1749,49.0,1.0,9.0,2.0,1.0,92.0,173.0,168.0,495.0,0.6210790464240903
1750,47.0,0.0,3.0,0.0,3.0,103.0,135.0,141.0,432.0,0.576
1751,55.0,1.0,6.0,3.0,9.0,63.0,111.0,112.0,360.0,0.4979253112033195
1752,48.0,2.0,7.0,0.0,7.0,93.0,121.0,122.0,400.0,0.5571030640668524
1753,80.0,1.0,7.0,5.0,12.0,80.0,136.0,228.0,549.0,0.5243553008595988
1754,41.0,1.0,1.0,0.0,1.0,21.0,132.0,255.0,452.0,0.5305164319248826
1756,69.0,2.0,4.0,1.0,5.0,132.0,160.0,183.0,556.0,0.5587939698492462
1758,63.0,7.0,2.0,0.0,0.0,118.0,165.0,191.0,546.0,0.610738255033557
1759,48.0,0.0,4.0,0.0,9.0,89.0,144.0,175.0,469.0,0.6203703703703703
1760,45.0,3.0,4.0,0.0,9.0,103.0,171.0,140.0,475.0,0.5856966707768188
1761,48.0,1.0,5.0,1.0,2.0,125.0,153.0,141.0,476.0,0.5826193390452876
1763,17.0,0.0,1.0,2.0,3.0,36.0,50.0,48.0,157.0,0.521594684385382
1937,50.0,0.0,2.0,0.0,3.0,118.0,202.0,173.0,548.0,0.6206115515288788
1938,83.0,2.0,9.0,1.0,2.0,89.0,190.0,140.0,516.0,0.5791245791245792
1939,60.0,2.0,2.0,1.0,1.0,102.0,183.0,148.0,499.0,0.5562987736900781
1940,63.0,4.0,8.0,1.0,6.0,100.0,165.0,168.0,515.0,0.5852272727272727
1941,37.0,0.0,1.0,1.0,3.0,76.0,153.0,136.0,407.0,0.55
1942,36.0,2.0,1.0,1.0,5.0,72.0,171.0,124.0,412.0,0.544973544973545
1943,32.0,0.0,2.0,0.0,5.0,67.0,183.0,127.0,416.0,0.5502645502645502
1944,53.0,1.0,4.0,0.0,1.0,44.0,177.0,120.0,400.0,0.48602673147023084
1945,52.0,1.0,7.0,3.0,3.0,68.0,193.0,168.0,495.0,0.592814371257485
1946,67.0,1.0,4.0,1.0,5.0,90.0,188.0,156.0,512.0,0.5644983461962514
1947,108.0,0.0,8.0,8.0,4.0,130.0,240.0,239.0,737.0,0.6277683134582623
1948,63.0,2.0,1.0,0.0,4.0,114.0,236.0,217.0,637.0,0.6208576998050682
1949,69.0,1.0,4.0,1.0,5.0,86.0,203.0,181.0,550.0,0.537109375
1950,63.0,0.0,2.0,1.0,7.0,89.0,230.0,146.0,538.0,0.4935779816513762
1951,30.0,0.0,1.0,0.0,1.0,33.0,105.0,63.0,233.0,0.4716599190283401
1952,105.0,0.0,14.0,2.0,8.0,50.0,224.0,164.0,567.0,0.5675675675675675
1953,97.0,0.0,5.0,1.0,4.0,49.0,263.0,136.0,555.0,0.4830287206266319
1954,85.0,0.0,4.0,0.0,5.0,45.0,243.0,147.0,529.0,0.5464876033057852
1955,106.0,1.0,6.0,1.0,6.0,49.0,203.0,108.0,480.0,0.49586776859504134
1956,85.0,1.0,5.0,1.0,5.0,38.0,186.0,108.0,429.0,0.46178686759956944
1957,92.0,0.0,3.0,0.0,2.0,38.0,237.0,105.0,477.0,0.4626576139670223
1958,95.0,0.0,4.0,1.0,5.0,45.0,161.0,100.0,411.0,0.5061576354679803
1959,26.0,0.0,1.0,1.0,0.0,19.0,15.0,10.0,72.0,0.0729483282674772
1960,103.0,0.0,3.0,0.0,2.0,25.0,176.0,124.0,433.0,0.4586864406779661
1961,83.0,1.0,2.0,0.0,3.0,35.0,177.0,102.0,403.0,0.4517937219730942
1962,62.0,0.0,3.0,1.0,1.0,31.0,201.0,82.0,381.0,0.41684901531728663
1963,29.0,2.0,7.0,0.0,4.0,21.0,118.0,66.0,247.0,0.39967637540453077
2065,59.0,0.0,0.0,0.0,1.0,26.0,282.0,92.0,460.0,0.5373831775700935
2066,77.0,4.0,3.0,0.0,5.0,25.0,173.0,94.0,381.0,0.4031746031746032
2067,76.0,1.0,1.0,1.0,2.0,55.0,339.0,134.0,609.0,0.5332749562171629
2076,164.0,1.0,8.0,1.0,10.0,37.0,275.0,148.0,644.0,0.6326129666011788
2077,136.0,2.0,3.0,2.0,3.0,37.0,268.0,119.0,570.0,0.4527402700555997
2086,129.0,1.0,6.0,0.0,4.0,44.0,197.0,133.0,514.0,0.5277207392197125
2087,90.0,1.0,4.0,1.0,1.0,23.0,183.0,125.0,428.0,0.5245098039215687
2088,128.0,3.0,6.0,0.0,6.0,31.0,145.0,146.0,465.0,0.4788877445932029
2089,94.0,0.0,0.0,0.0,2.0,22.0,194.0,156.0,468.0,0.5240761478163494
2090,82.0,0.0,9.0,0.0,3.0,44.0,216.0,121.0,475.0,0.540386803185438
2091,73.0,1.0,4.0,2.0,1.0,41.0,199.0,121.0,442.0,0.5525
2092,90.0,1.0,2.0,0.0,2.0,21.0,176.0,138.0,430.0,0.48368953880764903
2093,73.0,1.0,6.0,0.0,3.0,27.0,206.0,112.0,428.0,0.5175332527206772
2094,115.0,3.0,4.0,2.0,4.0,34.0,158.0,108.0,428.0,0.5383647798742138
2095,98.0,0.0,12.0,1.0,4.0,43.0,234.0,165.0,557.0,0.544477028347996
2096,115.0,0.0,7.0,0.0,4.0,14.0,258.0,138.0,536.0,0.5270403146509341
2097,34.0,4.0,0.0,1.0,0.0,13.0,163.0,64.0,279.0,0.48947368421052634
2098,63.0,0.0,1.0,3.0,5.0,29.0,185.0,88.0,374.0,0.5216178521617852
2246,55.0,1.0,2.0,2.0,3.0,32.0,142.0,101.0,338.0,0.5121212121212121
2247,64.0,0.0,7.0,2.0,4.0,40.0,123.0,101.0,341.0,0.4978102189781022
2248,68.0,3.0,11.0,2.0,1.0,47.0,141.0,103.0,376.0,0.49214659685863876
2249,52.0,0.0,14.0,0.0,1.0,40.0,131.0,76.0,314.0,0.5048231511254019
2252,48.0,1.0,2.0,2.0,1.0,28.0,99.0,117.0,298.0,0.5076660988074957
2259,54.0,1.0,6.0,2.0,5.0,43.0,133.0,118.0,362.0,0.46649484536082475
2260,61.0,2.0,3.0,0.0,4.0,55.0,133.0,98.0,356.0,0.5874587458745875
2261,36.0,3.0,3.0,0.0,2.0,36.0,141.0,94.0,315.0,0.4968454258675079
2262,73.0,9.0,4.0,0.0,2.0,40.0,159.0,108.0,395.0,0.625
2263,61.0,8.0,8.0,0.0,6.0,46.0,167.0,120.0,416.0,0.5683060109289617
2264,40.0,0.0,10.0,1.0,3.0,50.0,123.0,99.0,326.0,0.5497470489038786
2265,69.0,2.0,6.0,2.0,6.0,47.0,127.0,133.0,392.0,0.5268817204301075
