SEZIONE,MARCO DELLA PORTA,DOMENICO NASO,TOTALE,AFFLUENZA,MUNICIPIO
1308,105.0,144.0,249.0,0.3401639344262295,14
1624,228.0,203.0,431.0,0.7922794117647058,14
1730,38.0,78.0,116.0,0.1318181818181818,14
1783,384.0,159.0,543.0,0.5365612648221344,14
1784,333.0,158.0,491.0,0.523454157782516,14
1785,393.0,216.0,609.0,0.5300261096605744,14
1786,392.0,146.0,538.0,0.5369261477045908,14
1787,334.0,187.0,521.0,0.5163528245787908,14
1788,359.0,148.0,507.0,0.5728813559322034,14
1789,327.0,163.0,490.0,0.5420353982300885,14
1790,293.0,216.0,509.0,0.5605726872246696,14
1791,344.0,189.0,533.0,0.5298210735586482,14
1792,304.0,244.0,548.0,0.545273631840796,14
1793,343.0,190.0,533.0,0.5164728682170543,14
1794,307.0,193.0,500.0,0.5241090146750524,14
1795,360.0,206.0,566.0,0.5532746823069403,14
1796,300.0,213.0,513.0,0.5366108786610879,14
1797,345.0,192.0,537.0,0.6013437849944009,14
1798,318.0,193.0,511.0,0.5120240480961924,14
1799,270.0,183.0,453.0,0.5316901408450704,14
1800,295.0,176.0,471.0,0.5772058823529411,14
1801,305.0,190.0,495.0,0.5357142857142857,14
1802,289.0,183.0,472.0,0.565947242206235,14
1803,351.0,191.0,542.0,0.5827956989247312,14
1804,382.0,202.0,584.0,0.5770750988142292,14
1805,333.0,172.0,505.0,0.5276907001044933,14
1806,276.0,256.0,532.0,0.5570680628272251,14
1807,295.0,191.0,486.0,0.5175718849840255,14
1808,342.0,190.0,532.0,0.54341164453524,14
1809,175.0,109.0,284.0,0.46787479406919275,14
1810,320.0,188.0,508.0,0.8025276461295419,14
1811,145.0,109.0,254.0,0.43717728055077454,14
1933,197.0,179.0,376.0,0.3411978221415608,14
2078,224.0,176.0,400.0,0.3325020781379884,14
2079,221.0,209.0,430.0,0.3656462585034014,14
2080,183.0,193.0,376.0,0.3010408326661329,14
2081,265.0,245.0,510.0,0.4031620553359684,14
