SEZIONE,PARTITO COMUNISTA MARCO RIZZO,PD PARTITO DEMOCRATICO,DEMOS DEMOCRAZIA SOLIDALE,LISTA CIVICA GUALTIERI SINDACO,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,SINISTRA CIVICA ECOLOGISTA,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,LISTA CIVICA MICHETTI SINDACO,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,LEGA SALVINI PREMIER,GIORGIA MELONI FRATELLI D'ITALIA,MOVIMENTO CINQUE STELLE 2050,LISTA CIVICA VIRGINIA RAGGI,LIBERISTI ITALIANI,RICONQUISTARE L'ITALIA,ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD,REVOLUZIONE CIVICA,CALENDA SINDACO,POTERE AL POPOLO,TOTALE,MUNICIPIO,AFFLUENZA
1308,4,47,2,11,1,3,3,28,8,9,25,69,47,16,0,0,0,0,5,2,280,14,0.3825136612021858
1624,6,132,3,15,7,4,7,28,18,9,37,131,45,63,1,0,0,1,23,4,534,14,0.9816176470588235
1730,2,15,0,5,4,1,1,26,7,1,8,41,20,10,0,0,0,0,3,0,144,14,0.16363636363636364
1783,1,160,2,27,22,15,7,18,11,8,33,75,30,11,1,0,0,2,141,8,572,14,0.5652173913043478
1784,3,109,9,45,15,6,9,16,11,9,21,87,28,12,0,0,13,0,118,3,514,14,0.5479744136460555
1785,8,159,2,49,19,10,7,27,12,9,26,106,29,12,1,2,2,2,144,8,634,14,0.5517841601392516
1786,5,164,11,50,15,8,5,19,11,2,22,65,36,16,0,4,5,2,133,3,576,14,0.5748502994011976
1787,3,135,1,24,36,11,7,25,10,13,22,106,28,11,1,0,0,0,119,4,556,14,0.5510406342913776
1788,1,128,19,32,43,13,8,20,8,7,29,65,16,8,2,0,3,1,129,1,533,14,0.6022598870056497
1789,0,128,7,21,20,1,4,17,6,8,22,89,34,13,1,0,0,1,119,1,492,14,0.5442477876106194
1790,2,114,5,28,11,14,2,18,18,14,32,115,22,19,1,5,2,0,131,1,554,14,0.6101321585903083
1791,3,132,3,48,18,15,8,19,8,9,30,100,16,11,2,1,3,0,142,6,574,14,0.5705765407554672
1792,4,111,6,37,15,8,6,31,16,11,35,149,21,11,0,0,2,1,131,3,598,14,0.5950248756218905
1793,3,128,3,40,9,10,3,25,16,12,36,99,22,6,3,1,2,1,169,5,593,14,0.5746124031007752
1794,7,133,4,27,27,9,8,13,12,2,29,109,19,9,1,2,2,1,113,4,531,14,0.5566037735849056
1795,2,147,4,27,17,14,6,26,11,6,44,109,15,4,0,0,7,3,182,3,627,14,0.6129032258064516
1796,3,129,9,24,23,9,3,19,15,11,64,103,14,4,2,0,4,1,128,3,568,14,0.5941422594142259
1797,4,122,5,32,12,14,6,19,13,6,37,102,19,12,4,0,2,2,140,5,556,14,0.6226203807390818
1798,3,112,4,40,20,14,4,24,11,8,28,99,21,7,1,0,2,0,128,4,530,14,0.531062124248497
1799,4,100,8,18,20,13,6,24,16,6,52,87,8,8,2,0,3,2,132,3,512,14,0.6009389671361502
1800,3,115,9,20,16,1,7,13,14,6,53,74,12,15,2,1,3,0,114,2,480,14,0.5882352941176471
1801,3,109,2,30,16,6,7,26,11,9,40,94,14,9,0,0,2,0,138,2,518,14,0.5606060606060606
1802,1,170,28,4,6,18,6,23,5,78,12,43,10,2,3,0,0,0,106,0,515,14,0.617505995203837
1803,6,129,5,18,20,7,9,25,12,10,31,77,25,13,1,0,0,2,113,5,508,14,0.546236559139785
1804,3,163,14,36,24,9,8,29,23,4,38,94,11,8,1,2,2,1,150,3,623,14,0.6156126482213439
1805,2,127,13,35,20,7,6,28,10,13,44,84,8,12,0,1,3,1,145,4,563,14,0.5882967607105538
1806,2,92,7,30,24,5,4,42,20,9,63,104,17,15,0,0,1,2,149,1,587,14,0.6146596858638743
1807,0,124,4,16,12,8,5,45,10,16,28,119,25,13,4,2,1,1,129,5,567,14,0.6038338658146964
1808,7,127,2,32,19,11,7,27,11,11,50,81,20,6,1,2,5,1,146,3,569,14,0.5812053115423902
1809,2,70,8,16,19,6,4,19,8,8,10,71,15,4,3,1,5,0,57,4,330,14,0.5436573311367381
1810,3,139,7,25,8,7,2,14,10,9,23,130,24,16,0,1,7,4,131,5,565,14,0.8925750394944708
1811,0,61,0,6,2,4,2,7,6,3,15,58,20,9,0,1,4,2,40,5,245,14,0.42168674698795183
1933,2,102,9,14,10,9,4,31,17,11,41,91,78,47,3,0,2,1,21,3,496,14,0.4500907441016334
2078,6,152,10,14,7,0,5,26,16,5,28,90,66,38,0,1,0,5,27,2,498,14,0.4139650872817955
2079,5,111,8,17,6,7,9,39,15,13,60,96,64,46,0,0,0,4,36,0,536,14,0.4557823129251701
2080,2,101,0,12,3,0,1,36,16,16,33,124,59,34,0,1,0,1,25,3,467,14,0.37389911929543634
2081,5,153,19,20,9,1,1,33,23,8,40,132,77,58,3,0,0,0,27,1,610,14,0.48221343873517786
