SEZIONE,STEFANO CIPOLLA,MARCO DELLA PORTA,DOMENICO NASO,MICHELE MENNA,ANDREA DE ANGELIS,VINCENZO BONUCCI,RENATO RIZZO,SAMANTHA POCATERRA,CAMILLA BARGIONE,ELISA BONGIOVANNI,TOTALE,AFFLUENZA
1308,5,67,139,70,0,0,0,3,5,2,291,0.3975409836065574
1624,6,179,238,116,1,0,0,1,26,5,572,
1730,2,28,84,31,0,0,0,0,5,0,150,0.17045454545454544
1783,1,241,152,49,1,0,0,2,152,8,606,0.5988142292490118
1784,5,209,151,42,0,0,4,0,123,6,540,0.5756929637526652
1785,9,259,192,49,1,2,2,2,155,8,679,0.5909486510008704
1786,6,262,126,62,0,5,5,2,142,3,613,0.6117764471057884
1787,4,210,180,41,1,0,0,0,130,5,571,0.5659068384539148
1788,4,250,135,28,2,0,4,1,141,2,567,0.6406779661016949
1789,3,188,150,55,1,0,0,1,137,3,538,0.5951327433628318
1790,2,187,201,45,1,5,2,0,135,1,579,0.6376651982378855
1791,3,224,166,27,2,1,3,0,142,6,574,0.5705765407554672
1792,4,197,251,35,0,0,2,1,146,3,639,0.6358208955223881
1793,3,209,189,29,3,1,2,1,169,5,611,0.5920542635658915
1794,7,220,173,30,1,2,2,1,116,4,556,0.5828092243186582
1795,2,226,201,25,0,1,7,3,194,3,662,0.6471163245356794
1796,3,207,221,20,2,0,4,1,131,2,591,0.6182008368200836
1797,5,201,178,38,4,0,2,2,145,5,580,0.6494960806270996
1798,3,206,180,38,1,0,2,0,135,4,569,0.5701402805611222
1799,4,165,188,16,2,0,3,2,138,3,521,0.6115023474178404
1800,3,180,166,31,2,1,3,0,122,2,510,0.625
1801,3,176,182,30,0,0,3,0,155,3,552,0.5974025974025974
1802,7,182,178,24,3,1,1,0,161,1,558,0.6690647482014388
1803,6,197,175,48,1,0,1,2,149,5,584,0.6279569892473118
1804,3,272,197,26,1,2,2,1,160,3,667,0.6590909090909091
1805,2,219,184,24,0,1,0,2,153,4,589,0.6154649947753396
1806,2,174,251,34,0,0,1,2,156,1,621,0.650261780104712
1807,5,179,218,42,4,2,1,0,129,5,585,0.6230031948881789
1808,7,208,188,29,1,2,5,1,146,3,590,0.6026557711950971
1809,2,130,121,24,3,1,5,0,59,4,349,0.5749588138385503
1810,3,205,193,48,0,1,7,4,131,5,597,0.943127962085308
1811,0,83,95,37,0,1,2,1,40,5,264,0.45438898450946646
1933,2,148,191,170,3,0,2,1,21,3,541,0.4909255898366606
2078,6,188,175,104,0,1,0,5,30,2,511,0.4247714048212801
2079,5,179,231,128,0,1,0,4,6,42,596,0.5068027210884354
2080,2,127,228,97,0,1,0,1,28,3,487,0.3899119295436349
2081,5,212,239,148,3,0,0,0,29,2,638,0.5043478260869565
2082,10,142,225,109,1,1,2,2,29,6,527,0.39924242424242423
2083,5,181,234,117,0,0,2,0,30,0,569,0.4667760459392945
2084,3,251,230,131,1,0,1,1,38,7,663,0.5123647604327666
2085,4,124,243,107,0,5,2,0,22,1,508,0.40836012861736337
2099,4,131,206,109,0,1,1,2,28,2,484,0.4820717131474104
2100,5,87,204,107,0,1,0,3,16,4,427,0.5144578313253012
2101,1,71,212,85,0,1,10,23,0,4,407,0.44529540481400437
2102,4,93,243,96,0,1,2,20,20,1,480,0.40336134453781514
2104,4,107,188,91,1,0,5,3,31,6,436,0.45846477392218715
2236,6,200,232,118,1,0,2,5,51,1,616,0.5945945945945946
2250,5,103,94,42,3,0,5,0,31,3,286,0.45614035087719296
2251,4,88,93,17,0,3,2,0,22,1,230,0.4092526690391459
2253,5,124,102,71,1,1,4,2,54,5,369,0.484251968503937
2254,6,124,120,45,0,3,3,1,39,1,342,0.5507246376811594
2255,3,133,107,67,1,1,0,1,49,7,369,0.5132127955493742
2256,4,129,168,58,0,2,3,2,41,2,409,0.49455864570737607
2258,4,142,116,70,0,0,1,0,41,8,382,0.4935400516795866
2271,0,151,132,59,0,1,4,0,44,3,394,0.5652797704447633
2272,6,146,157,62,0,0,3,0,37,4,415,0.7490974729241877
2273,3,102,129,45,0,1,0,1,60,1,342,0.5533980582524272
2274,2,138,134,32,2,1,2,0,49,2,362,0.5848142164781907
2275,9,163,218,101,0,2,3,1,49,6,552,0.9874776386404294
2277,7,136,176,62,1,1,2,0,46,4,435,0.8011049723756906
2278,2,66,95,56,0,0,1,0,7,1,228,0.32664756446991405
2279,3,89,158,79,0,0,2,0,12,2,345,0.5948275862068966
2281,4,98,86,61,0,0,5,1,25,7,287,0.44290123456790126
2282,11,136,152,84,0,1,12,3,51,4,454,0.7418300653594772
2283,2,85,120,79,0,1,2,1,24,3,317,0.5031746031746032
2284,4,130,163,76,2,3,1,0,22,4,405,0.7336956521739131
2285,5,79,150,102,1,0,0,0,23,2,362,0.565625
2286,3,69,153,77,0,5,1,0,13,8,329,0.4283854166666667
2287,3,68,142,83,0,3,5,0,9,0,313,0.405440414507772
2288,6,65,118,82,1,1,1,0,19,4,297,0.3621951219512195
2289,0,138,163,81,0,0,2,1,46,5,436,0.4733984799131379
2290,6,127,145,53,0,1,0,1,53,1,387,0.5641399416909622
2295,6,137,160,74,1,6,2,2,46,6,440,0.4856512141280353
2296,7,107,147,74,0,0,1,2,44,3,385,0.4993514915693904
2297,5,102,125,65,0,1,2,0,25,4,329,0.47819767441860467
2298,4,115,117,75,0,0,3,1,25,1,341,0.462059620596206
2299,7,133,134,81,0,0,2,0,39,6,402,0.5367156208277704
2300,5,169,208,94,0,4,4,1,46,4,535,0.7833089311859444
2302,10,117,148,82,0,0,4,4,36,7,408,0.6210045662100456
2303,0,11,8,12,0,0,0,0,8,0,39,0.5064935064935064
