SEZIONE,ANDREA SIGNORINI,DANIELE TORQUATI,TOTALE,AFFLUENZA,MUNICIPIO
577,221,183,404,0.7739463601532567,15
2214,139,153,292,0.43004418262150224,15
2215,158,167,325,0.4931714719271624,15
2216,154,166,320,0.460431654676259,15
2217,159,177,336,0.5316455696202531,15
2218,122,263,385,0.5317679558011049,15
2219,184,247,431,0.5619295958279009,15
2220,124,148,272,0.40536512667660207,15
2221,123,180,303,0.4563253012048193,15
2222,118,164,282,0.48704663212435234,15
2223,78,202,280,0.47217537942664417,15
2224,170,151,321,0.5039246467817896,15
2225,130,132,262,0.3957703927492447,15
2226,266,224,490,0.5493273542600897,15
2227,216,222,438,0.4850498338870432,15
2228,246,219,465,0.48037190082644626,15
2229,186,219,405,0.49210206561360875,15
2230,186,149,335,0.46787709497206703,15
2231,128,149,277,0.4902654867256637,15
2232,229,159,388,0.5647743813682679,15
2233,203,180,383,0.5724962630792227,15
2234,200,225,425,0.573549257759784,15
2235,188,226,414,0.5872340425531914,15
2237,186,207,393,0.5420689655172414,15
2238,158,150,308,0.501628664495114,15
2239,212,219,431,0.5199034981905911,15
2240,211,251,462,0.5133333333333333,15
2241,248,166,414,0.48994082840236686,15
2242,177,244,421,0.5229813664596273,15
2243,206,184,390,0.4875,15
2244,306,196,502,0.5691609977324263,15
2245,175,231,406,0.45464725643896975,15
2336,215,199,414,0.516209476309227,15
2337,176,226,402,0.4956843403205919,15
2338,160,208,368,0.4880636604774536,15
2339,196,235,431,0.5532734274711169,15
2353,223,140,363,0.48079470198675495,15
2359,218,281,499,0.4960238568588469,15
2360,266,210,476,0.5010526315789474,15
2361,253,245,498,0.4619666048237477,15
2362,239,223,462,0.4633901705115346,15
2363,273,251,524,0.4666073018699911,15
2364,231,213,444,0.4396039603960396,15
2365,247,261,508,0.49706457925636005,15
2404,87,81,168,0.3870967741935484,15
2405,125,130,255,0.4194078947368421,15
2406,255,155,410,0.40473840078973344,15
2407,213,227,440,0.4309500489715965,15
2408,163,127,290,0.3656998738965952,15
