SEZIONE,REVOLUZIONE CIVICA,LISTA CIVICA GUALTIERI SINDACO,SINISTRA CIVICA ECOLOGISTA,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,PD PARTITO DEMOCRATICO,DEMOS DEMOCRAZIA SOLIDALE,RICONQUISTARE L'ITALIA,LISTA CIVICA VIRGINIA RAGGI,MOVIMENTO CINQUE STELLE 2050,IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,LISTA CIVICA MICHETTI SINDACO,GIORGIA MELONI FRATELLI D'ITALIA,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,LEGA SALVINI PREMIER,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,CALENDA SINDACO,MPL MOVIMENTO POLITICO LIBERTAS,PARTITO COMUNISTA MARCO RIZZO,TOTALE,MUNICIPIO,AFFLUENZA
577,1,18,7,3,4,65,4,4,37,45,0,24,107,12,100,3,15,1,0,450,15,0.8620689655172413
2214,1,22,4,4,7,34,1,3,9,18,0,9,47,23,10,9,100,1,0,302,15,0.44477172312223856
2215,2,7,3,2,18,51,8,0,6,7,0,17,60,20,20,5,107,0,4,337,15,0.511380880121396
2216,0,14,10,2,15,46,2,0,12,4,1,6,79,14,37,4,129,1,0,376,15,0.5410071942446043
2217,0,24,14,3,6,50,1,0,12,3,2,11,69,29,15,5,118,1,2,365,15,0.5775316455696202
2218,1,48,15,4,14,55,9,0,9,14,3,4,59,14,17,5,125,1,1,398,15,0.5497237569060773
2219,0,20,18,4,9,59,2,1,4,9,1,14,70,34,33,5,164,0,3,450,15,0.5867014341590613
2220,0,22,5,0,4,47,3,1,19,17,0,15,74,11,22,4,54,0,7,305,15,0.45454545454545453
2221,0,22,7,1,5,49,1,1,16,16,3,9,53,16,19,3,66,1,5,293,15,0.44126506024096385
2222,1,24,3,4,5,45,0,0,7,12,0,11,61,15,16,1,86,0,2,293,15,0.5060449050086355
2223,0,30,5,5,13,49,2,1,15,19,1,8,46,3,12,2,89,0,8,308,15,0.5193929173693086
2224,0,6,8,1,4,47,2,0,6,7,2,9,71,28,20,6,121,0,1,339,15,0.5321821036106751
2225,0,10,6,5,10,41,2,0,9,19,3,14,48,17,17,2,80,0,2,285,15,0.43051359516616317
2226,0,24,7,5,12,53,3,1,6,10,5,23,103,50,33,12,186,0,2,535,15,0.5997757847533632
2227,2,28,4,2,8,50,2,3,17,13,9,23,111,20,23,4,164,0,0,483,15,0.5348837209302325
2228,0,34,5,7,3,44,7,0,13,14,8,20,102,32,33,7,175,0,4,508,15,0.5247933884297521
2229,0,10,4,3,15,67,6,1,4,7,5,14,80,49,24,8,164,2,6,469,15,0.5698663426488457
2230,0,15,3,2,1,43,2,2,6,6,4,11,93,32,26,4,134,2,1,387,15,0.5405027932960894
2231,0,24,6,6,10,50,2,9,4,9,7,11,48,25,11,0,91,0,3,316,15,0.5592920353982301
2232,0,19,3,9,7,30,5,1,11,13,3,19,102,41,34,6,116,0,3,422,15,0.6142649199417758
2233,0,16,7,2,11,45,4,0,0,0,0,16,80,39,29,7,131,0,0,387,15,0.57847533632287
2234,0,27,5,2,17,56,0,0,14,11,1,10,95,29,39,4,115,0,3,428,15,0.5775978407557355
2235,0,26,13,3,15,68,9,0,11,5,3,8,80,22,20,5,135,0,1,424,15,0.601418439716312
2237,1,20,10,4,14,58,0,0,9,11,0,12,71,20,63,7,109,0,1,410,15,0.5655172413793104
2238,0,18,4,2,5,49,1,0,11,11,2,13,66,21,52,6,71,0,2,334,15,0.5439739413680782
2239,0,21,13,2,9,57,2,1,8,10,1,17,57,23,24,6,194,0,0,445,15,0.5367913148371531
2240,0,34,10,9,23,75,1,0,15,9,0,22,110,30,28,10,155,0,0,531,15,0.59
2241,0,25,12,1,10,51,5,0,13,11,1,10,100,34,57,6,135,0,3,474,15,0.5609467455621302
2242,2,24,18,6,31,67,0,4,9,9,1,14,85,18,29,6,128,0,0,451,15,0.5602484472049689
2243,0,1,2,1,9,9,3,0,0,0,0,5,55,11,26,1,32,0,0,155,15,0.19375
2244,0,26,10,1,11,60,4,1,9,11,1,16,120,27,43,9,215,0,1,565,15,0.6405895691609977
2245,0,20,12,1,13,41,2,0,10,16,0,20,88,26,28,7,144,1,4,433,15,0.48488241881298993
2336,0,24,10,3,4,76,2,2,5,8,0,14,112,21,16,14,136,0,1,448,15,0.5586034912718204
