SEZIONE,SALVATORE BASILE,DANIELE TORQUATI,MARIO IMPROTA,IRENE BADARACCO,PAOLO COSCIONE,ANDREA SIGNORINI,TOMMASO MARTELLI,MICHELINA BOSSA,MARCO BERTUCCELLI,TOTALE,AFFLUENZA
577,4.0,119.0,4.0,87.0,3.0,247.0,21.0,2.0,3.0,490.0,0.9386973180076629
2214,1.0,82.0,3.0,30.0,0.0,99.0,104.0,1.0,0.0,320.0,0.47128129602356406
2215,2.0,100.0,0.0,18.0,0.0,131.0,123.0,0.0,5.0,379.0,0.575113808801214
2216,0.0,93.0,0.0,16.0,1.0,143.0,141.0,1.0,0.0,395.0,0.5683453237410072
2217,1.0,104.0,1.0,15.0,2.0,136.0,132.0,1.0,2.0,394.0,0.6234177215189873
2218,2.0,155.0,1.0,26.0,3.0,106.0,131.0,1.0,1.0,426.0,0.5883977900552486
2219,0.0,128.0,1.0,14.0,1.0,165.0,174.0,0.0,3.0,486.0,0.6336375488917861
2220,0.0,88.0,1.0,42.0,0.0,132.0,57.0,0.0,7.0,327.0,0.4873323397913562
2221,0.0,92.0,2.0,36.0,2.0,105.0,68.0,1.0,6.0,312.0,0.46987951807228917
2222,1.0,101.0,0.0,24.0,0.0,109.0,95.0,0.0,2.0,332.0,0.5734024179620034
2223,0.0,111.0,1.0,36.0,1.0,75.0,91.0,0.0,8.0,323.0,0.5446880269814502
2224,0.0,75.0,0.0,15.0,2.0,137.0,130.0,0.0,1.0,360.0,0.565149136577708
2225,0.0,80.0,0.0,33.0,4.0,104.0,86.0,0.0,2.0,309.0,0.46676737160120846
2226,0.0,107.0,2.0,18.0,5.0,226.0,191.0,0.0,2.0,551.0,0.6177130044843049
2227,2.0,107.0,4.0,33.0,9.0,192.0,178.0,0.0,0.0,525.0,0.5813953488372093
2228,0.0,116.0,1.0,30.0,8.0,208.0,174.0,0.0,4.0,541.0,0.5588842975206612
2229,0.0,119.0,1.0,14.0,5.0,185.0,173.0,2.0,6.0,505.0,0.6136087484811664
2230,0.0,70.0,2.0,13.0,4.0,168.0,138.0,2.0,1.0,398.0,0.5558659217877095
2231,0.0,108.0,0.0,14.0,8.0,101.0,93.0,0.0,3.0,327.0,0.5787610619469027
2232,0.0,77.0,1.0,27.0,3.0,211.0,127.0,0.0,3.0,449.0,0.653566229985444
2233,0.0,91.0,1.0,16.0,3.0,175.0,131.0,0.0,1.0,418.0,0.624813153961136
2234,0.0,116.0,0.0,31.0,1.0,182.0,128.0,0.0,3.0,461.0,0.6221322537112011
2235,0.0,142.0,0.0,19.0,2.0,142.0,143.0,0.0,2.0,450.0,0.6382978723404256
2237,1.0,106.0,0.0,20.0,0.0,173.0,109.0,0.0,1.0,410.0,0.5655172413793104
2238,0.0,88.0,0.0,23.0,2.0,164.0,80.0,0.0,2.0,359.0,0.5846905537459284
2239,0.0,111.0,1.0,21.0,1.0,176.0,194.0,0.0,0.0,504.0,0.6079613992762364
2240,0.0,161.0,0.0,30.0,0.0,206.0,164.0,0.0,0.0,561.0,0.6233333333333333
2241,0.0,114.0,0.0,28.0,1.0,210.0,144.0,0.0,3.0,500.0,0.591715976331361
2242,2.0,154.0,4.0,27.0,1.0,158.0,136.0,1.0,1.0,484.0,0.6012422360248447
2243,1.0,117.0,2.0,33.0,0.0,177.0,156.0,0.0,3.0,489.0,0.61125
2244,0.0,121.0,1.0,24.0,1.0,226.0,222.0,0.0,1.0,596.0,0.6757369614512472
2245,2.0,102.0,0.0,28.0,0.0,171.0,155.0,1.0,4.0,463.0,0.5184770436730123
2336,0.0,124.0,2.0,17.0,1.0,185.0,142.0,0.0,1.0,472.0,0.5885286783042394
2337,0.0,151.0,0.0,26.0,3.0,164.0,104.0,0.0,0.0,448.0,0.5524044389642416
2338,0.0,148.0,2.0,34.0,0.0,161.0,79.0,0.0,3.0,427.0,0.5663129973474801
2339,1.0,128.0,1.0,23.0,4.0,176.0,139.0,0.0,4.0,476.0,0.6110397946084724
2353,2.0,64.0,1.0,26.0,1.0,176.0,175.0,0.0,0.0,445.0,0.5894039735099338
2359,1.0,127.0,1.0,19.0,1.0,183.0,186.0,0.0,4.0,522.0,0.5188866799204771
2360,1.0,100.0,1.0,21.0,1.0,251.0,217.0,0.0,1.0,593.0,0.6242105263157894
2361,1.0,117.0,4.0,39.0,2.0,233.0,214.0,0.0,4.0,614.0,0.5695732838589982
2362,1.0,108.0,0.0,25.0,2.0,208.0,208.0,0.0,0.0,552.0,0.5536609829488466
2363,2.0,122.0,0.0,23.0,1.0,244.0,244.0,0.0,3.0,639.0,0.5690115761353517
2364,2.0,128.0,1.0,35.0,0.0,216.0,156.0,0.0,1.0,539.0,0.5336633663366337
2365,0.0,132.0,2.0,27.0,2.0,244.0,179.0,0.0,3.0,589.0,0.576320939334638
2404,0.0,47.0,0.0,23.0,0.0,92.0,25.0,1.0,1.0,189.0,0.43548387096774194
2405,0.0,91.0,1.0,43.0,1.0,157.0,39.0,0.0,6.0,338.0,0.555921052631579
2406,1.0,117.0,3.0,60.0,1.0,284.0,30.0,1.0,6.0,503.0,0.49654491609081935
2407,0.0,146.0,2.0,65.0,0.0,230.0,65.0,3.0,10.0,521.0,0.5102840352595495
2408,1.0,87.0,0.0,68.0,1.0,170.0,38.0,0.0,6.0,371.0,0.467843631778058
2409,0.0,131.0,1.0,67.0,1.0,230.0,57.0,1.0,2.0,490.0,0.4837117472852912
2410,0.0,83.0,8.0,61.0,1.0,223.0,24.0,3.0,1.0,404.0,0.5172855313700384
2411,1.0,102.0,5.0,61.0,0.0,215.0,47.0,1.0,5.0,437.0,0.5428571428571428
2412,1.0,125.0,0.0,62.0,0.0,228.0,39.0,1.0,3.0,459.0,0.4909090909090909
2413,1.0,55.0,0.0,30.0,0.0,74.0,26.0,0.0,1.0,187.0,0.4722222222222222
2414,0.0,67.0,0.0,34.0,0.0,163.0,101.0,0.0,0.0,365.0,0.4556803995006242
2415,0.0,78.0,1.0,23.0,0.0,234.0,169.0,1.0,3.0,509.0,0.5426439232409381
2416,1.0,102.0,2.0,19.0,2.0,161.0,100.0,0.0,0.0,387.0,0.5926493108728943
2417,0.0,125.0,0.0,29.0,0.0,222.0,114.0,0.0,1.0,491.0,0.49949135300101727
2418,0.0,167.0,0.0,46.0,3.0,242.0,19.0,2.0,5.0,484.0,0.5336273428886439
2419,1.0,163.0,3.0,36.0,1.0,283.0,32.0,2.0,1.0,522.0,0.5299492385786801
2420,0.0,121.0,1.0,39.0,3.0,244.0,23.0,1.0,1.0,433.0,0.47845303867403316
2421,1.0,156.0,1.0,27.0,1.0,235.0,9.0,0.0,2.0,432.0,0.5574193548387096
2422,0.0,155.0,2.0,38.0,2.0,224.0,11.0,1.0,2.0,435.0,0.5343980343980343
2423,0.0,119.0,0.0,43.0,1.0,274.0,25.0,2.0,2.0,466.0,0.46553446553446554
2424,3.0,126.0,0.0,24.0,1.0,188.0,11.0,0.0,2.0,355.0,0.501412429378531
2425,3.0,196.0,2.0,62.0,2.0,132.0,13.0,2.0,2.0,414.0,0.5067319461444308
2426,1.0,140.0,0.0,62.0,0.0,124.0,2.0,2.0,5.0,336.0,0.47390691114245415
2434,1.0,93.0,0.0,26.0,0.0,151.0,89.0,0.0,2.0,362.0,0.5963756177924218
2435,1.0,134.0,0.0,19.0,2.0,138.0,59.0,0.0,2.0,355.0,0.5936454849498328
2436,1.0,93.0,0.0,31.0,0.0,91.0,42.0,0.0,4.0,262.0,0.5271629778672032
2437,0.0,192.0,0.0,13.0,5.0,104.0,86.0,0.0,3.0,403.0,0.6171516079632465
2438,0.0,120.0,0.0,25.0,0.0,134.0,77.0,0.0,2.0,358.0,0.5709728867623605
2439,0.0,113.0,1.0,42.0,0.0,111.0,52.0,0.0,0.0,319.0,0.4855403348554033
2440,0.0,124.0,0.0,26.0,2.0,96.0,50.0,1.0,1.0,300.0,0.5181347150259067
