SEZIONE,LORENZO MARIA SANTONOCITO,LORENZA BONACCORSI,TOTALE,AFFLUENZA,MUNICIPIO
2,117.0,150.0,267.0,0.4165366614664587,1
3,103.0,207.0,310.0,0.3924050632911392,1
4,104.0,137.0,241.0,0.48884381338742394,1
5,138.0,215.0,353.0,0.5316265060240963,1
6,110.0,225.0,335.0,0.4904831625183016,1
7,75.0,322.0,397.0,0.5623229461756374,1
8,55.0,80.0,135.0,0.22058823529411764,1
9,148.0,248.0,396.0,0.5210526315789473,1
10,128.0,240.0,368.0,0.5219858156028369,1
11,111.0,313.0,424.0,0.5189718482252142,1
12,99.0,222.0,321.0,0.4878419452887538,1
13,98.0,296.0,394.0,0.4684898929845422,1
14,184.0,386.0,570.0,0.5740181268882175,1
15,132.0,330.0,462.0,0.5244040862656073,1
16,120.0,234.0,354.0,0.46701846965699206,1
17,155.0,287.0,442.0,0.5145518044237486,1
18,128.0,149.0,277.0,0.49464285714285716,1
19,98.0,106.0,204.0,0.3870967741935484,1
20,163.0,234.0,397.0,0.4981179422835634,1
21,171.0,283.0,454.0,0.5360094451003542,1
22,161.0,290.0,451.0,0.48651564185544766,1
23,142.0,171.0,313.0,0.42994505494505497,1
24,138.0,182.0,320.0,0.38600723763570566,1
26,82.0,119.0,201.0,0.4068825910931174,1
27,89.0,141.0,230.0,0.43478260869565216,1
828,79.0,182.0,261.0,0.47368421052631576,1
829,98.0,170.0,268.0,0.4364820846905538,1
830,75.0,259.0,334.0,0.5114854517611026,1
831,88.0,240.0,328.0,0.5061728395061729,1
832,96.0,176.0,272.0,0.5037037037037037,1
833,96.0,280.0,376.0,0.521497919556172,1
834,68.0,235.0,303.0,0.4950980392156863,1
835,92.0,278.0,370.0,0.49333333333333335,1
836,119.0,215.0,334.0,0.4717514124293785,1
837,121.0,296.0,417.0,0.552317880794702,1
838,137.0,313.0,450.0,0.5275498241500586,1
839,129.0,251.0,380.0,0.472636815920398,1
840,77.0,131.0,208.0,0.5135802469135803,1
841,121.0,240.0,361.0,0.5486322188449848,1
843,123.0,294.0,417.0,0.5604838709677419,1
845,155.0,327.0,482.0,0.6418109187749668,1
846,85.0,320.0,405.0,0.4945054945054945,1
847,100.0,284.0,384.0,0.5565217391304348,1
851,97.0,381.0,478.0,0.5376827896512936,1
852,103.0,254.0,357.0,0.42601431980906923,1
853,140.0,240.0,380.0,0.494148244473342,1
