SEZIONE,LISTA CIVICA VIRGINIA RAGGI,CULTURA E INNOVAZIONE ROMA ECOLOGISTA VIRGINIA RAGGI SINDAC,ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD,IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,PD PARTITO DEMOCRATICO,DEMOS DEMOCRAZIA SOLIDALE,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,SINISTRA CIVICA ECOLOGISTA,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,LISTA CIVICA GUALTIERI SINDACO,RICONQUISTARE L'ITALIA,PARTITO COMUNISTA MARCO RIZZO,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,GIORGIA MELONI FRATELLI D'ITALIA,LEGA SALVINI PREMIER,LISTA CIVICA MICHETTI SINDACO,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,POTERE AL POPOLO,MOVIMENTO STORICO ROMANO LISTA NERONE,CALENDA SINDACO,PARTITO GAY LGBT+ SOLIDALE AMBIENTALISTA LIBERALE,REVOLUZIONE CIVICA,MPL MOVIMENTO POLITICO LIBERTAS,MOVIMENTO CINQUE STELLE 2050,TOTALE,MUNICIPIO,AFFLUENZA
2,11,5,5,0,65,3,11,9,6,14,1,3,8,71,19,3,4,4,0,34,4,2,0,15,297,1,0.46333853354134164
3,14,6,5,2,68,2,13,20,7,17,0,2,13,48,23,8,0,7,0,32,5,0,2,25,319,1,0.40379746835443037
4,9,5,1,0,45,6,8,8,1,12,1,3,12,59,15,2,5,4,0,44,1,1,2,10,254,1,0.5152129817444219
5,10,3,2,1,78,6,13,23,12,23,0,1,15,84,17,13,4,3,0,47,7,4,0,15,381,1,0.5737951807228916
6,10,2,2,0,85,5,17,29,6,18,1,5,18,64,11,5,7,1,1,51,1,0,2,13,354,1,0.5183016105417276
7,11,4,0,0,112,4,12,61,4,22,0,3,12,47,15,7,8,4,1,49,2,2,0,31,411,1,0.5821529745042493
8,3,1,1,1,29,4,2,8,3,12,0,2,6,29,16,3,4,0,0,19,3,0,1,15,162,1,0.2647058823529412
9,13,5,2,0,84,1,13,34,7,19,4,3,4,120,17,4,4,6,2,38,2,0,0,20,402,1,0.5289473684210526
10,5,0,0,1,98,7,20,30,2,16,1,2,16,55,32,6,6,9,1,45,3,3,1,20,379,1,0.5375886524822695
11,9,6,2,0,138,11,13,27,13,27,2,3,10,77,14,2,3,4,0,65,5,0,0,22,453,1,0.554467564259486
12,10,5,2,2,83,6,18,27,2,16,0,2,10,34,12,5,15,4,0,49,2,0,0,17,321,1,0.4878419452887538
13,9,2,11,1,99,4,20,32,8,18,9,9,11,40,29,6,13,11,1,53,4,1,1,33,425,1,0.5053507728894173
14,11,6,3,4,172,13,25,36,7,16,1,2,24,81,39,14,7,7,1,94,4,1,1,22,591,1,0.595166163141994
15,16,7,1,5,132,7,12,23,5,22,0,3,17,61,21,5,6,7,1,83,3,0,1,41,479,1,0.5437003405221339
16,11,1,2,3,81,3,5,33,3,16,0,4,19,69,20,7,0,3,1,57,6,0,0,23,367,1,0.4841688654353562
17,17,5,1,0,112,8,11,21,2,17,2,10,23,79,18,3,6,6,1,80,1,3,0,36,462,1,0.5378346915017462
18,6,1,1,2,54,0,6,3,2,9,0,1,34,47,14,6,3,2,0,101,3,0,0,6,301,1,0.5375
19,6,0,0,0,42,1,7,11,3,15,2,1,24,42,12,9,3,1,1,51,0,0,0,10,241,1,0.4573055028462998
20,9,1,0,0,75,2,3,13,5,22,1,3,26,67,27,15,10,5,1,107,0,1,0,17,410,1,0.5144291091593476
21,15,2,4,2,107,10,6,18,4,18,2,3,30,78,28,5,7,5,1,97,1,0,1,31,475,1,0.5608028335301063
22,9,3,2,15,109,5,8,12,6,30,2,5,31,74,38,10,3,6,0,100,1,1,0,24,494,1,0.5329018338727076
23,14,2,1,1,48,1,4,9,4,22,0,3,19,65,17,10,6,2,0,68,0,0,0,37,333,1,0.4574175824175824
24,13,6,3,6,57,4,4,11,11,17,2,0,17,71,19,8,5,4,2,69,0,0,0,34,363,1,0.4378769601930036
26,9,3,3,0,53,1,7,2,5,10,0,1,17,41,9,3,3,3,0,41,0,0,0,7,218,1,0.44129554655870445
27,7,1,6,1,59,3,2,5,10,9,0,0,16,43,5,4,9,3,0,67,1,0,0,13,264,1,0.499054820415879
828,7,1,4,0,50,3,11,12,6,21,2,3,11,36,9,1,4,1,0,72,1,0,1,13,269,1,0.4882032667876588
829,9,2,3,6,48,3,7,7,3,12,2,6,14,49,8,12,5,5,0,63,1,0,0,11,276,1,0.4495114006514658
830,8,2,5,0,79,4,8,38,5,53,1,1,11,40,5,4,3,2,0,79,3,0,0,18,369,1,0.5650842266462481
831,7,2,2,1,58,3,15,22,6,33,1,8,10,41,14,3,7,2,2,64,1,0,0,12,314,1,0.4845679012345679
832,3,1,1,2,60,1,5,9,2,26,1,2,11,36,9,4,1,2,1,90,2,0,0,6,275,1,0.5092592592592593
833,6,5,1,0,72,4,8,27,6,57,0,2,14,26,12,9,5,4,0,93,3,0,0,14,368,1,0.5104022191400832
834,9,2,3,0,75,5,6,15,3,47,0,4,8,49,3,2,4,2,0,61,1,1,0,11,311,1,0.5081699346405228
835,8,1,2,0,97,16,11,17,13,39,2,3,14,68,6,1,4,8,0,85,3,0,1,10,409,1,0.5453333333333333
836,12,2,3,2,82,9,4,14,3,29,0,0,11,65,13,12,7,7,0,56,1,0,0,13,345,1,0.4872881355932203
837,8,3,0,3,124,10,18,24,7,25,0,3,17,70,19,7,1,4,0,86,5,0,0,21,455,1,0.6026490066225165
838,15,3,4,4,119,4,10,27,9,33,1,4,16,76,17,12,4,1,0,95,2,0,1,23,480,1,0.5627198124267292
839,8,2,5,2,91,3,11,13,5,27,2,6,15,104,15,5,2,4,1,83,0,1,0,19,424,1,0.527363184079602
840,5,0,0,1,41,7,5,8,4,14,0,3,13,39,8,4,3,0,0,53,0,1,1,6,216,1,0.5333333333333333
841,11,2,4,0,88,25,5,13,6,28,0,2,14,62,11,9,5,4,0,75,2,1,0,22,389,1,0.5911854103343465
843,4,2,0,0,110,5,5,7,6,37,0,3,30,48,7,8,9,3,0,112,5,0,0,13,414,1,0.5564516129032258
845,4,2,0,0,105,6,10,22,7,55,1,1,44,49,3,16,7,1,0,141,2,3,0,15,494,1,0.6577896138482024
846,22,4,0,0,159,4,11,20,11,13,0,2,8,50,11,8,7,6,0,85,3,1,0,14,439,1,0.536019536019536
847,10,3,4,0,121,3,9,19,2,28,0,5,9,61,7,5,3,5,0,56,3,0,0,15,368,1,0.5333333333333333
851,15,3,1,0,163,3,18,15,7,36,0,4,17,46,13,2,3,4,0,111,1,0,1,32,495,1,0.5568053993250843
852,16,2,4,1,166,2,4,11,4,12,1,6,5,59,15,7,2,8,0,30,5,0,0,20,380,1,0.45346062052505964
853,2,0,1,2,95,2,10,9,10,16,1,3,26,49,5,9,5,1,1,125,1,1,0,5,379,1,0.4928478543563069
1217,15,3,3,0,186,4,17,27,7,15,1,9,13,65,20,6,6,9,5,63,3,10,0,43,530,1,0.5038022813688213
1220,10,4,0,2,180,2,11,46,6,23,9,6,13,59,11,7,6,6,0,48,6,1,1,36,493,1,0.49797979797979797
1221,5,4,5,0,166,11,18,58,8,25,0,9,10,48,6,6,4,5,0,79,3,5,0,27,502,1,0.5871345029239766
1222,10,2,2,0,133,6,20,50,6,24,3,8,10,42,7,5,2,9,0,50,2,5,0,22,418,1,0.6057971014492753
1223,11,3,0,0,131,6,16,20,4,16,1,5,9,89,9,11,6,4,1,49,4,4,0,24,423,1,0.5327455919395466
1224,8,4,2,0,170,3,14,18,3,9,0,2,9,49,13,4,2,7,1,29,1,2,0,30,380,1,0.5397727272727273
1225,6,2,0,0,94,0,1,11,2,5,1,2,3,45,9,3,0,4,0,19,1,4,0,18,230,1,0.4732510288065844
1226,13,4,0,1,108,7,16,28,11,21,4,4,6,47,12,4,4,8,0,43,2,4,4,28,379,1,0.4967234600262123
1227,7,2,2,1,60,11,15,16,11,12,1,5,18,20,3,4,2,7,2,64,1,2,0,17,283,1,0.5289719626168224
1228,13,2,2,2,118,3,9,19,8,23,0,3,24,54,15,10,2,2,3,179,0,0,0,14,505,1,0.6181150550795593
1229,6,1,5,0,93,4,7,10,11,14,2,3,15,43,12,17,7,7,0,92,1,0,0,10,360,1,0.547112462006079
1699,14,1,2,0,84,5,16,8,8,33,0,6,14,38,19,6,4,3,0,104,1,0,0,12,378,1,0.4921875
1700,6,2,1,0,110,9,20,8,0,22,1,3,21,45,15,9,8,3,0,93,2,0,0,7,385,1,0.5085865257595773
1701,3,4,0,1,55,6,6,2,3,10,0,2,10,43,10,7,4,2,0,95,1,0,0,6,270,1,0.4900181488203267
1702,4,7,0,0,73,2,5,10,5,32,2,2,68,31,11,8,8,2,1,101,2,0,0,10,384,1,0.4746600741656366
1703,6,8,0,2,90,7,10,5,5,26,0,2,37,49,14,1,3,1,1,125,0,0,0,7,399,1,0.5465753424657535
1704,4,3,1,0,44,7,8,5,1,14,0,0,6,22,8,0,2,0,0,75,3,0,0,6,209,1,0.48267898383371827
1705,2,1,1,4,47,6,5,2,1,11,0,1,21,25,4,6,2,0,0,70,0,0,0,3,212,1,0.4520255863539446
1706,5,3,1,1,82,5,10,10,9,27,1,2,15,40,29,4,4,1,0,119,0,0,0,12,380,1,0.4909560723514212
1707,4,2,4,0,94,11,7,12,8,20,3,3,20,31,13,3,1,5,0,74,4,0,0,26,345,1,0.44061302681992337
1708,5,0,2,0,76,7,19,7,18,24,0,7,13,28,7,3,5,2,0,41,0,0,1,10,275,1,0.4583333333333333
1709,5,4,4,0,171,7,11,20,6,23,1,3,13,28,4,2,7,2,0,62,4,0,0,12,389,1,0.4581861012956419
1710,7,2,0,0,116,21,14,18,4,22,2,5,9,20,5,3,0,2,1,62,0,0,0,20,333,1,0.4847161572052402
1711,1,2,2,1,73,6,11,8,3,22,0,2,14,37,10,5,3,2,0,93,2,1,0,7,305,1,0.5350877192982456
1712,11,0,3,0,155,31,22,28,4,37,1,3,7,34,8,8,2,8,2,103,0,1,0,11,479,1,0.562206572769953
1713,13,2,1,1,151,20,23,21,6,25,1,3,7,25,14,2,4,8,0,74,2,5,0,18,426,1,0.5298507462686567
1714,18,5,3,0,120,24,18,14,3,25,2,2,12,46,11,2,3,8,1,62,2,1,0,22,404,1,0.39147286821705424
1715,8,2,4,0,79,21,25,24,2,16,1,1,12,26,12,7,6,2,0,57,4,0,0,18,327,1,0.3276553106212425
1716,7,4,6,1,91,24,11,17,6,24,0,4,12,41,3,2,5,6,1,101,0,0,0,18,384,1,0.4987012987012987
1717,13,4,1,1,114,24,14,25,6,25,0,2,10,35,14,4,7,4,0,68,3,2,0,22,398,1,0.4167539267015707
1718,2,2,1,0,94,15,9,14,3,17,2,2,13,22,5,2,4,1,0,69,2,2,0,7,288,1,0.555984555984556
1719,0,0,0,1,75,10,14,27,3,35,0,0,16,57,27,7,6,4,0,74,15,12,3,0,386,1,0.5398601398601398
1720,8,1,4,1,84,16,6,33,8,12,1,2,18,60,22,10,0,1,2,106,0,0,0,11,406,1,0.5546448087431693
1721,8,3,1,0,43,8,5,15,3,15,0,2,30,67,10,9,7,0,0,43,1,0,3,8,281,1,0.48869565217391303
1764,1,2,1,12,84,32,8,8,12,31,2,1,17,57,31,4,6,2,1,61,4,2,0,25,404,1,0.5120405576679341
1765,13,4,1,0,92,9,6,11,11,28,1,5,15,78,35,6,6,4,0,68,3,0,2,37,435,1,0.5330882352941176
1766,7,3,0,0,94,17,13,18,4,26,0,1,9,69,46,9,5,0,0,64,0,0,0,20,405,1,0.5024813895781638
1767,10,3,1,1,101,6,10,13,9,25,1,3,17,42,47,9,3,5,0,62,2,1,0,17,388,1,0.5201072386058981
1768,13,0,0,1,71,5,8,7,1,17,0,7,22,58,33,10,1,0,6,51,0,0,0,17,328,1,0.4606741573033708
1769,13,0,2,3,109,5,4,8,4,17,1,5,13,71,36,9,3,4,2,67,1,0,1,30,408,1,0.5257731958762887
1770,2,0,0,0,54,70,42,23,0,29,0,0,60,20,28,0,32,0,1,60,1,0,0,32,454,1,0.5328638497652582
1771,25,2,0,1,103,8,4,19,7,12,1,5,21,65,29,0,0,0,5,60,1,0,0,25,393,1,0.45857642940490084
1772,20,2,6,1,102,4,4,14,3,30,0,2,20,79,31,15,5,1,1,58,1,1,0,9,409,1,0.5572207084468664
1773,7,2,0,0,105,3,12,8,6,15,0,1,22,60,30,6,5,2,0,98,2,0,0,21,405,1,0.5648535564853556
1774,9,6,2,1,84,17,12,20,6,20,1,3,9,50,20,20,7,7,1,60,1,1,0,29,386,1,0.4929757343550447
1775,15,3,4,2,104,24,3,1,8,22,0,4,27,87,30,8,12,6,0,70,1,1,0,33,465,1,0.5542312276519666
1776,11,1,1,0,88,18,10,12,5,26,1,3,17,88,43,9,5,0,1,84,3,1,0,25,452,1,0.5566502463054187
1777,17,3,2,1,91,19,4,7,6,38,0,6,16,56,39,8,0,2,1,74,4,0,0,34,428,1,0.5162846803377563
1778,12,2,1,0,92,24,3,9,6,31,2,1,21,65,42,5,6,0,3,71,3,1,0,15,415,1,0.5079559363525091
1779,17,1,1,0,80,26,8,7,2,26,1,4,13,60,37,8,5,3,0,64,4,0,0,26,393,1,0.4924812030075188
1780,14,3,1,1,91,9,8,8,9,35,0,3,11,55,85,13,5,1,2,72,0,0,0,31,457,1,0.5573170731707318
1781,19,6,4,0,83,32,9,7,6,22,0,1,19,69,45,17,8,4,0,50,2,0,0,24,427,1,0.46923076923076923
1782,13,3,2,0,116,7,13,10,7,18,3,6,17,43,30,5,5,4,0,64,1,3,1,35,406,1,0.5087719298245614
2103,5,5,0,0,76,5,10,7,3,28,0,2,25,43,17,14,11,1,0,110,2,0,0,6,370,1,0.5138888888888888
2105,6,2,2,0,67,4,5,7,6,20,0,0,32,53,17,10,3,0,1,127,1,0,0,7,370,1,0.46540880503144655
2106,9,2,1,1,55,9,3,7,4,14,1,1,19,54,17,3,9,4,0,93,2,0,0,11,319,1,0.43283582089552236
2107,3,1,0,0,40,1,6,1,4,18,0,3,32,68,15,8,8,4,1,122,0,1,0,6,342,1,0.4810126582278481
2108,3,1,2,0,51,3,9,5,3,11,7,0,15,31,7,3,3,0,1,65,1,0,0,3,224,1,0.469601677148847
2109,6,3,0,1,73,22,24,5,3,27,0,0,33,59,27,9,7,3,0,146,2,0,0,9,459,1,0.46316851664984865
2111,8,2,1,2,79,12,18,7,5,28,0,3,46,90,24,3,4,2,2,163,1,1,0,10,511,1,0.5
2112,8,0,0,0,49,13,15,6,2,37,0,0,41,65,14,6,2,0,0,19,0,0,0,10,287,1,0.3412604042806183
2113,2,2,2,3,57,15,7,6,1,23,0,0,27,52,23,11,5,1,0,73,0,0,0,9,319,1,0.45571428571428574
2114,6,1,0,1,83,8,15,6,9,30,2,5,15,35,15,7,6,3,0,113,1,0,0,20,381,1,0.5695067264573991
2115,4,0,3,0,91,5,13,24,6,13,0,0,21,44,18,5,13,1,1,111,2,0,0,8,383,1,0.5086321381142098
2116,6,3,1,0,70,4,5,18,3,28,1,2,13,36,6,10,9,2,0,80,1,2,0,9,309,1,0.4517543859649123
2117,12,1,0,6,63,3,7,7,2,23,2,2,21,32,20,2,4,0,0,86,1,0,0,12,306,1,0.4911717495987159
2118,10,1,3,1,52,3,9,11,3,25,0,0,12,43,5,2,3,5,0,78,1,0,0,14,281,1,0.4895470383275261
2119,10,4,6,1,75,5,13,15,3,22,0,2,26,48,23,5,7,5,0,91,3,1,0,16,381,1,0.49097938144329895
2120,4,1,3,0,65,7,13,4,4,18,0,1,35,48,14,1,3,0,2,81,1,0,0,3,308,1,0.5185185185185185
2121,7,1,4,4,84,15,10,11,2,25,0,2,32,68,20,11,11,2,1,98,0,1,0,16,425,1,0.551948051948052
2122,3,2,1,2,88,19,9,10,6,21,0,1,36,88,19,10,8,0,0,92,4,0,0,6,425,1,0.5720053835800808
2123,8,2,1,1,105,12,17,6,1,17,1,0,9,44,17,7,5,1,0,105,1,0,0,15,375,1,0.5769230769230769
2124,3,2,4,0,84,4,0,10,3,17,0,1,25,79,20,7,8,1,0,118,2,0,0,5,393,1,0.5535211267605634
2125,3,0,2,0,104,5,13,15,5,20,0,2,20,93,27,16,14,7,0,150,0,0,1,17,514,1,0.5894495412844036
2126,8,3,0,1,88,9,6,8,4,26,0,0,35,104,20,9,2,1,2,104,1,1,0,13,445,1,0.5941255006675568
2127,15,4,6,1,79,9,16,14,4,21,0,4,22,145,15,5,1,1,0,100,2,0,0,13,477,1,0.5288248337028825
2128,8,2,0,0,89,7,10,0,3,29,0,0,20,116,23,9,4,0,0,117,0,0,0,15,452,1,0.5072951739618407
2129,10,2,1,3,102,7,11,16,5,32,0,2,28,113,23,7,5,5,2,142,1,4,0,18,539,1,0.5962389380530974
2130,5,3,6,2,71,10,9,22,7,19,0,2,17,59,35,12,15,6,0,85,1,0,0,14,400,1,0.54421768707483
2131,8,1,0,3,107,8,13,12,5,27,2,2,26,94,20,10,6,6,0,106,1,1,0,21,479,1,0.5641931684334511
2132,10,2,1,1,63,12,6,8,2,13,1,2,18,69,17,5,1,1,1,66,1,1,0,13,314,1,0.46726190476190477
2133,10,4,2,0,88,5,8,6,9,20,0,6,12,73,32,5,8,7,1,91,1,1,0,9,398,1,0.4738095238095238
2134,12,2,1,0,85,11,5,7,4,20,0,1,7,86,24,9,4,1,0,44,1,1,0,21,346,1,0.5065885797950219
2135,6,0,0,2,65,3,6,3,4,16,0,3,13,62,13,2,1,3,0,54,3,1,0,19,279,1,0.46422628951747086
2183,14,2,5,0,120,10,8,19,11,15,1,5,11,71,23,3,2,4,1,63,1,1,0,21,411,1,0.5099255583126551
2184,2,0,1,18,135,9,6,14,7,31,2,1,16,77,24,14,8,7,6,65,1,0,0,9,453,1,0.5438175270108043
2186,10,3,1,2,131,11,13,14,6,30,0,4,14,78,25,4,9,2,1,107,3,3,1,21,493,1,0.5583238958097395
2187,9,1,4,0,144,7,8,6,5,32,2,3,27,59,24,6,5,0,0,99,2,0,21,26,490,1,0.5778301886792453
2189,16,5,2,0,118,15,7,13,0,27,0,1,19,85,29,13,17,6,0,88,4,1,1,22,489,1,0.5849282296650717
2190,13,3,2,1,136,2,11,12,9,29,1,8,9,96,14,6,6,3,1,91,0,1,0,24,478,1,0.5564610011641443
2191,13,3,2,0,158,9,13,16,2,30,0,4,16,95,12,6,3,4,0,78,0,1,1,20,486,1,0.5491525423728814
2192,7,3,4,0,99,6,13,12,6,22,0,4,15,44,18,5,2,7,1,89,2,0,0,18,377,1,0.5503649635036496
2193,6,3,2,0,95,9,7,7,2,37,0,2,17,53,23,3,0,4,0,99,2,1,0,11,383,1,0.5607613469985359
