SEZIONE,LORENZA BONACCORSI,ROMINA PALUDI,DAMIANO GRISPO,LORENZO MARIA SANTONOCITO,CAMILLA DI MARCANTONIO,GIANCARLO CARLONE,GIUSEPPE LOBEFARO,MAURIZIO REGOSA,FRANCO BOTTONI,K M LOKMAN HUSSAIN,FEDERICA FESTA,GAIA PALLOTTINO,GIOVANNI BUONSANTI,TOTALE,AFFLUENZA
2,109,1,3,106,4,0,34,4,2,0,32,5,0,300,0.46801872074882994
3,128,0,2,97,8,0,36,5,0,2,45,6,2,331,0.4189873417721519
4,84,1,3,98,0,0,47,2,1,2,28,1,0,267,0.5415821501014199
5,164,0,3,133,4,0,53,7,4,0,31,2,1,402,0.6054216867469879
6,168,1,5,111,1,1,51,1,0,2,28,2,0,371,0.5431918008784773
7,223,0,4,94,5,1,55,2,2,0,55,0,0,441,0.6246458923512748
8,59,0,2,59,0,0,20,3,0,1,20,2,1,167,0.272875816993464
9,164,4,3,152,7,2,42,3,0,0,42,3,0,422,0.5552631578947368
10,173,1,3,115,9,1,43,3,3,1,38,4,1,395,0.5602836879432624
11,231,2,3,111,5,0,69,5,1,0,40,2,0,469,0.5740514075887393
12,156,0,2,85,4,0,49,2,0,0,41,2,2,343,0.5212765957446809
13,196,1,10,89,12,1,57,5,3,1,52,11,1,439,0.5219976218787158
14,275,1,2,174,7,2,100,4,1,1,48,3,4,622,0.6263846928499497
15,206,0,3,112,7,1,92,4,0,1,67,1,5,499,0.5664018161180476
16,155,0,4,116,3,2,65,7,0,0,38,3,3,396,0.5224274406332454
17,171,2,10,129,6,1,80,1,3,0,58,1,0,462,0.5378346915017462
18,76,0,1,108,2,0,108,3,0,0,14,1,2,315,0.5625
19,79,2,1,91,1,1,54,0,0,0,18,0,0,247,0.4686907020872865
20,130,3,3,153,5,1,113,1,1,0,30,0,0,440,0.5520702634880803
21,174,2,3,154,5,1,105,1,0,1,56,5,2,509,0.6009445100354192
22,184,2,5,164,7,0,106,1,1,0,56,3,2,531,0.5728155339805825
23,96,0,3,123,2,0,72,0,0,0,55,1,1,353,0.4848901098901099
24,109,2,0,131,4,2,73,0,0,0,59,3,6,389,0.4692400482509047
26,84,0,1,76,0,0,44,0,0,0,21,3,0,229,0.46356275303643724
27,94,0,0,81,3,0,71,1,0,0,22,6,1,279,0.5274102079395085
828,106,2,3,63,1,0,77,1,0,1,21,5,0,280,0.5081669691470054
829,87,2,6,92,5,0,63,1,0,0,25,3,6,290,0.4723127035830619
830,191,1,1,64,2,0,83,3,0,0,35,6,0,386,0.5911179173047473
831,160,1,8,89,3,2,74,1,0,0,27,3,1,369,0.5694444444444444
832,111,1,2,69,2,1,90,2,0,0,13,1,2,294,0.5444444444444444
833,189,0,3,71,5,0,104,0,0,0,30,1,0,403,0.5589459084604715
834,157,0,4,66,2,0,68,1,1,0,24,3,0,326,0.5326797385620915
835,194,2,3,95,8,1,91,3,0,1,24,1,1,424,0.5653333333333334
836,144,0,0,111,7,0,58,1,0,0,3,2,34,360,0.5084745762711864
837,208,0,3,114,4,0,86,5,0,0,32,0,3,455,0.6026490066225165
838,212,1,4,132,2,1,100,2,0,1,45,4,4,508,0.5955451348182884
839,157,2,6,148,4,1,83,0,1,0,38,5,2,447,0.5559701492537313
840,81,0,3,69,0,0,55,0,1,1,11,1,1,223,0.5506172839506173
841,177,0,2,105,5,0,79,2,1,0,37,4,0,412,0.6261398176291794
843,183,0,3,107,3,0,120,5,0,0,23,1,0,445,0.5981182795698925
845,214,1,2,122,1,0,148,2,3,0,23,0,0,516,0.6870838881491345
846,227,0,2,91,8,0,97,3,1,0,46,0,0,475,0.57997557997558
847,197,0,6,101,6,0,58,3,0,0,29,4,0,404,0.5855072463768116
851,253,0,4,86,4,0,118,2,0,1,59,2,0,529,0.595050618672666
852,216,1,6,99,10,0,34,5,0,0,44,4,1,420,0.5011933174224343
853,149,1,3,96,1,1,137,1,1,0,9,1,3,403,0.5240572171651495
1217,256,1,12,125,11,5,67,5,10,0,75,6,0,573,0.5446768060836502
1220,270,9,7,97,8,0,49,6,2,1,54,0,2,505,0.51010101010101
1221,286,0,9,74,5,0,79,3,5,0,36,5,0,502,0.5871345029239766
1222,245,3,9,68,11,0,50,2,6,0,38,2,0,434,0.6289855072463768
1223,199,1,5,125,4,1,51,4,4,0,45,0,0,439,0.552896725440806
1224,218,0,2,78,7,1,32,1,2,0,44,2,0,387,0.5497159090909091
1225,117,1,2,62,4,0,20,1,4,0,28,0,0,239,0.49176954732510286
1226,200,5,5,77,9,0,46,3,4,4,52,0,1,406,0.5321100917431193
1227,130,1,5,50,7,2,65,1,2,0,33,2,1,299,0.5588785046728972
1228,197,0,3,113,3,3,186,0,0,0,33,2,2,542,0.6634026927784578
1229,152,2,3,97,8,0,97,1,0,0,20,5,0,385,0.5851063829787234
1699,161,0,6,81,3,0,104,1,0,0,31,2,0,389,0.5065104166666666
1700,177,1,3,103,3,0,100,2,0,0,18,1,0,408,0.5389696169088507
1701,85,0,2,78,2,0,95,1,0,0,13,1,1,278,0.5045372050816697
1702,133,2,3,130,3,2,107,3,0,0,26,0,0,409,0.5055624227441285
1703,149,0,2,111,1,1,132,6,0,0,16,1,2,421,0.5767123287671233
1704,86,0,0,40,0,0,82,3,0,0,16,1,0,228,0.5265588914549654
1705,74,0,2,59,0,0,72,1,0,0,7,1,4,220,0.4690831556503198
1706,151,1,2,95,2,0,121,0,0,1,21,1,1,396,0.5116279069767442
1707,154,3,3,71,5,0,80,4,0,0,35,4,0,359,0.45849297573435505
1708,158,0,7,63,5,0,47,0,0,1,18,2,0,301,0.5016666666666667
1709,242,1,3,57,2,0,68,4,1,0,23,4,0,405,0.47703180212014135
1710,201,2,6,40,3,1,68,0,0,0,31,1,0,353,0.5138282387190685
1711,129,0,2,71,2,1,101,3,1,0,14,2,1,327,0.5736842105263158
1712,287,1,3,65,8,2,108,0,1,0,26,5,0,506,0.5938967136150235
1713,251,1,3,55,8,0,79,3,5,0,36,2,1,444,0.5522388059701493
1714,209,2,2,84,9,1,66,2,2,0,47,3,0,427,0.41375968992248063
1715,169,1,3,66,2,0,59,5,0,0,30,6,0,341,0.34168336673346694
1716,183,0,4,68,7,1,107,0,0,0,36,6,1,413,0.5363636363636364
1717,213,0,0,75,4,0,82,3,2,0,41,2,1,423,0.44293193717277485
1718,150,2,2,47,1,0,69,2,2,0,12,1,0,288,0.555984555984556
1719,164,0,0,113,4,0,74,0,1,0,30,0,1,387,0.5412587412587413
1720,165,1,3,115,1,2,112,0,0,0,22,4,1,426,0.5819672131147541
1721,93,0,2,128,0,0,45,1,0,3,24,1,0,297,0.5165217391304348
1764,190,2,1,122,2,1,68,4,2,0,50,2,1,445,0.5640050697084917
1765,164,1,5,146,4,0,70,3,0,2,57,1,0,453,0.5551470588235294
1766,178,0,4,149,4,0,64,4,2,0,33,2,1,441,0.5471464019851117
1767,173,1,3,122,5,0,64,2,1,0,31,2,1,405,0.5428954423592494
1768,114,0,7,124,7,0,55,0,1,0,37,0,2,347,0.48735955056179775
1769,157,1,6,139,4,2,73,2,0,1,49,2,3,439,0.5657216494845361
1770,207,2,0,128,8,1,70,1,0,0,34,2,1,454,0.5328638497652582
1771,162,1,5,133,4,1,60,2,0,0,60,0,2,430,0.5017502917152858
1772,163,0,2,156,1,1,63,1,1,0,33,7,1,429,0.5844686648501363
1773,164,0,1,112,2,0,106,2,0,0,34,0,0,421,0.5871687587168759
1774,180,1,3,132,4,1,68,1,1,0,42,2,1,436,0.5568326947637292
1775,174,0,5,176,6,0,75,1,1,0,49,4,2,493,0.5876042908224076
1776,157,1,2,164,0,1,84,3,1,0,38,1,0,452,0.5566502463054187
1777,169,0,6,120,2,1,74,4,0,0,54,2,0,432,0.5211097708082026
1778,168,2,1,145,0,3,75,3,1,0,35,1,0,434,0.5312117503059975
1779,158,1,4,132,3,0,68,4,1,0,54,2,0,427,0.5350877192982456
1780,163,1,3,177,2,2,74,1,0,0,53,1,1,478,0.5829268292682926
1781,178,0,1,161,4,0,64,2,0,0,62,4,0,476,0.5230769230769231
1782,175,3,6,102,4,0,64,1,3,1,52,2,0,413,0.5175438596491229
2103,132,0,2,120,1,0,115,2,0,1,19,0,0,392,0.5444444444444444
2105,113,0,0,117,0,1,135,3,0,0,18,3,0,390,0.49056603773584906
2106,97,1,1,109,4,0,103,2,0,0,25,1,1,344,0.46675712347354137
2107,77,0,3,133,4,1,126,0,1,0,13,0,1,359,0.5049226441631505
2108,88,1,0,63,2,1,75,2,1,0,11,1,0,245,0.5136268343815513
2109,158,0,0,139,3,0,157,2,0,0,19,0,1,479,0.48335015136226034
2111,159,0,3,173,2,2,176,1,1,0,24,1,2,544,0.5322896281800391
2112,128,1,3,146,1,2,141,1,0,1,22,4,3,453,0.5386444708680143
2113,109,0,0,123,1,1,77,0,1,0,14,2,3,331,0.47285714285714286
2114,158,2,5,79,3,0,113,1,0,0,31,0,1,393,0.5874439461883408
2115,160,0,1,112,1,1,123,3,0,0,16,3,0,420,0.5577689243027888
2116,125,1,2,74,2,0,82,1,2,0,18,2,0,309,0.4517543859649123
2117,110,2,2,86,0,0,98,1,0,0,26,0,6,331,0.5313001605136437
2118,103,0,0,65,5,0,78,1,0,0,25,3,1,281,0.4895470383275261
2119,139,0,2,115,5,0,93,3,1,0,34,6,1,399,0.5141752577319587
2120,115,0,1,105,0,2,82,1,1,0,9,3,0,319,0.5370370370370371
2121,153,0,2,156,2,1,102,0,1,0,25,4,4,450,0.5844155844155844
2122,157,0,1,175,0,0,96,4,0,0,11,1,1,446,0.6002691790040376
2123,164,1,0,87,2,0,105,1,0,0,31,1,1,393,0.6046153846153847
2124,126,0,1,143,1,0,131,2,0,0,14,4,0,422,0.5943661971830986
2125,176,0,2,183,7,0,161,0,0,1,23,2,0,555,0.6364678899082569
2126,159,0,0,184,3,3,108,1,1,0,26,0,0,485,0.6475300400534045
2127,149,0,4,199,1,0,109,2,0,0,32,8,1,505,0.5598669623059866
2128,149,0,2,190,3,0,126,1,1,1,30,1,1,505,0.5667789001122334
2129,182,0,2,192,5,2,153,1,4,0,32,1,3,577,0.6382743362831859
2130,150,0,2,157,6,0,87,1,0,0,24,7,2,436,0.5931972789115646
2131,184,2,2,159,6,0,109,1,1,0,36,2,3,505,0.5948174322732627
2132,111,1,3,117,1,1,66,1,1,0,28,1,1,332,0.49404761904761907
2133,140,0,6,136,7,1,91,1,1,0,26,2,0,411,0.48928571428571427
2134,139,0,1,137,1,0,46,1,1,0,40,1,0,367,0.5373352855051244
2135,100,0,3,99,3,0,57,3,1,0,27,0,2,295,0.4908485856905158
2183,199,1,5,127,5,1,71,2,1,0,46,5,0,463,0.5744416873449132
2184,212,2,0,155,7,0,82,0,0,0,37,0,0,495,0.5942376950780313
2186,211,0,5,139,2,1,111,3,3,1,35,1,2,514,0.5821064552661381
2187,217,2,3,127,1,0,100,2,0,1,36,4,0,493,0.5813679245283019
2189,182,0,1,165,6,0,88,4,1,1,45,2,0,495,0.5921052631578947
2190,210,2,8,136,4,1,103,0,1,0,44,2,1,512,0.5960419091967404
2191,237,0,4,136,4,0,87,0,1,1,38,3,0,511,0.5774011299435028
2192,169,0,4,88,7,1,93,3,0,0,33,4,0,402,0.5868613138686132
2193,167,0,3,112,5,0,110,4,1,0,25,2,0,429,0.6281112737920937
2194,151,1,2,106,1,0,71,1,0,0,34,4,0,371,0.6003236245954693
2195,185,1,2,100,4,0,106,2,0,0,22,5,2,429,0.6318114874815906
2196,194,0,1,130,4,0,91,3,0,1,27,0,2,453,0.6425531914893617
2197,178,1,2,108,4,0,81,1,0,0,32,3,0,410,0.5985401459854015
2198,148,0,2,96,1,0,79,0,0,0,15,0,0,341,0.5992970123022847
2199,176,0,2,119,5,0,78,2,0,0,38,1,0,421,0.6075036075036075
2200,209,0,4,89,1,0,92,1,0,0,17,4,0,417,0.6223880597014926
2201,133,0,2,99,3,0,73,0,0,0,15,0,1,326,0.5620689655172414
2202,163,2,3,125,0,0,132,3,0,1,22,0,1,452,0.6848484848484848
2203,170,2,2,114,2,0,160,0,0,0,26,6,0,482,0.7259036144578314
2204,151,0,3,105,4,0,127,1,0,0,13,4,2,410,0.6376360808709176
2205,161,1,2,129,1,0,127,1,0,0,29,3,0,454,0.7027863777089783
2206,168,1,1,104,1,0,122,5,0,1,20,5,6,434,0.6707882534775889
2207,206,2,1,128,2,1,88,2,0,0,40,3,0,473,0.6248348745046235
2208,193,0,4,126,7,1,106,2,1,0,27,3,1,471,0.6408163265306123
2209,170,1,2,116,3,1,92,2,0,0,26,1,0,414,0.6088235294117647
2210,178,2,0,72,2,0,52,1,0,0,29,0,0,336,0.5884413309982487
2211,93,0,1,49,1,0,69,1,1,0,25,4,1,245,0.4841897233201581
2212,74,0,3,119,0,0,88,1,1,1,11,2,0,300,0.5535055350553506
2213,117,0,6,62,5,1,63,0,0,0,25,2,1,282,0.46766169154228854
2518,103,0,4,97,6,0,53,3,1,0,27,1,1,296,0.46322378716744916
2519,244,1,2,129,12,1,53,2,2,1,58,11,0,516,0.5358255451713395
2574,3,0,0,1,0,0,0,0,0,0,0,0,0,4,
2575,0,0,0,0,0,0,0,0,0,0,1,0,0,1,
2576,7,0,1,1,0,0,3,0,0,0,1,0,0,13,
