SEZIONE,FRANCESCA DEL BELLO,PATRIZIO DI TURSI,TOTALE,AFFLUENZA,MUNICIPIO
28,227.0,99.0,326.0,0.44596443228454175,2
29,307.0,108.0,415.0,0.5928571428571429,2
30,257.0,141.0,398.0,0.5115681233933161,2
31,300.0,115.0,415.0,0.503030303030303,2
32,281.0,165.0,446.0,0.46701570680628274,2
33,298.0,145.0,443.0,0.46977730646871685,2
34,336.0,168.0,504.0,0.5384615384615384,2
35,353.0,162.0,515.0,0.5603917301414582,2
36,277.0,159.0,436.0,0.46730975348338694,2
38,212.0,135.0,347.0,0.4853146853146853,2
39,259.0,150.0,409.0,0.5395778364116095,2
40,244.0,153.0,397.0,0.4817961165048544,2
41,289.0,173.0,462.0,0.5613608748481167,2
42,241.0,111.0,352.0,0.5138686131386861,2
43,149.0,94.0,243.0,0.36268656716417913,2
44,187.0,101.0,288.0,0.431784107946027,2
45,208.0,126.0,334.0,0.49262536873156343,2
46,198.0,168.0,366.0,0.5162200282087447,2
47,237.0,114.0,351.0,0.4834710743801653,2
48,260.0,161.0,421.0,0.5121654501216545,2
49,220.0,132.0,352.0,0.46870838881491345,2
50,306.0,125.0,431.0,0.5483460559796438,2
51,243.0,122.0,365.0,0.4585427135678392,2
52,309.0,141.0,450.0,0.5263157894736842,2
53,271.0,137.0,408.0,0.4981684981684982,2
54,303.0,172.0,475.0,0.5385487528344671,2
55,204.0,92.0,296.0,0.47665056360708535,2
56,256.0,147.0,403.0,0.514030612244898,2
57,264.0,136.0,400.0,0.5095541401273885,2
58,285.0,142.0,427.0,0.533083645443196,2
59,247.0,140.0,387.0,0.5466101694915254,2
60,245.0,133.0,378.0,0.4510739856801909,2
61,266.0,129.0,395.0,0.5975794251134644,2
62,239.0,169.0,408.0,0.5447263017356475,2
63,336.0,202.0,538.0,0.5586708203530634,2
64,291.0,143.0,434.0,0.5680628272251309,2
65,292.0,205.0,497.0,0.6002415458937198,2
66,233.0,146.0,379.0,0.4566265060240964,2
120,280.0,153.0,433.0,0.5712401055408971,2
121,318.0,173.0,491.0,0.5735981308411215,2
122,227.0,183.0,410.0,0.5555555555555556,2
123,383.0,169.0,552.0,0.592274678111588,2
124,394.0,163.0,557.0,0.5742268041237113,2
125,295.0,217.0,512.0,0.5739910313901345,2
126,332.0,146.0,478.0,0.5090521831735889,2
127,265.0,164.0,429.0,0.55,2
128,360.0,173.0,533.0,0.5506198347107438,2
129,284.0,112.0,396.0,0.5287049399198932,2
130,319.0,187.0,506.0,0.5458468176914779,2
131,332.0,185.0,517.0,0.5430672268907563,2
132,303.0,147.0,450.0,0.49944506104328523,2
133,369.0,157.0,526.0,0.5542676501580611,2
134,358.0,143.0,501.0,0.5324123273113709,2
135,308.0,133.0,441.0,0.5092378752886836,2
136,319.0,145.0,464.0,0.5076586433260394,2
137,342.0,204.0,546.0,0.5623069001029866,2
138,416.0,180.0,596.0,0.6014127144298688,2
139,291.0,150.0,441.0,0.4856828193832599,2
140,398.0,125.0,523.0,0.571584699453552,2
141,360.0,185.0,545.0,0.5618556701030928,2
142,352.0,144.0,496.0,0.549889135254989,2
143,281.0,183.0,464.0,0.5278725824800911,2
144,390.0,194.0,584.0,0.553030303030303,2
145,267.0,157.0,424.0,0.531328320802005,2
146,273.0,187.0,460.0,0.49145299145299143,2
147,371.0,179.0,550.0,0.5687693898655636,2
148,287.0,205.0,492.0,0.5454545454545454,2
149,295.0,187.0,482.0,0.5337763012181617,2
150,339.0,215.0,554.0,0.554,2
151,451.0,198.0,649.0,0.6175071360608944,2
152,308.0,199.0,507.0,0.5308900523560209,2
153,333.0,173.0,506.0,0.5405982905982906,2
154,260.0,152.0,412.0,0.5105328376703842,2
155,317.0,184.0,501.0,0.5548172757475083,2
156,335.0,173.0,508.0,0.5485961123110151,2
157,228.0,164.0,392.0,0.42701525054466233,2
158,256.0,125.0,381.0,0.4986910994764398,2
159,252.0,161.0,413.0,0.4957983193277311,2
160,292.0,155.0,447.0,0.49066959385290887,2
161,232.0,135.0,367.0,0.46455696202531643,2
162,239.0,98.0,337.0,0.5052473763118441,2
163,270.0,121.0,391.0,0.46882494004796166,2
164,230.0,145.0,375.0,0.43503480278422274,2
165,354.0,170.0,524.0,0.5341488277268094,2
166,287.0,110.0,397.0,0.4823815309842041,2
167,265.0,161.0,426.0,0.5120192307692307,2
168,225.0,151.0,376.0,0.4789808917197452,2
169,270.0,184.0,454.0,0.5022123893805309,2
170,338.0,205.0,543.0,0.562111801242236,2
171,315.0,155.0,470.0,0.5204872646733112,2
172,60.0,33.0,93.0,0.4325581395348837,2
391,282.0,92.0,374.0,0.48508430609597925,2
392,142.0,56.0,198.0,0.4351648351648352,2
393,249.0,76.0,325.0,0.526742301458671,2
394,207.0,45.0,252.0,0.43373493975903615,2
395,186.0,72.0,258.0,0.41346153846153844,2
396,240.0,78.0,318.0,0.43922651933701656,2
397,269.0,76.0,345.0,0.46308724832214765,2
398,152.0,78.0,230.0,0.35222052067381315,2
399,207.0,52.0,259.0,0.4238952536824877,2
400,258.0,86.0,344.0,0.44675324675324674,2
401,184.0,68.0,252.0,0.3968503937007874,2
2136,263.0,148.0,411.0,0.527599486521181,2
2137,343.0,177.0,520.0,0.5148514851485149,2
2138,326.0,143.0,469.0,0.5485380116959064,2
2139,302.0,134.0,436.0,0.4948921679909194,2
2140,283.0,138.0,421.0,0.46365638766519823,2
2141,257.0,114.0,371.0,0.4274193548387097,2
2142,301.0,143.0,444.0,0.570694087403599,2
2143,302.0,126.0,428.0,0.5290482076637825,2
2144,363.0,103.0,466.0,0.548235294117647,2
2145,220.0,157.0,377.0,0.5703479576399395,2
2146,310.0,166.0,476.0,0.5330347144456887,2
2147,215.0,148.0,363.0,0.4378769601930036,2
2148,200.0,125.0,325.0,0.5327868852459017,2
