SEZIONE,CALENDA SINDACO,POTERE AL POPOLO,PARTITO COMUNISTA MARCO RIZZO,GIORGIA MELONI FRATELLI D'ITALIA,LEGA SALVINI PREMIER,LISTA CIVICA MICHETTI SINDACO,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,DEMOS DEMOCRAZIA SOLIDALE,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,PD PARTITO DEMOCRATICO,LISTA CIVICA GUALTIERI SINDACO,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,SINISTRA CIVICA ECOLOGISTA,REVOLUZIONE CIVICA,MOVIMENTO CINQUE STELLE 2050,LISTA CIVICA VIRGINIA RAGGI,ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD,LIBERISTI ITALIANI,TOTALE,MUNICIPIO,AFFLUENZA
28,109,0,6,56,15,7,17,3,7,3,69,22,5,8,0,13,12,0,1,353,2,0.4829001367989056
29,126,1,2,57,7,4,20,4,5,6,82,44,16,14,0,8,9,2,0,407,2,0.5814285714285714
30,140,4,1,83,22,10,17,4,6,10,92,20,15,16,1,13,8,0,0,462,2,0.5938303341902313
31,117,8,4,61,13,4,12,5,4,4,87,37,18,30,2,27,19,8,1,461,2,0.5587878787878788
32,130,6,4,93,20,5,9,1,4,9,100,31,13,16,1,17,14,1,1,475,2,0.4973821989528796
33,133,2,3,102,17,9,10,8,6,15,93,37,12,13,3,25,12,3,0,503,2,0.5334040296924708
34,183,1,3,91,35,7,18,8,7,7,115,28,10,12,0,17,10,6,4,562,2,0.6004273504273504
35,136,5,7,88,23,8,26,1,3,7,129,38,10,15,0,20,17,7,2,542,2,0.5897714907508161
36,104,5,3,94,14,5,16,3,8,5,94,28,9,16,2,32,15,2,1,456,2,0.4887459807073955
38,81,2,0,88,8,8,10,8,2,4,81,17,14,7,0,21,12,0,0,363,2,0.5076923076923077
39,103,3,5,79,17,14,13,2,2,5,108,27,17,9,0,16,22,5,1,448,2,0.5910290237467019
40,111,5,7,84,16,12,6,2,4,7,89,25,8,12,0,20,9,2,0,419,2,0.508495145631068
41,158,5,4,105,24,9,11,2,9,5,109,31,8,20,0,12,8,1,2,523,2,0.6354799513973268
42,97,2,1,52,8,4,17,4,4,6,80,24,15,13,0,27,15,2,1,372,2,0.5430656934306569
43,61,4,1,72,12,6,5,1,4,4,58,27,4,4,1,9,13,0,2,288,2,0.4298507462686567
44,51,4,6,77,12,4,7,3,2,4,75,20,9,11,0,22,17,1,0,325,2,0.487256371814093
45,76,2,4,69,15,6,8,3,6,4,88,25,11,18,1,12,6,2,0,356,2,0.5250737463126843
46,112,5,4,93,16,9,15,5,4,2,76,19,7,6,0,12,8,5,0,398,2,0.5613540197461213
47,90,1,1,67,12,13,9,5,4,8,82,29,11,11,0,24,19,0,0,386,2,0.5316804407713499
48,123,2,1,81,18,13,8,3,9,11,90,34,20,9,1,18,10,1,0,452,2,0.5498783454987834
49,51,4,6,78,9,7,19,6,4,3,100,17,16,15,2,31,16,1,7,392,2,0.521970705725699
50,74,7,1,90,11,8,11,6,11,5,108,39,20,16,0,19,9,3,3,441,2,0.5610687022900763
51,77,3,2,98,17,13,9,1,8,6,90,16,10,14,1,25,17,1,0,408,2,0.5125628140703518
52,115,4,5,90,17,10,14,3,16,1,121,37,15,17,0,18,7,4,1,495,2,0.5789473684210527
53,102,7,0,71,15,11,19,2,7,5,100,37,9,7,0,21,7,1,0,421,2,0.514041514041514
54,103,5,2,63,17,6,24,7,16,7,102,34,8,18,0,34,13,0,0,459,2,0.5204081632653061
55,85,3,1,60,8,5,6,3,11,0,78,21,19,2,1,13,10,2,2,330,2,0.5314009661835749
56,77,7,5,88,20,7,15,5,5,4,120,29,25,10,0,10,5,0,0,432,2,0.5510204081632653
57,120,5,1,105,28,7,5,3,4,7,82,24,13,9,1,23,10,0,0,447,2,0.5694267515923567
58,154,3,2,98,10,11,8,4,5,12,100,24,14,9,0,22,9,3,0,488,2,0.6092384519350812
59,94,2,4,71,19,7,23,6,9,9,80,32,11,10,1,11,14,1,0,404,2,0.5706214689265536
60,91,7,1,80,17,9,14,6,12,6,76,19,9,18,0,27,28,0,1,421,2,0.5023866348448688
61,116,1,5,72,22,7,10,2,1,6,99,23,12,14,0,24,6,1,1,422,2,0.6384266263237519
62,96,6,0,114,17,6,14,3,8,2,78,27,14,13,4,26,10,0,1,439,2,0.5861148197596796
63,169,3,2,108,29,6,17,6,12,12,110,35,15,10,1,20,15,1,0,571,2,0.592938733125649
64,140,4,2,73,16,6,19,5,3,7,87,45,19,9,2,12,8,0,0,457,2,0.5981675392670157
65,122,4,2,110,23,17,26,2,7,5,104,29,7,13,1,22,15,4,3,516,2,0.6231884057971014
66,90,3,2,93,14,14,13,6,4,5,68,21,15,8,1,22,10,1,0,390,2,0.46987951807228917
120,140,4,0,75,16,15,13,2,4,4,87,38,12,14,20,9,4,2,1,460,2,0.6068601583113457
121,154,3,3,68,21,19,10,32,5,2,95,32,17,9,0,19,12,6,0,507,2,0.5922897196261683
122,154,0,3,66,27,11,30,7,5,9,62,20,12,9,0,13,6,0,0,434,2,0.5880758807588076
123,213,8,4,84,24,6,22,3,5,14,95,27,24,10,5,13,16,3,1,577,2,0.619098712446352
124,201,2,7,33,22,17,5,5,10,6,195,42,40,20,1,14,5,4,1,630,2,0.6494845360824743
125,173,2,5,116,20,14,21,10,1,8,119,22,14,3,1,9,9,0,2,549,2,0.6154708520179372
126,170,1,6,80,17,5,11,6,3,10,108,26,16,15,0,14,21,2,1,512,2,0.5452609158679447
127,148,4,0,81,33,10,12,5,7,5,103,24,11,5,0,2,5,2,0,457,2,0.5858974358974359
128,170,2,4,74,34,10,16,9,14,6,125,28,30,20,0,19,9,1,2,573,2,0.5919421487603306
129,135,3,1,70,18,3,11,6,5,9,89,38,14,12,1,13,13,3,2,446,2,0.595460614152203
130,148,9,2,87,28,10,24,6,3,5,122,65,12,12,0,13,9,2,0,557,2,0.6008629989212514
131,176,5,1,81,19,11,37,3,6,4,127,36,11,10,0,22,12,1,1,563,2,0.5913865546218487
132,165,1,4,81,20,10,29,4,7,8,93,27,11,8,2,23,9,1,1,504,2,0.5593784683684795
133,178,3,4,81,22,13,26,7,11,9,121,29,36,13,4,19,10,3,0,589,2,0.6206533192834562
134,102,8,9,83,27,10,15,6,9,5,144,27,26,26,1,9,9,3,0,519,2,0.5515409139213603
135,162,4,2,66,19,14,19,6,3,12,91,29,9,14,1,18,12,5,3,489,2,0.5646651270207852
136,163,4,2,83,20,11,8,7,3,6,92,38,17,8,1,23,8,1,0,495,2,0.5415754923413567
137,184,4,0,91,37,19,11,8,5,11,113,23,23,5,0,16,6,3,1,560,2,0.576725025746653
138,202,8,0,80,21,14,25,6,11,0,123,41,25,25,0,19,19,4,0,623,2,0.6286579212916246
139,161,3,3,47,13,6,11,8,3,3,92,20,11,11,1,19,9,2,0,423,2,0.4658590308370044
140,173,8,5,68,14,4,7,2,2,13,120,45,23,14,1,19,10,0,0,528,2,0.5770491803278689
141,185,4,1,89,36,4,22,4,2,8,155,31,31,11,2,24,11,2,2,624,2,0.643298969072165
142,183,5,1,59,13,8,25,5,6,7,119,40,21,12,1,12,4,6,0,527,2,0.5842572062084257
143,185,2,3,98,37,12,17,3,5,12,82,24,14,13,0,19,7,0,3,536,2,0.6097838452787259
144,209,2,3,78,32,10,18,8,4,9,111,53,25,13,2,15,20,3,0,615,2,0.5823863636363636
145,133,0,1,68,42,6,19,7,6,4,96,27,10,5,2,18,5,0,0,449,2,0.5626566416040101
146,201,5,6,99,36,8,27,6,4,13,67,29,13,9,3,16,6,0,2,550,2,0.5876068376068376
147,144,6,6,85,30,12,19,2,5,11,150,23,19,11,0,22,17,1,0,563,2,0.5822130299896587
148,141,4,2,79,80,14,13,7,1,5,98,29,20,10,2,19,8,0,0,532,2,0.5898004434589801
149,115,3,6,77,92,13,9,7,11,11,88,31,13,13,0,21,11,1,0,522,2,0.5780730897009967
150,168,2,0,99,47,16,20,7,1,4,99,43,30,11,0,26,11,1,1,586,2,0.586
151,255,5,2,103,25,21,16,6,3,8,155,37,29,20,2,21,8,2,1,719,2,0.6841103710751665
152,96,2,1,98,48,12,27,12,5,5,131,23,22,11,1,29,14,3,3,543,2,0.5685863874345549
153,140,3,8,81,37,7,7,6,9,9,114,24,11,10,0,20,20,1,1,508,2,0.5427350427350427
154,124,3,2,66,61,5,25,6,3,4,90,14,16,14,0,23,8,0,0,464,2,0.5749690210656754
155,141,3,3,68,79,7,12,4,3,5,117,29,5,9,0,20,8,0,1,514,2,0.5692137320044297
156,127,3,4,64,59,5,14,5,4,11,128,28,13,16,0,26,20,1,0,528,2,0.5701943844492441
157,88,6,3,97,18,11,24,5,4,9,72,24,16,7,1,18,12,4,4,423,2,0.46078431372549017
158,93,6,3,68,18,6,13,2,10,8,86,29,17,4,0,25,18,5,0,411,2,0.5379581151832461
159,120,1,2,100,36,9,15,6,0,7,81,23,16,10,1,28,11,1,1,468,2,0.5618247298919568
160,129,4,0,82,39,7,20,5,3,4,93,21,15,11,2,23,14,0,1,473,2,0.5192096597145993
