SEZIONE,CATERINA BOCA,PAOLO ALECCI,ALESSIO TONDI,PATRIZIO DI TURSI,FRANCESCA DEL BELLO,MASSIMO TESONE,ELISABETTA GAGLIASSI,RAFFAELE SCHETTINO,STEFANO BERRUTI,TOTALE,AFFLUENZA
28,116,1,6,103,124,0,25,0,1,376,0.5143638850889193
29,135,1,0,97,209,0,23,2,0,467,0.6671428571428571
30,148,5,1,138,165,1,24,0,0,482,0.6195372750642674
31,125,8,4,98,190,2,50,7,1,485,0.5878787878787879
32,137,15,4,148,178,1,36,1,1,521,0.5455497382198953
33,142,2,4,151,185,3,39,2,0,528,0.559915164369035
34,191,1,3,166,187,0,32,6,4,590,0.6303418803418803
35,142,5,7,149,216,0,43,10,2,574,0.6245919477693145
36,114,7,4,136,174,2,50,3,1,491,0.5262593783494105
38,86,2,0,127,133,1,38,0,0,387,0.5412587412587413
39,108,4,5,132,176,0,47,6,1,479,0.6319261213720316
40,116,6,8,128,159,0,31,2,1,451,0.5473300970873787
41,158,5,4,151,182,34,20,1,2,557,0.6767922235722965
42,97,2,1,101,147,0,43,2,1,394,0.5751824817518248
43,66,5,1,103,111,1,27,0,2,316,0.4716417910447761
44,57,4,6,104,129,0,43,1,0,344,0.5157421289355323
45,76,2,4,110,167,1,21,2,1,384,0.5663716814159292
46,117,6,4,141,114,1,24,6,0,413,0.5825105782792666
47,92,1,1,114,152,1,54,0,0,415,0.571625344352617
48,132,2,1,127,185,1,32,1,0,481,0.5851581508515815
49,67,6,6,124,156,3,56,1,7,426,0.5672436750998668
50,92,7,1,129,204,0,30,3,3,469,0.5966921119592875
51,79,3,2,142,157,1,45,1,0,430,0.5402010050251256
52,122,4,5,136,217,0,32,4,1,521,0.6093567251461989
53,106,7,0,127,183,1,36,1,0,461,0.5628815628815629
54,108,5,4,125,194,1,47,3,0,487,0.5521541950113379
55,89,7,0,88,138,1,25,2,2,352,0.5668276972624798
56,83,7,5,141,206,0,19,0,0,461,0.5880102040816326
57,124,5,1,150,150,0,40,0,0,470,0.5987261146496815
58,164,3,2,137,165,0,40,4,0,515,0.6429463171036205
59,102,2,4,131,165,1,29,1,0,435,0.614406779661017
60,91,7,1,134,169,1,63,0,0,466,0.5560859188544153
61,116,1,5,113,171,0,32,1,1,440,0.6656580937972768
62,105,6,3,154,147,4,44,3,1,467,0.6234979973297731
63,183,3,2,170,211,1,40,1,0,611,0.6344755970924195
64,150,5,3,123,186,1,25,0,0,493,0.6452879581151832
