SEZIONE,GIORDANA PETRELLA,PAOLO EMILIO MARCHIONNE,TOTALE,AFFLUENZA,MUNICIPIO
1,221.0,283.0,504.0,0.5060240963855421,3
25,190.0,309.0,499.0,0.4225232853513971,3
37,174.0,241.0,415.0,0.5279898218829516,3
67,132.0,260.0,392.0,0.39357429718875503,3
68,139.0,312.0,451.0,0.5299647473560517,3
69,146.0,348.0,494.0,0.5387131952017448,3
70,117.0,238.0,355.0,0.49789621318373073,3
71,139.0,306.0,445.0,0.4790096878363832,3
72,126.0,276.0,402.0,0.4471635150166852,3
73,122.0,447.0,569.0,0.5471153846153847,3
74,101.0,323.0,424.0,0.5593667546174143,3
75,166.0,355.0,521.0,0.5278622087132725,3
76,145.0,359.0,504.0,0.5538461538461539,3
77,151.0,453.0,604.0,0.608257804632427,3
78,123.0,247.0,370.0,0.46365914786967416,3
79,104.0,260.0,364.0,0.44882860665844637,3
80,93.0,248.0,341.0,0.42947103274559195,3
81,148.0,334.0,482.0,0.5160599571734475,3
82,132.0,375.0,507.0,0.5399361022364217,3
83,118.0,427.0,545.0,0.543369890329013,3
84,106.0,327.0,433.0,0.48597081930415265,3
85,138.0,415.0,553.0,0.5400390625,3
86,108.0,407.0,515.0,0.5484558040468583,3
87,130.0,370.0,500.0,0.5319148936170213,3
88,116.0,344.0,460.0,0.5233219567690558,3
89,176.0,305.0,481.0,0.5368303571428571,3
90,124.0,252.0,376.0,0.42152466367713004,3
91,137.0,292.0,429.0,0.4544491525423729,3
92,143.0,370.0,513.0,0.5706340378197998,3
93,121.0,243.0,364.0,0.4879356568364611,3
94,168.0,306.0,474.0,0.5254988913525499,3
95,132.0,224.0,356.0,0.47214854111405835,3
96,148.0,313.0,461.0,0.5162374020156775,3
97,151.0,308.0,459.0,0.5263761467889908,3
98,127.0,199.0,326.0,0.45027624309392267,3
99,135.0,280.0,415.0,0.46998867497168745,3
100,181.0,361.0,542.0,0.5536261491317671,3
101,133.0,245.0,378.0,0.4421052631578947,3
102,207.0,261.0,468.0,0.5435540069686411,3
103,235.0,186.0,421.0,0.5467532467532468,3
104,173.0,293.0,466.0,0.5143487858719646,3
105,174.0,236.0,410.0,0.5105853051058531,3
106,153.0,196.0,349.0,0.4184652278177458,3
107,223.0,292.0,515.0,0.5432489451476793,3
108,186.0,252.0,438.0,0.4872080088987764,3
109,105.0,184.0,289.0,0.3368298368298368,3
110,87.0,155.0,242.0,0.2823803967327888,3
111,120.0,185.0,305.0,0.35017221584385766,3
112,103.0,195.0,298.0,0.3200859291084855,3
113,70.0,185.0,255.0,0.2874859075535513,3
114,181.0,295.0,476.0,0.4953173777315297,3
115,119.0,234.0,353.0,0.35264735264735264,3
116,124.0,195.0,319.0,0.3079150579150579,3
117,102.0,208.0,310.0,0.28518859245630174,3
118,100.0,213.0,313.0,0.3284365162644281,3
119,128.0,194.0,322.0,0.31353456669912366,3
207,182.0,300.0,482.0,0.5199568500539374,3
208,177.0,287.0,464.0,0.5248868778280543,3
209,150.0,276.0,426.0,0.49078341013824883,3
210,142.0,286.0,428.0,0.513189448441247,3
211,159.0,273.0,432.0,0.5094339622641509,3
212,158.0,286.0,444.0,0.47690655209452204,3
213,177.0,263.0,440.0,0.5116279069767442,3
214,123.0,238.0,361.0,0.5,3
215,151.0,293.0,444.0,0.5515527950310559,3
216,147.0,274.0,421.0,0.4740990990990991,3
217,126.0,232.0,358.0,0.46134020618556704,3
218,157.0,250.0,407.0,0.5055900621118012,3
219,134.0,305.0,439.0,0.4818880351262349,3
220,131.0,213.0,344.0,0.46994535519125685,3
221,154.0,298.0,452.0,0.49452954048140046,3
222,169.0,350.0,519.0,0.5372670807453416,3
223,133.0,269.0,402.0,0.5153846153846153,3
224,180.0,258.0,438.0,0.5069444444444444,3
225,208.0,357.0,565.0,0.5824742268041238,3
226,235.0,347.0,582.0,0.5096322241681261,3
227,118.0,212.0,330.0,0.5229793977812995,3
228,128.0,246.0,374.0,0.44365361803084225,3
229,135.0,273.0,408.0,0.48398576512455516,3
230,150.0,276.0,426.0,0.4570815450643777,3
231,150.0,323.0,473.0,0.5232300884955752,3
232,170.0,228.0,398.0,0.4617169373549884,3
233,202.0,337.0,539.0,0.5661764705882353,3
234,202.0,321.0,523.0,0.5298885511651469,3
235,167.0,363.0,530.0,0.531062124248497,3
264,166.0,143.0,309.0,0.31370558375634516,3
285,197.0,345.0,542.0,0.5013876040703052,3
286,101.0,355.0,456.0,0.5022026431718062,3
287,110.0,266.0,376.0,0.46824408468244083,3
288,97.0,199.0,296.0,0.49169435215946844,3
289,157.0,285.0,442.0,0.542997542997543,3
290,200.0,294.0,494.0,0.5446527012127894,3
291,184.0,245.0,429.0,0.5315985130111525,3
292,106.0,146.0,252.0,0.43674176776429807,3
293,141.0,251.0,392.0,0.5275908479138627,3
294,108.0,264.0,372.0,0.5254237288135594,3
295,114.0,256.0,370.0,0.563165905631659,3
296,132.0,287.0,419.0,0.5455729166666666,3
297,145.0,259.0,404.0,0.5459459459459459,3
298,149.0,292.0,441.0,0.5817941952506597,3
299,83.0,179.0,262.0,0.46785714285714286,3
300,151.0,285.0,436.0,0.5429638854296388,3
301,144.0,252.0,396.0,0.5395095367847411,3
302,126.0,280.0,406.0,0.5391766268260292,3
303,125.0,176.0,301.0,0.4192200557103064,3
304,117.0,224.0,341.0,0.5081967213114754,3
305,118.0,215.0,333.0,0.5053110773899848,3
306,120.0,165.0,285.0,0.4398148148148148,3
307,131.0,171.0,302.0,0.43515850144092216,3
308,120.0,281.0,401.0,0.50125,3
309,162.0,308.0,470.0,0.49682875264270615,3
310,170.0,400.0,570.0,0.5882352941176471,3
312,170.0,262.0,432.0,0.48322147651006714,3
313,129.0,179.0,308.0,0.3728813559322034,3
315,128.0,226.0,354.0,0.387308533916849,3
316,123.0,261.0,384.0,0.4169381107491857,3
317,137.0,256.0,393.0,0.41151832460732984,3
318,96.0,246.0,342.0,0.462787550744249,3
319,112.0,90.0,202.0,0.28212290502793297,3
320,75.0,108.0,183.0,0.26598837209302323,3
