SEZIONE,PARTITO COMUNISTA MARCO RIZZO,ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD,LIBERISTI ITALIANI,MOVIMENTO STORICO ROMANO LISTA NERONE,RICONQUISTARE L'ITALIA,IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,LISTA CIVICA VIRGINIA RAGGI,MOVIMENTO CINQUE STELLE 2050,CALENDA SINDACO,REVOLUZIONE CIVICA,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,LISTA CIVICA MICHETTI SINDACO,LEGA SALVINI PREMIER,GIORGIA MELONI FRATELLI D'ITALIA,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,DEMOS DEMOCRAZIA SOLIDALE,LISTA CIVICA GUALTIERI SINDACO,SINISTRA CIVICA ECOLOGISTA,PD PARTITO DEMOCRATICO,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,POTERE AL POPOLO,TOTALE,MUNICIPIO,AFFLUENZA
1,3,7,0,1,2,3,15,47,94,3,7,17,31,123,18,14,3,31,5,95,24,0,543,3,0.5451807228915663
25,4,5,2,3,0,4,43,70,44,17,8,16,29,95,28,21,10,33,17,107,23,3,582,3,0.4928027095681626
37,2,2,6,1,2,0,29,22,78,0,9,17,20,106,18,11,5,21,2,82,25,1,459,3,0.583969465648855
67,7,2,0,1,0,5,23,32,82,5,5,14,18,73,22,6,1,26,13,67,28,10,440,3,0.44176706827309237
68,8,4,2,1,1,5,24,41,75,2,4,6,25,69,23,8,4,18,12,78,46,10,466,3,0.5475910693301997
69,6,5,1,1,3,1,24,24,79,6,2,9,18,72,16,9,4,29,26,87,56,17,495,3,0.5398037077426391
70,2,0,1,4,35,2,22,19,86,2,11,13,16,48,14,8,3,17,9,70,38,7,427,3,0.5988779803646563
71,1,1,2,6,0,2,22,39,66,1,9,7,15,62,37,13,5,22,14,81,52,2,459,3,0.4940796555435953
72,0,3,3,4,0,3,31,39,66,2,5,17,10,43,23,9,3,25,21,79,41,5,432,3,0.48053392658509453
73,12,0,0,2,2,2,25,24,93,1,6,9,14,58,19,16,9,36,17,163,69,4,581,3,0.5586538461538462
74,6,3,5,0,1,2,14,26,76,0,5,7,17,41,9,9,5,29,16,93,72,9,445,3,0.5870712401055409
75,2,0,3,0,0,1,18,25,83,0,14,9,17,66,19,9,9,31,25,138,58,4,531,3,0.5379939209726444
76,4,5,0,1,0,3,22,32,84,5,9,9,8,62,28,15,15,26,16,105,38,7,494,3,0.5428571428571428
77,6,10,1,0,1,5,21,26,116,1,11,3,12,56,26,14,7,33,26,131,79,6,591,3,0.595166163141994
78,5,4,1,11,1,1,22,22,72,1,3,6,16,40,28,13,5,15,14,87,25,3,395,3,0.4949874686716792
79,1,6,0,0,2,1,21,35,86,2,6,5,10,46,29,9,5,16,29,70,26,9,414,3,0.5104808877928483
80,7,0,1,6,0,1,22,19,59,0,7,5,4,51,25,2,4,32,19,87,25,5,381,3,0.47984886649874053
81,4,5,3,1,0,2,19,21,85,1,6,12,13,63,28,15,2,5,18,102,48,11,464,3,0.49678800856531047
82,5,3,0,0,0,2,21,23,81,1,4,12,18,56,28,12,6,34,20,110,51,10,497,3,0.5292864749733759
83,7,4,0,0,0,4,22,30,143,3,13,4,13,47,19,17,7,18,18,103,72,9,553,3,0.551345962113659
84,3,2,8,1,2,4,28,30,77,0,3,7,21,56,10,11,3,18,13,112,37,7,453,3,0.5084175084175084
85,8,3,1,4,0,2,27,38,108,1,5,7,24,72,13,19,6,30,23,115,63,7,576,3,0.5625
86,4,3,6,1,0,3,23,21,107,1,6,5,17,61,10,8,8,28,28,96,87,9,532,3,0.5665601703940362
87,6,5,0,0,4,1,11,22,118,1,10,11,25,56,13,16,12,33,16,103,58,1,522,3,0.5553191489361702
88,3,5,1,1,2,2,26,21,78,1,10,9,15,45,20,14,3,23,11,102,61,5,458,3,0.5210466439135382
89,2,6,0,1,1,3,28,34,83,1,6,12,18,93,29,6,15,29,7,88,51,3,516,3,0.5758928571428571
90,7,2,3,0,1,0,30,29,60,3,3,8,12,68,35,3,4,12,19,85,30,8,422,3,0.4730941704035874
91,3,1,1,0,0,6,15,33,77,1,13,9,23,59,20,9,12,31,9,82,39,7,450,3,0.4766949152542373
92,7,1,0,1,1,5,25,16,101,2,12,12,17,65,14,12,6,15,21,108,58,8,507,3,0.5639599555061179
93,5,3,0,3,2,5,23,32,55,2,11,7,22,65,17,10,5,24,11,82,26,6,416,3,0.5576407506702413
94,4,5,1,1,1,5,37,38,54,3,7,6,25,96,18,6,10,26,9,78,42,8,480,3,0.532150776053215
95,5,3,3,1,1,0,20,28,65,1,5,7,14,89,12,9,6,11,10,69,27,2,388,3,0.5145888594164456
96,2,3,0,1,1,2,27,38,75,1,7,11,29,92,15,5,11,31,10,105,34,10,510,3,0.5711086226203808
97,3,3,0,0,0,3,24,27,69,0,3,10,30,76,22,7,3,28,18,102,35,14,477,3,0.5470183486238532
98,5,0,1,2,0,1,16,22,39,3,6,20,19,79,14,5,2,10,8,69,23,2,346,3,0.47790055248618785
99,7,5,0,3,1,4,27,23,56,1,7,8,12,183,14,7,24,29,11,93,25,6,546,3,0.6183465458663646
100,5,5,5,0,0,0,38,22,99,1,10,12,22,76,23,8,4,38,16,128,35,6,553,3,0.5648621041879469
101,4,4,3,1,1,3,23,29,63,2,8,9,18,59,19,10,5,24,9,66,37,5,402,3,0.47017543859649125
102,0,0,3,0,1,1,15,22,103,0,10,22,29,122,20,7,4,21,8,84,27,2,501,3,0.5818815331010453
103,6,2,1,0,0,0,16,26,77,0,6,15,16,120,12,7,11,29,5,81,20,0,450,3,0.5844155844155844
104,4,0,4,1,1,2,26,22,95,3,8,10,24,90,11,11,9,16,7,94,29,1,468,3,0.5165562913907285
105,5,1,0,0,0,5,12,35,76,6,8,7,34,81,17,6,5,21,4,67,22,1,413,3,0.5143212951432129
106,3,2,3,0,0,2,22,38,82,4,8,3,27,80,23,2,3,15,7,72,12,3,411,3,0.49280575539568344
107,2,0,0,0,0,2,19,34,93,6,6,8,29,116,24,10,2,25,3,87,32,2,500,3,0.5274261603375527
108,6,0,6,2,0,0,19,35,73,1,9,10,21,105,28,9,5,20,9,107,19,1,485,3,0.5394883203559511
109,9,2,3,0,0,0,27,41,31,0,7,7,23,62,2,8,8,22,16,47,16,4,335,3,0.39044289044289043
110,8,0,9,0,0,4,14,36,14,1,7,10,17,48,7,5,16,32,24,49,10,2,313,3,0.3652275379229872
111,8,2,0,1,1,3,26,36,29,0,0,6,25,66,7,1,3,13,18,65,12,2,324,3,0.3719862227324914
112,7,0,1,1,3,2,25,34,21,0,3,8,31,48,8,11,9,15,13,58,26,2,326,3,0.3501611170784103
113,8,1,1,0,0,1,31,41,27,0,6,8,27,38,12,5,9,15,25,48,13,2,318,3,0.35851183765501693
114,2,3,2,0,2,1,35,76,89,1,7,11,30,86,29,6,0,32,9,104,16,1,542,3,0.5639958376690947
115,4,0,1,0,1,1,30,32,41,0,6,8,28,63,25,10,9,20,59,67,10,5,420,3,0.4195804195804196
116,9,0,2,0,1,2,29,35,25,2,11,6,44,53,15,5,8,14,60,44,16,11,392,3,0.3783783783783784
117,5,0,1,0,3,6,31,66,32,0,4,6,29,40,11,2,5,6,55,67,6,5,380,3,0.34958601655933763
118,0,0,0,1,0,6,27,34,42,3,5,11,23,44,13,15,1,11,17,68,14,7,342,3,0.3588667366211962
119,2,3,1,1,1,0,30,55,22,0,2,9,27,62,10,5,3,15,31,66,8,2,355,3,0.3456669912366115
207,5,3,0,1,1,0,31,29,81,3,3,14,26,82,19,8,9,30,14,94,24,2,479,3,0.5167206040992449
208,2,0,1,0,0,3,21,27,87,1,11,15,21,92,23,6,14,28,10,100,20,3,485,3,0.5486425339366516
209,1,0,0,0,4,3,24,29,73,1,8,9,22,97,23,7,7,29,9,106,19,5,476,3,0.5483870967741935
210,2,2,1,0,2,5,27,35,70,0,3,15,28,88,15,9,6,30,8,87,20,3,456,3,0.5467625899280576
211,4,1,3,1,1,5,27,19,108,3,7,3,31,87,21,3,5,22,8,96,27,6,488,3,0.5754716981132075
212,5,2,0,0,1,0,27,28,95,0,3,12,37,88,11,9,6,31,7,100,17,2,481,3,0.5166487647690655
213,3,2,0,0,2,1,20,24,84,0,9,7,27,84,13,7,14,26,13,72,26,3,437,3,0.5081395348837209
214,5,3,0,0,2,3,16,23,95,0,5,7,10,70,14,3,11,15,6,83,11,3,385,3,0.5332409972299169
215,3,3,0,1,0,1,23,23,76,1,6,8,20,71,25,6,5,29,10,99,18,1,429,3,0.5329192546583851
216,7,1,1,0,0,3,20,33,80,1,8,14,28,61,22,11,0,19,9,91,20,6,435,3,0.48986486486486486
217,11,0,1,0,2,3,18,27,70,0,5,15,32,53,11,10,5,12,5,80,11,3,374,3,0.48195876288659795
218,0,3,0,1,3,1,22,26,91,3,4,17,23,66,21,10,2,26,13,74,11,4,421,3,0.5229813664596273
219,6,0,0,0,0,1,22,55,83,1,11,9,22,73,15,8,6,30,27,72,33,6,480,3,0.5268935236004391
220,2,2,0,2,0,1,17,32,45,6,5,9,16,61,13,4,5,23,2,92,12,5,354,3,0.48360655737704916
221,5,0,0,0,0,0,15,19,101,0,8,6,12,88,20,12,11,10,18,86,30,6,447,3,0.4890590809628009
222,4,3,3,2,0,7,26,30,105,6,10,15,29,64,30,16,10,35,10,123,45,3,576,3,0.5962732919254659
223,2,2,1,0,0,4,15,19,107,0,6,14,22,70,17,8,11,15,11,91,10,2,427,3,0.5474358974358975
224,3,0,1,0,2,3,20,30,79,1,16,12,33,96,38,0,5,31,4,78,27,1,480,3,0.5555555555555556
225,24,4,3,2,0,7,31,63,108,0,9,10,40,98,25,11,7,33,9,94,22,6,606,3,0.6247422680412371
226,5,3,1,1,2,4,40,62,123,3,14,12,34,112,33,13,3,33,9,95,17,5,624,3,0.5464098073555166
227,7,3,0,0,1,5,16,11,63,1,5,14,11,59,18,10,0,27,15,63,13,5,347,3,0.5499207606973059
228,5,6,2,1,0,4,26,36,57,2,11,7,19,76,15,6,4,22,8,81,22,6,416,3,0.49347568208778175
229,2,3,0,1,0,1,33,35,82,0,7,12,17,67,24,10,5,24,10,88,25,9,455,3,0.5397390272835113
230,2,1,2,1,0,4,27,51,96,2,11,7,27,68,21,11,11,19,9,89,17,9,485,3,0.5203862660944206
231,1,1,7,0,3,2,23,32,33,1,12,20,20,84,13,6,23,16,7,102,21,5,432,3,0.4778761061946903
232,4,0,2,1,5,3,19,21,78,7,9,4,35,82,20,8,5,29,6,71,20,3,432,3,0.5011600928074246
233,4,2,0,0,1,2,17,19,114,3,14,13,27,89,45,7,10,22,14,107,23,6,539,3,0.5661764705882353
234,3,6,0,0,2,1,8,26,109,1,5,10,23,77,85,8,12,25,10,82,31,1,525,3,0.5319148936170213
235,1,4,0,0,4,1,23,31,99,4,15,12,18,84,46,5,18,23,11,105,46,5,555,3,0.5561122244488977
264,3,2,0,2,3,5,17,30,36,1,8,9,32,86,19,6,4,14,11,61,6,0,355,3,0.3604060913705584
285,3,2,2,0,1,1,34,34,119,8,6,9,23,99,24,14,10,34,12,145,34,3,617,3,0.5707678075855689
286,5,1,2,0,2,1,33,28,93,2,3,6,15,51,8,13,12,28,14,108,43,3,471,3,0.5187224669603524
287,3,2,1,0,1,2,24,27,58,1,7,11,18,60,10,7,7,19,7,96,40,3,404,3,0.5031133250311333
288,3,1,0,0,0,1,19,29,52,1,6,7,14,38,5,6,0,15,4,104,23,4,332,3,0.5514950166112956
289,4,0,0,1,1,0,13,24,24,1,6,14,26,28,23,4,3,26,5,131,21,3,358,3,0.4398034398034398
290,0,2,0,0,3,3,14,15,124,5,6,20,21,96,21,9,3,19,4,135,16,3,519,3,0.5722160970231532
291,1,0,0,2,0,0,26,28,65,1,10,7,28,86,36,14,4,31,7,91,10,4,451,3,0.5588599752168525
292,2,0,0,0,1,0,14,33,38,0,8,11,18,46,17,2,6,13,6,57,12,3,287,3,0.49740034662045063
293,0,2,3,0,2,1,9,26,47,0,7,10,24,76,14,8,3,23,4,74,40,4,377,3,0.5074024226110363
294,3,2,0,0,1,0,25,23,75,5,5,4,19,41,11,6,1,22,6,127,21,3,400,3,0.5649717514124294
295,1,0,1,1,1,1,14,15,75,1,6,6,18,44,23,5,2,25,5,98,37,1,380,3,0.578386605783866
296,1,5,3,0,1,3,11,17,74,1,8,31,16,37,15,11,5,27,6,101,20,2,395,3,0.5143229166666666
297,5,4,1,0,0,1,19,28,72,5,7,11,11,83,12,5,9,27,5,94,24,1,424,3,0.572972972972973
298,1,0,1,0,0,4,14,21,78,2,9,7,20,76,15,14,13,32,9,112,28,3,459,3,0.6055408970976254
299,5,2,1,0,2,4,9,23,41,3,2,5,7,38,8,11,10,14,6,56,15,2,264,3,0.4714285714285714
300,0,3,2,0,1,3,20,27,96,3,6,17,21,60,19,10,7,9,6,121,26,2,459,3,0.5716064757160647
301,1,0,3,0,1,2,11,20,94,2,6,10,8,65,14,7,2,20,3,97,26,3,395,3,0.5381471389645777
302,1,3,0,1,1,2,15,21,95,0,4,12,13,63,9,5,5,21,10,105,18,3,407,3,0.5405046480743692
303,1,0,3,1,0,2,12,19,56,4,10,11,18,62,11,24,11,29,7,62,9,4,356,3,0.4958217270194986
304,4,1,0,0,0,1,24,25,58,3,9,8,28,42,14,6,6,16,7,60,25,3,340,3,0.5067064083457526
305,2,3,0,0,1,2,27,27,57,1,4,10,25,49,9,7,6,16,6,70,30,3,355,3,0.5386949924127465
306,8,3,0,0,1,2,18,19,31,1,7,6,27,61,12,5,16,9,9,55,8,1,299,3,0.46141975308641975
307,8,2,1,1,1,3,16,16,40,2,2,2,20,55,23,13,6,13,4,60,9,5,302,3,0.43515850144092216
308,5,2,1,1,1,4,27,36,64,1,4,12,19,49,29,3,3,17,4,116,23,3,424,3,0.53
309,4,0,3,1,0,5,12,24,99,2,11,10,34,74,12,22,32,22,5,85,19,4,480,3,0.507399577167019
310,5,2,2,1,1,12,21,35,68,12,8,12,22,79,27,10,11,39,9,166,52,5,599,3,0.6181630546955624
312,6,1,1,0,0,1,27,36,72,5,3,8,24,76,29,17,6,19,14,91,17,3,456,3,0.5100671140939598
313,7,4,2,1,0,2,22,37,30,7,9,15,26,55,13,11,6,16,32,46,13,4,358,3,0.43341404358353514
315,4,2,0,0,1,0,22,23,42,3,8,5,28,78,11,11,13,16,13,96,18,2,396,3,0.43326039387308535
316,4,1,3,1,2,3,20,38,50,0,3,7,21,58,25,7,3,18,10,87,29,3,393,3,0.42671009771986973
317,6,1,1,1,4,0,30,37,64,1,8,9,35,77,6,12,4,24,10,110,21,2,463,3,0.4848167539267016
318,5,1,2,0,1,3,19,29,54,0,5,4,16,55,8,7,4,15,4,80,48,4,364,3,0.4925575101488498
319,2,0,1,0,0,5,20,16,15,1,6,16,25,50,26,3,5,10,6,41,5,1,254,3,0.3547486033519553
320,0,0,1,0,0,0,15,29,13,2,5,9,23,49,11,4,9,14,7,40,7,4,242,3,0.35174418604651164
321,3,1,1,0,0,1,19,18,9,1,3,8,26,31,20,2,8,18,7,31,3,6,216,3,0.30945558739255014
322,4,1,0,2,1,3,10,16,14,4,2,3,22,40,10,7,3,5,1,23,1,0,172,3,0.3954022988505747
323,3,1,0,1,0,3,19,23,36,1,7,13,32,79,14,5,10,13,1,56,16,1,334,3,0.4483221476510067
324,1,2,2,0,0,0,29,27,22,0,6,7,74,66,17,5,24,13,2,58,9,2,366,3,0.4945945945945946
325,2,0,1,2,0,2,22,22,29,0,7,8,24,68,17,5,1,17,4,64,4,4,303,3,0.4128065395095368
326,4,0,0,0,5,1,24,33,20,0,2,8,38,58,15,5,5,13,4,41,4,3,283,3,0.39691444600280507
327,5,7,0,0,1,0,23,27,19,0,3,7,41,57,37,6,1,11,7,43,5,0,300,3,0.3836317135549872
328,5,1,3,0,0,1,30,53,46,1,8,21,25,84,42,2,1,16,9,76,12,5,441,3,0.47115384615384615
329,3,2,0,0,2,3,38,46,51,0,7,10,36,79,28,6,5,19,2,92,19,10,458,3,0.5157657657657657
330,2,4,0,0,2,0,26,52,57,4,10,8,16,67,80,6,6,25,10,76,16,12,479,3,0.6101910828025477
331,3,3,1,0,0,1,30,50,53,1,6,14,34,109,115,4,3,30,13,87,12,4,573,3,0.56286836935167
332,5,2,3,1,1,5,33,46,36,0,7,12,24,107,20,3,3,28,12,71,17,3,439,3,0.3969258589511754
333,0,0,1,0,0,0,30,42,37,0,0,5,30,119,28,3,5,12,10,50,4,0,376,3,0.38524590163934425
334,1,0,2,0,0,17,42,30,52,0,4,9,26,108,20,6,9,23,4,68,16,1,438,3,0.4634920634920635
335,0,3,0,0,1,5,28,44,46,4,7,10,19,129,18,6,3,18,3,59,14,2,419,3,0.4306269270298047
336,3,0,1,0,0,5,37,36,27,0,5,10,28,132,13,7,6,18,2,49,10,0,389,3,0.4658682634730539
337,3,0,1,0,1,9,49,30,35,2,1,15,29,144,15,7,10,19,6,64,17,4,461,3,0.444980694980695
338,2,1,1,0,1,3,21,27,21,1,4,6,28,127,14,8,5,17,5,42,9,3,346,3,0.4298136645962733
339,6,1,1,0,0,4,57,64,63,0,10,14,35,129,14,9,8,27,7,74,26,3,552,3,0.5041095890410959
340,7,2,0,0,1,1,14,31,44,1,11,7,33,30,15,6,4,19,8,52,22,1,309,3,0.40445026178010474
341,1,3,1,0,1,1,20,32,8,0,2,9,42,85,10,0,4,7,3,21,8,1,259,3,0.36530324400564174
342,0,0,1,3,0,1,6,40,10,0,25,1,5,87,14,27,6,12,18,36,2,2,296,3,0.35792019347037485
343,2,5,1,4,2,0,36,37,54,0,13,7,25,50,20,6,3,25,8,61,20,4,383,3,0.4817610062893082
344,2,5,0,0,4,3,29,35,56,12,15,14,13,53,21,8,6,35,17,79,14,3,424,3,0.5247524752475248
345,6,4,0,1,0,3,32,35,54,4,10,9,23,74,18,14,7,21,10,88,31,0,444,3,0.5467980295566502
346,7,1,0,0,0,1,28,47,34,3,0,3,19,51,20,9,23,9,7,54,22,1,339,3,0.46122448979591835
347,0,0,0,0,0,0,29,31,61,4,3,12,25,57,19,10,41,17,14,121,24,0,468,3,0.5404157043879908
348,2,1,1,2,0,1,22,30,81,0,7,7,18,53,7,11,36,35,5,120,36,4,479,3,0.5281146637265711
349,4,1,0,0,2,2,30,36,81,1,15,19,30,46,31,5,25,24,4,117,7,4,484,3,0.5595375722543353
350,3,1,1,0,0,1,15,21,13,2,6,5,26,37,15,1,8,7,17,36,3,1,219,3,0.3004115226337449
351,5,2,0,0,1,0,42,41,56,5,7,15,32,102,25,10,12,22,7,135,28,3,550,3,0.5857294994675186
352,4,4,2,2,1,8,44,47,59,2,6,9,29,102,22,4,1,20,3,101,36,10,516,3,0.5850340136054422
353,6,3,0,3,0,1,28,46,54,1,5,8,17,82,35,1,4,15,8,59,16,5,397,3,0.4547537227949599
354,1,1,0,0,2,0,31,30,27,0,6,9,31,75,17,2,5,16,10,52,5,1,321,3,0.4984472049689441
355,0,0,0,0,0,0,58,51,67,0,6,18,13,69,27,18,6,17,5,66,16,0,437,3,0.49211711711711714
356,2,1,1,0,0,1,19,15,30,0,4,7,16,68,12,0,3,6,6,43,4,1,239,3,0.4450651769087523
357,1,2,0,0,1,4,56,40,41,0,7,7,27,107,13,3,4,12,7,58,9,1,400,3,0.5161290322580645
358,7,3,0,0,0,4,31,43,58,1,9,8,48,156,9,4,5,19,2,132,20,6,565,3,0.4991166077738516
359,2,0,0,3,0,0,59,38,41,1,5,5,18,101,9,2,6,17,3,87,4,1,402,3,0.4740566037735849
360,3,5,1,0,4,2,31,35,113,2,11,12,47,88,22,6,6,20,8,54,11,1,482,3,0.43619909502262444
361,3,1,0,4,4,2,22,35,69,3,11,17,22,90,12,11,5,18,6,61,22,1,419,3,0.546284224250326
362,8,2,7,0,3,2,48,47,51,0,7,15,54,76,31,8,2,20,11,67,20,3,482,3,0.5127659574468085
363,3,2,0,0,2,3,25,40,62,0,5,18,51,87,22,8,5,28,7,71,15,3,457,3,0.5338785046728972
364,2,2,2,1,1,7,18,24,69,0,8,4,10,75,15,14,9,26,3,51,24,3,368,3,0.48936170212765956
