SEZIONE,ALESSANDRO ONOFRI,MARIATERESA BIFULCO,CLAUDIA VERGELLA,SILVIO ROSSI,DARIO QUATTROMANI,MARTA MARZIALI,GIAN MARCO MARCHESINI,GIORDANA PETRELLA,PAOLO EMILIO MARCHIONNE,MASSIMO PRUDENTE,ANTONELLA DI BIASE,MARCELLO LUCA,TOTALE,AFFLUENZA
1,0,1,2,3,70,94,3,204,186,0,3,7,573,0.5753012048192772
25,2,3,0,4,124,53,18,182,231,4,4,5,630,0.5334462320067739
37,6,1,3,0,56,88,0,182,160,1,2,3,502,0.638676844783715
67,0,1,0,6,63,82,6,137,150,10,7,2,464,0.46586345381526106
68,2,1,1,5,75,86,2,132,182,10,8,4,508,0.5969447708578144
69,1,1,3,1,54,88,6,127,223,17,6,5,532,0.5801526717557252
70,1,4,5,2,47,91,2,104,161,8,2,1,428,0.6002805049088359
71,2,6,0,2,66,73,1,134,204,3,1,1,493,0.5306781485468245
72,3,4,0,3,86,71,2,106,189,6,1,4,475,0.5283648498331479
73,0,2,2,3,61,100,1,107,335,3,15,0,629,0.6048076923076923
74,5,0,1,2,43,87,0,87,238,9,6,3,481,0.6345646437994723
75,5,0,0,3,49,108,0,196,255,4,3,0,623,0.6312056737588653
76,0,1,0,3,65,88,5,126,259,7,4,5,563,0.6186813186813187
77,1,0,3,5,55,127,1,115,316,7,8,10,648,0.6525679758308157
78,0,11,1,2,47,76,1,102,172,3,4,3,422,0.5288220551378446
79,0,1,2,1,62,99,3,98,164,9,1,6,446,0.5499383477188656
80,1,6,0,1,48,62,0,95,174,5,7,0,399,0.5025188916876574
81,3,1,0,2,45,94,1,130,234,12,4,6,532,0.569593147751606
82,0,0,0,2,50,83,2,124,259,12,8,4,544,0.5793397231096912
83,0,0,0,5,60,151,3,104,261,10,7,4,605,0.6031904287138584
84,8,1,2,4,64,86,0,97,205,7,3,2,479,0.5375982042648709
85,1,4,0,2,75,120,2,127,276,7,8,3,625,0.6103515625
86,6,1,0,3,54,115,2,103,189,9,4,3,489,0.5207667731629393
87,0,0,4,1,40,136,1,121,251,1,6,5,566,0.6021276595744681
88,1,1,2,2,56,86,1,104,232,6,3,5,499,0.5676905574516496
89,0,1,0,3,70,83,0,171,206,3,2,6,545,0.6082589285714286
90,2,0,1,0,61,68,3,127,164,9,7,2,444,0.4977578475336323
91,1,0,0,7,59,85,3,130,193,7,3,1,489,0.5180084745762712
92,0,1,1,4,49,115,2,125,236,11,9,3,556,0.6184649610678532
93,0,3,2,6,68,59,2,127,165,8,6,3,449,0.6018766756032171
94,1,1,1,6,76,61,3,156,186,8,4,5,508,0.5631929046563193
95,3,1,1,0,48,65,1,127,132,2,5,3,388,0.5145888594164456
96,1,2,1,2,76,76,1,160,211,11,2,3,546,0.6114221724524076
97,0,0,0,3,57,75,0,145,204,14,3,3,504,0.5779816513761468
98,1,2,0,1,41,48,3,138,131,2,5,0,372,0.5138121546961326
99,0,3,1,4,57,61,1,236,198,8,8,5,582,0.6591166477916195
100,6,0,0,0,66,105,2,155,241,7,5,5,592,0.6046986721144024
101,3,1,1,3,59,68,4,116,167,5,4,5,436,0.5099415204678363
102,3,1,1,1,44,118,0,212,158,2,0,0,540,0.627177700348432
103,1,0,0,0,42,77,3,168,153,1,6,2,453,0.5883116883116883
104,4,1,1,2,50,98,4,156,174,4,4,0,498,0.5496688741721855
105,0,0,0,5,51,80,6,154,144,2,5,0,447,0.5566625155666252
106,3,0,0,2,67,86,4,143,118,3,3,2,431,0.5167865707434053
107,0,0,0,2,60,101,6,195,185,4,2,0,555,0.5854430379746836
108,6,2,0,0,57,88,9,181,182,1,7,0,533,0.592880978865406
109,3,0,1,0,82,33,0,104,119,4,9,2,357,0.4160839160839161
110,9,1,0,4,58,14,1,89,136,2,8,0,322,0.3757292882147025
111,0,2,1,5,67,29,0,115,124,2,8,2,355,0.40757749712973596
112,1,1,3,2,60,21,0,98,132,2,6,0,326,0.3501611170784103
113,1,0,0,1,76,27,0,95,118,2,8,1,329,0.370913190529876
114,3,1,2,1,111,102,1,174,171,2,2,3,573,0.5962539021852237
115,1,0,1,1,62,41,0,130,175,5,4,0,420,0.4195804195804196
116,2,0,1,2,81,27,2,141,153,12,9,0,430,0.41505791505791506
117,1,0,3,6,103,35,0,93,142,5,5,0,393,0.36154553817847285
118,0,1,0,6,61,42,3,101,136,7,4,0,361,0.378803777544596
119,1,1,1,0,98,24,0,114,132,2,2,3,378,0.36806231742940604
207,0,1,1,0,60,81,3,144,179,2,5,3,479,0.5167206040992449
208,2,0,0,3,48,92,3,170,193,3,2,0,516,0.583710407239819
209,0,0,4,3,54,82,1,165,191,5,2,0,507,0.5841013824884793
210,1,0,2,6,71,73,0,157,173,4,5,2,494,0.592326139088729
211,3,1,1,5,49,108,3,156,174,6,4,1,511,0.6025943396226415
212,0,1,1,0,67,100,0,166,183,2,6,2,528,0.5671321160042965
213,0,0,2,1,48,89,0,146,172,3,5,2,468,0.5441860465116279
214,0,0,2,3,42,102,0,111,140,3,5,3,411,0.5692520775623269
215,0,1,0,1,52,84,1,140,177,1,4,3,464,0.5763975155279503
216,1,0,0,4,69,84,1,140,171,6,7,1,484,0.545045045045045
217,1,0,3,3,49,77,0,119,131,3,12,1,399,0.5141752577319587
218,0,1,3,1,52,96,3,139,147,4,0,3,449,0.5577639751552795
219,0,0,0,1,78,92,1,133,188,6,6,0,505,0.5543358946212953
220,0,2,0,1,55,51,5,110,145,5,2,3,379,0.51775956284153
221,0,0,0,0,44,111,0,147,181,6,5,0,494,0.5404814004376368
222,3,2,0,7,60,112,7,156,250,4,4,3,608,0.629399585921325
223,1,0,0,4,37,109,0,134,165,2,2,2,456,0.5846153846153846
224,1,0,2,3,53,84,1,204,159,1,3,0,511,0.5914351851851852
225,3,2,0,8,101,118,0,191,186,7,24,4,644,0.6639175257731958
226,1,1,2,4,104,132,3,212,185,5,5,3,657,0.5753064798598949
227,0,0,1,5,33,63,0,110,144,5,7,3,371,0.5879556259904913
228,2,1,0,4,70,60,2,129,156,6,5,6,441,0.5231316725978647
229,0,2,0,1,75,89,0,132,169,10,2,3,483,0.5729537366548043
230,2,1,0,4,87,96,2,148,165,9,2,1,517,0.5547210300429185
231,7,0,3,2,60,128,1,145,190,5,1,1,543,0.6006637168141593
232,2,1,4,2,43,89,7,155,147,3,4,0,457,0.5301624129930395
233,0,0,1,3,47,128,3,193,197,6,4,2,584,0.6134453781512605
234,0,0,2,1,38,116,1,203,186,1,3,6,557,0.5643363728470111
235,0,0,4,1,56,112,4,179,221,8,1,5,591,0.5921843687374749
264,0,2,3,5,47,37,1,153,102,0,3,2,355,0.3604060913705584
285,2,0,1,1,83,129,8,168,252,4,3,2,653,0.6040703052728955
286,2,0,2,1,77,101,3,91,229,6,5,1,518,0.5704845814977973
287,1,0,1,2,54,66,1,108,181,3,3,3,423,0.526774595267746
288,0,0,0,1,55,58,2,74,153,4,3,1,351,0.5830564784053156
289,0,1,1,0,42,110,1,120,218,4,4,0,501,0.6154791154791155
290,0,0,3,3,35,132,5,176,193,3,0,2,552,0.6085997794928335
291,0,2,0,0,63,70,1,172,169,4,1,0,482,0.59727385377943
292,0,0,1,0,53,46,0,105,99,3,2,0,309,0.5355285961871751
293,3,0,2,2,42,55,0,139,163,4,0,2,412,0.5545087483176312
294,0,0,1,0,52,85,5,92,197,3,3,2,440,0.6214689265536724
295,2,1,1,1,35,81,1,103,182,1,1,0,409,0.6225266362252664
296,3,0,1,3,28,74,1,107,170,2,1,5,395,0.5143229166666666
297,1,0,0,1,55,72,5,140,170,1,5,4,454,0.6135135135135135
298,1,0,0,4,42,78,2,136,216,3,1,8,491,0.6477572559366754
299,1,0,2,4,49,44,3,72,121,2,5,2,305,0.5446428571428571
300,2,0,1,4,56,106,3,135,192,2,0,3,504,0.6276463262764632
301,3,0,1,3,40,100,2,109,163,4,2,0,427,0.5817438692098093
302,0,1,1,2,39,102,0,106,181,4,1,3,440,0.5843293492695883
303,3,1,0,2,38,60,4,118,150,3,1,0,380,0.5292479108635098
304,0,0,0,1,60,65,3,108,133,3,5,1,379,0.5648286140089419
305,0,0,1,2,61,60,1,101,140,5,2,3,376,0.5705614567526556
306,0,0,1,3,44,31,1,117,109,3,8,3,320,0.49382716049382713
307,1,1,1,3,40,42,2,109,115,5,8,2,329,0.47406340057636887
308,1,1,1,4,69,72,1,117,175,3,5,2,451,0.56375
309,3,1,0,5,44,102,2,145,195,5,4,0,506,0.5348837209302325
310,2,1,1,12,61,81,15,150,299,5,6,2,635,0.6553147574819401
312,1,0,0,2,70,74,5,147,175,2,7,1,484,0.5413870246085011
313,2,1,0,2,61,32,7,121,126,4,7,4,367,0.4443099273607748
315,0,0,1,0,54,48,3,137,177,2,4,2,428,0.4682713347921225
316,3,1,2,3,59,51,0,116,159,3,4,1,402,0.4364820846905538
317,1,1,4,0,71,68,1,139,185,3,6,1,480,0.5026178010471204
318,2,0,1,3,54,59,0,89,168,4,6,0,386,0.5223274695534507
319,1,0,0,5,42,17,2,125,72,1,2,0,267,0.3729050279329609
320,1,0,0,0,49,15,2,102,82,4,1,0,256,0.37209302325581395
321,1,0,0,1,45,9,1,89,72,6,3,1,228,0.32664756446991405
322,0,3,1,3,30,14,4,77,42,0,4,1,179,0.4114942528735632
323,0,1,0,4,44,37,1,150,108,2,3,1,351,0.47114093959731546
324,2,0,0,0,63,22,0,177,117,2,1,2,386,0.5216216216216216
325,1,2,0,2,46,33,0,124,98,4,2,0,312,0.4250681198910082
326,0,0,5,1,66,21,0,128,73,3,4,0,301,0.4221598877980365
327,0,0,1,0,54,22,0,148,73,0,5,7,310,0.39641943734015345
328,3,0,0,1,93,51,1,195,128,5,5,1,483,0.5160256410256411
329,0,0,2,3,93,54,0,163,149,10,3,2,479,0.5394144144144144
330,0,0,0,0,85,65,4,183,144,12,2,4,499,0.6356687898089172
331,1,1,0,1,95,57,2,285,168,4,3,3,620,0.6090373280943026
332,3,1,1,5,94,0,1,176,155,3,6,0,445,0.4023508137432188
333,1,0,0,0,84,48,0,207,92,1,6,0,439,0.44979508196721313
334,3,0,0,19,76,52,1,172,140,2,2,0,467,0.49417989417989416
335,0,0,1,4,72,45,3,188,104,2,8,3,430,0.4419321685508736
336,1,0,0,5,79,27,0,192,95,0,3,0,402,0.481437125748503
337,1,0,1,9,89,35,2,203,136,4,3,0,483,0.46621621621621623
338,1,0,1,3,53,29,1,182,85,3,2,1,361,0.4484472049689441
