SEZIONE,MASSIMILIANO UMBERTI,ROBERTO SANTORO,TOTALE,AFFLUENZA,MUNICIPIO
173,253.0,151.0,404.0,0.45089285714285715,4
174,251.0,159.0,410.0,0.48984468339307047,4
175,208.0,157.0,365.0,0.43608124253285546,4
176,188.0,110.0,298.0,0.45426829268292684,4
177,165.0,133.0,298.0,0.3796178343949045,4
178,173.0,118.0,291.0,0.3975409836065574,4
179,208.0,161.0,369.0,0.4810951760104302,4
180,183.0,152.0,335.0,0.49264705882352944,4
181,164.0,89.0,253.0,0.40544871794871795,4
182,128.0,80.0,208.0,0.39097744360902253,4
183,154.0,121.0,275.0,0.36231884057971014,4
184,251.0,143.0,394.0,0.48883374689826303,4
185,289.0,189.0,478.0,0.5299334811529933,4
186,149.0,196.0,345.0,0.5267175572519084,4
187,203.0,181.0,384.0,0.4746600741656366,4
188,147.0,158.0,305.0,0.4307909604519774,4
189,134.0,150.0,284.0,0.3955431754874652,4
190,132.0,184.0,316.0,0.39648682559598497,4
191,198.0,123.0,321.0,0.42686170212765956,4
192,236.0,108.0,344.0,0.48933143669985774,4
193,153.0,96.0,249.0,0.3225388601036269,4
194,118.0,98.0,216.0,0.30945558739255014,4
195,141.0,45.0,186.0,0.3054187192118227,4
196,132.0,65.0,197.0,0.3361774744027304,4
197,192.0,120.0,312.0,0.41879194630872485,4
198,173.0,113.0,286.0,0.3174250832408435,4
199,226.0,87.0,313.0,0.42585034013605444,4
200,226.0,127.0,353.0,0.4543114543114543,4
201,252.0,193.0,445.0,0.44813695871097686,4
202,279.0,161.0,440.0,0.43781094527363185,4
203,281.0,195.0,476.0,0.5248070562293274,4
204,203.0,166.0,369.0,0.5089655172413793,4
205,179.0,124.0,303.0,0.3577331759149941,4
206,199.0,139.0,338.0,0.448871181938911,4
236,289.0,147.0,436.0,0.5123384253819037,4
237,292.0,132.0,424.0,0.5151883353584447,4
238,326.0,149.0,475.0,0.5484988452655889,4
239,366.0,165.0,531.0,0.6167247386759582,4
240,324.0,145.0,469.0,0.5053879310344828,4
241,201.0,156.0,357.0,0.4043035107587769,4
242,159.0,160.0,319.0,0.3357894736842105,4
243,307.0,193.0,500.0,0.4995004995004995,4
244,313.0,199.0,512.0,0.4771668219944082,4
245,244.0,160.0,404.0,0.45139664804469276,4
246,407.0,98.0,505.0,0.5913348946135831,4
247,298.0,113.0,411.0,0.576437587657784,4
248,306.0,118.0,424.0,0.45010615711252655,4
249,346.0,144.0,490.0,0.6041923551171393,4
250,305.0,115.0,420.0,0.4970414201183432,4
251,392.0,152.0,544.0,0.5672575599582899,4
252,220.0,157.0,377.0,0.39809926082365366,4
253,64.0,64.0,128.0,0.4012539184952978,4
254,214.0,167.0,381.0,0.37797619047619047,4
255,206.0,177.0,383.0,0.3603010348071496,4
256,181.0,188.0,369.0,0.44138755980861244,4
257,248.0,227.0,475.0,0.5053191489361702,4
258,198.0,164.0,362.0,0.382259767687434,4
259,157.0,159.0,316.0,0.4431977559607293,4
260,114.0,204.0,318.0,0.3882783882783883,4
261,154.0,113.0,267.0,0.37872340425531914,4
262,298.0,266.0,564.0,0.5656970912738215,4
263,323.0,170.0,493.0,0.5306781485468245,4
265,286.0,206.0,492.0,0.5125,4
266,274.0,217.0,491.0,0.5486033519553073,4
267,219.0,242.0,461.0,0.5429917550058893,4
268,202.0,128.0,330.0,0.34126163391933817,4
269,228.0,163.0,391.0,0.46054181389870436,4
270,220.0,158.0,378.0,0.5046728971962616,4
271,121.0,107.0,228.0,0.3343108504398827,4
272,90.0,80.0,170.0,0.26356589147286824,4
273,130.0,88.0,218.0,0.27770700636942675,4
274,132.0,87.0,219.0,0.3033240997229917,4
275,111.0,96.0,207.0,0.28910614525139666,4
276,94.0,110.0,204.0,0.26877470355731226,4
277,200.0,134.0,334.0,0.408812729498164,4
278,224.0,200.0,424.0,0.4764044943820225,4
279,84.0,86.0,170.0,0.21491782553729458,4
280,84.0,80.0,164.0,0.16383616383616384,4
281,98.0,96.0,194.0,0.21822272215973004,4
282,116.0,82.0,198.0,0.2512690355329949,4
283,102.0,88.0,190.0,0.3059581320450886,4
284,193.0,135.0,328.0,0.354978354978355,4
376,133.0,235.0,368.0,0.3978378378378378,4
377,285.0,145.0,430.0,0.4608788853161844,4
378,246.0,156.0,402.0,0.5180412371134021,4
379,302.0,191.0,493.0,0.5010162601626016,4
380,344.0,235.0,579.0,0.5268425841674249,4
381,151.0,133.0,284.0,0.31555555555555553,4
382,137.0,111.0,248.0,0.393026941362916,4
383,176.0,121.0,297.0,0.38028169014084506,4
384,169.0,181.0,350.0,0.2539912917271408,4
385,280.0,217.0,497.0,0.4087171052631579,4
386,122.0,88.0,210.0,0.3633217993079585,4
387,129.0,184.0,313.0,0.245105716523101,4
