SEZIONE,RICONQUISTARE L'ITALIA,IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,POTERE AL POPOLO,MOVIMENTO CINQUE STELLE 2050,LISTA CIVICA VIRGINIA RAGGI,PARTITO COMUNISTA MARCO RIZZO,REVOLUZIONE CIVICA,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,GIORGIA MELONI FRATELLI D'ITALIA,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,LEGA SALVINI PREMIER,LISTA CIVICA MICHETTI SINDACO,CALENDA SINDACO,ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,DEMOS DEMOCRAZIA SOLIDALE,SINISTRA CIVICA ECOLOGISTA,LISTA CIVICA GUALTIERI SINDACO,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,PD PARTITO DEMOCRATICO,TOTALE,MUNICIPIO,AFFLUENZA
173,0,2,8,31,18,9,3,12,87,8,16,13,88,7,13,2,12,20,3,64,416,4,0.4642857142857143
174,0,0,5,35,21,1,0,5,97,29,15,4,78,1,10,5,13,15,12,72,418,4,0.4994026284348865
175,0,1,2,24,17,5,0,2,86,3,34,6,44,5,4,3,7,20,3,76,342,4,0.40860215053763443
176,1,2,2,27,18,3,4,7,48,13,37,4,35,4,8,2,8,13,8,62,306,4,0.46646341463414637
177,2,2,1,31,18,2,4,8,53,10,45,8,35,2,7,3,5,12,4,60,312,4,0.3974522292993631
178,0,4,6,18,26,6,5,10,67,18,31,9,38,2,11,2,5,20,3,52,333,4,0.45491803278688525
179,0,2,3,19,23,9,2,20,62,22,51,8,39,0,6,4,2,26,3,62,363,4,0.47327249022164275
180,0,0,3,27,30,5,1,13,96,16,34,5,33,3,10,6,13,23,2,57,377,4,0.5544117647058824
181,2,1,4,38,27,1,0,4,59,7,22,9,23,1,4,4,8,15,4,43,276,4,0.4423076923076923
182,0,1,1,39,18,3,1,5,48,14,25,9,21,2,6,9,6,15,3,32,258,4,0.4849624060150376
183,1,0,2,37,25,4,4,11,58,11,41,4,24,5,9,1,13,12,5,46,313,4,0.41238471673254284
184,1,1,3,35,19,5,3,5,106,6,44,5,45,1,6,1,17,26,6,92,427,4,0.5297766749379652
185,3,4,7,50,72,9,2,4,93,7,77,3,45,10,15,0,13,22,4,86,526,4,0.5831485587583148
186,1,0,3,21,36,2,0,3,94,11,82,7,36,1,9,1,7,15,6,48,383,4,0.5847328244274809
187,0,2,6,25,21,2,2,8,136,5,44,5,41,2,7,3,6,21,2,74,412,4,0.5092707045735476
188,1,1,4,38,20,6,3,14,97,8,26,8,25,1,2,1,9,24,0,41,329,4,0.4646892655367232
189,0,2,2,27,12,5,0,9,103,12,18,10,41,0,13,2,4,10,1,45,316,4,0.4401114206128134
190,1,1,2,31,14,3,1,10,124,13,49,6,24,2,7,4,6,7,5,61,371,4,0.465495608531995
191,1,4,1,32,28,3,1,3,58,10,21,13,65,13,10,0,4,27,4,57,355,4,0.4720744680851064
192,0,5,5,48,32,6,1,11,35,7,37,10,41,6,4,10,14,23,4,87,386,4,0.5490753911806543
193,0,2,12,30,16,7,0,11,43,9,19,8,20,1,1,0,15,11,0,83,288,4,0.37305699481865284
194,1,1,2,20,18,5,0,7,49,5,26,7,15,0,2,0,22,8,1,55,244,4,0.3495702005730659
195,1,10,3,22,20,2,3,4,29,2,10,3,6,1,1,1,14,11,1,86,230,4,0.37766830870279144
196,0,4,6,21,14,2,1,8,31,6,16,6,15,4,1,7,2,7,0,52,203,4,0.3464163822525597
197,2,1,10,33,16,5,3,12,61,10,18,6,32,5,3,0,7,13,3,89,329,4,0.44161073825503355
198,1,1,6,46,24,6,3,24,55,5,21,7,24,2,4,4,18,16,4,65,336,4,0.3729189789123196
199,0,2,5,34,20,7,4,5,42,6,24,4,40,9,8,8,14,21,1,94,348,4,0.47346938775510206
200,1,0,5,49,44,5,0,13,67,9,21,8,34,6,9,1,8,18,7,79,384,4,0.4942084942084942
201,3,1,4,57,34,3,4,5,107,19,27,15,49,3,13,0,4,26,6,85,465,4,0.46827794561933533
202,3,2,5,61,58,10,5,8,96,9,23,7,69,6,12,6,7,21,8,92,508,4,0.5054726368159204
203,0,1,5,34,31,5,8,13,119,19,24,17,57,6,11,4,6,25,6,96,487,4,0.5369349503858876
204,0,2,2,55,18,5,1,5,97,12,38,14,51,7,7,13,4,15,6,44,396,4,0.5462068965517242
205,0,2,2,46,23,6,1,10,66,9,23,7,37,5,8,1,8,20,6,65,345,4,0.40731995277449823
206,1,1,1,40,17,5,0,8,73,7,29,6,56,3,7,1,4,22,4,52,337,4,0.44754316069057104
236,0,0,7,28,26,2,0,8,67,10,19,5,71,3,9,3,51,47,1,100,457,4,0.5370152761457109
237,0,1,5,25,23,6,1,8,72,12,29,7,71,3,20,0,5,36,6,126,456,4,0.5540704738760632
238,2,1,3,23,20,2,1,9,75,19,17,10,88,3,26,5,8,16,7,151,486,4,0.5612009237875288
239,1,4,6,37,35,4,10,13,61,17,22,8,88,2,8,1,9,60,4,152,542,4,0.629500580720093
240,3,1,4,55,41,3,2,3,71,15,35,7,56,3,30,5,9,25,6,117,491,4,0.5290948275862069
241,1,1,8,35,21,5,1,11,52,18,39,7,30,2,11,0,6,15,2,91,356,4,0.4031710079275198
242,0,2,14,30,24,5,0,14,70,40,35,12,34,6,4,5,1,13,2,59,370,4,0.3894736842105263
243,2,4,3,34,29,8,1,3,87,40,52,8,75,3,16,1,15,26,7,113,527,4,0.5264735264735265
244,2,2,3,80,36,8,2,11,85,29,21,15,109,10,3,2,16,60,5,100,599,4,0.5582479030754893
245,2,1,5,64,36,3,3,12,62,18,23,11,63,3,13,1,3,27,4,77,431,4,0.48156424581005586
246,0,5,7,46,24,5,0,5,40,11,11,10,62,12,18,2,12,51,2,179,502,4,0.5878220140515222
247,1,0,4,21,10,3,2,4,50,12,16,10,67,2,12,2,7,44,3,144,414,4,0.5806451612903226
248,1,0,5,45,25,5,1,7,74,7,23,6,41,5,14,3,14,26,8,130,440,4,0.46709129511677283
249,2,2,6,30,17,9,4,10,47,28,25,7,85,1,14,9,15,48,3,122,484,4,0.5967940813810111
250,0,0,8,41,24,8,0,9,49,13,19,6,75,3,10,1,6,68,5,129,474,4,0.5609467455621302
251,1,3,5,39,25,9,0,8,63,9,28,18,91,4,19,3,16,70,4,157,572,4,0.5964546402502607
252,0,0,7,37,13,7,3,9,68,14,44,6,52,29,28,2,6,28,5,51,409,4,0.43189017951425557
253,4,1,1,19,10,3,1,3,31,5,12,8,8,0,3,3,3,10,3,19,147,4,0.4608150470219436
254,1,4,11,49,37,4,2,11,60,24,48,11,37,5,20,1,15,17,6,69,432,4,0.42857142857142855
255,0,2,51,27,27,6,2,2,52,12,109,11,58,3,7,1,12,26,8,71,487,4,0.458137347130762
256,0,3,9,35,22,4,1,8,57,20,57,14,43,6,20,7,4,15,5,70,400,4,0.4784688995215311
257,0,3,9,49,22,7,0,4,73,14,99,14,55,2,3,6,7,24,5,102,498,4,0.5297872340425532
258,2,5,7,43,26,2,1,4,49,10,70,4,39,11,3,9,9,23,8,74,399,4,0.42133051742344246
259,0,2,4,37,40,0,2,6,90,6,58,5,36,7,9,0,5,8,5,60,380,4,0.5329593267882188
