SEZIONE,DANIELE RINALDI,MAURO CALISTE,TOTALE,AFFLUENZA,MUNICIPIO
412,143.0,232.0,375.0,0.4208754208754209,5
413,82.0,175.0,257.0,0.39477726574500765,5
414,84.0,172.0,256.0,0.22735346358792186,5
415,134.0,317.0,451.0,0.6498559077809798,5
416,90.0,224.0,314.0,0.4226110363391655,5
417,98.0,235.0,333.0,0.43989431968295906,5
418,93.0,284.0,377.0,0.46716232961586124,5
419,132.0,320.0,452.0,0.47379454926624737,5
420,147.0,251.0,398.0,0.48714810281517745,5
421,127.0,256.0,383.0,0.482367758186398,5
422,123.0,267.0,390.0,0.4733009708737864,5
423,120.0,241.0,361.0,0.4622279129321383,5
424,132.0,257.0,389.0,0.46420047732696895,5
425,137.0,257.0,394.0,0.44170403587443946,5
426,138.0,211.0,349.0,0.465954606141522,5
427,126.0,250.0,376.0,0.4460260972716489,5
428,144.0,253.0,397.0,0.49255583126550867,5
429,134.0,243.0,377.0,0.4575242718446602,5
430,106.0,329.0,435.0,0.48333333333333334,5
431,167.0,275.0,442.0,0.5504358655043586,5
432,118.0,235.0,353.0,0.42736077481840196,5
433,162.0,229.0,391.0,0.4665871121718377,5
434,187.0,235.0,422.0,0.48786127167630056,5
435,105.0,193.0,298.0,0.4197183098591549,5
436,140.0,222.0,362.0,0.44636251541307026,5
437,165.0,244.0,409.0,0.4840236686390533,5
438,150.0,260.0,410.0,0.48406139315230223,5
439,125.0,218.0,343.0,0.46226415094339623,5
440,145.0,257.0,402.0,0.4589041095890411,5
441,110.0,307.0,417.0,0.43894736842105264,5
442,75.0,310.0,385.0,0.4345372460496614,5
443,90.0,251.0,341.0,0.4194341943419434,5
444,149.0,238.0,387.0,0.5092105263157894,5
445,124.0,261.0,385.0,0.4350282485875706,5
446,79.0,232.0,311.0,0.4108322324966975,5
447,141.0,238.0,379.0,0.48280254777070064,5
448,57.0,125.0,182.0,0.3339449541284404,5
450,176.0,262.0,438.0,0.5374233128834356,5
451,137.0,228.0,365.0,0.5104895104895105,5
452,159.0,187.0,346.0,0.492176386913229,5
453,115.0,169.0,284.0,0.4139941690962099,5
454,126.0,261.0,387.0,0.4463667820069204,5
455,173.0,230.0,403.0,0.514030612244898,5
456,153.0,168.0,321.0,0.40225563909774437,5
457,134.0,267.0,401.0,0.5655853314527504,5
458,168.0,265.0,433.0,0.5325953259532595,5
459,148.0,240.0,388.0,0.4635603345280765,5
460,154.0,218.0,372.0,0.4781491002570694,5
461,113.0,175.0,288.0,0.4056338028169014,5
462,145.0,264.0,409.0,0.49878048780487805,5
463,166.0,242.0,408.0,0.4604966139954853,5
464,137.0,221.0,358.0,0.43393939393939396,5
465,155.0,224.0,379.0,0.4522673031026253,5
466,124.0,182.0,306.0,0.3388704318936877,5
467,205.0,245.0,450.0,0.4833512352309345,5
468,130.0,248.0,378.0,0.45652173913043476,5
469,182.0,226.0,408.0,0.44933920704845814,5
470,157.0,169.0,326.0,0.4110970996216898,5
471,96.0,205.0,301.0,0.581081081081081,5
472,141.0,214.0,355.0,0.5444785276073619,5
473,120.0,186.0,306.0,0.5377855887521968,5
474,90.0,209.0,299.0,0.5190972222222222,5
475,173.0,383.0,556.0,0.5124423963133641,5
476,79.0,127.0,206.0,0.4095427435387674,5
478,122.0,276.0,398.0,0.5818713450292398,5
479,121.0,182.0,303.0,0.47791798107255523,5
480,147.0,195.0,342.0,0.4476439790575916,5
481,130.0,184.0,314.0,0.4088541666666667,5
482,116.0,164.0,280.0,0.40816326530612246,5
483,145.0,207.0,352.0,0.43137254901960786,5
484,147.0,222.0,369.0,0.4155405405405405,5
485,140.0,183.0,323.0,0.410941475826972,5
486,108.0,196.0,304.0,0.4691358024691358,5
487,113.0,193.0,306.0,0.38202247191011235,5
488,110.0,208.0,318.0,0.4050955414012739,5
489,83.0,160.0,243.0,0.36431784107946025,5
490,77.0,127.0,204.0,0.37777777777777777,5
492,170.0,265.0,435.0,0.41154210028382215,5
493,158.0,189.0,347.0,0.3727175080558539,5
494,163.0,278.0,441.0,0.441,5
495,171.0,211.0,382.0,0.42777155655095184,5
496,166.0,255.0,421.0,0.4488272921108742,5
497,193.0,276.0,469.0,0.41358024691358025,5
499,128.0,178.0,306.0,0.4052980132450331,5
500,123.0,209.0,332.0,0.3816091954022989,5
501,131.0,175.0,306.0,0.3853904282115869,5
502,158.0,223.0,381.0,0.4419953596287703,5
503,196.0,201.0,397.0,0.464327485380117,5
504,101.0,209.0,310.0,0.379436964504284,5
505,127.0,253.0,380.0,0.4298642533936652,5
506,150.0,132.0,282.0,0.36766623207301175,5
507,138.0,162.0,300.0,0.3870967741935484,5
508,129.0,249.0,378.0,0.4190687361419069,5
509,148.0,230.0,378.0,0.4021276595744681,5
511,184.0,233.0,417.0,0.4384858044164038,5
514,177.0,173.0,350.0,0.4122497055359246,5
516,130.0,188.0,318.0,0.452991452991453,5
517,81.0,125.0,206.0,0.5202020202020202,5
518,73.0,128.0,201.0,0.5317460317460317,5
520,150.0,218.0,368.0,0.3961248654467169,5
522,148.0,196.0,344.0,0.38137472283813745,5
524,156.0,210.0,366.0,0.39228295819935693,5
525,114.0,196.0,310.0,0.36729857819905215,5
526,123.0,194.0,317.0,0.39184177997527814,5
527,152.0,205.0,357.0,0.44625,5
528,130.0,216.0,346.0,0.4276885043263288,5
529,159.0,227.0,386.0,0.4667472793228537,5
530,113.0,123.0,236.0,0.3435225618631732,5
531,131.0,233.0,364.0,0.34114339268978444,5
532,137.0,222.0,359.0,0.35615079365079366,5
533,156.0,235.0,391.0,0.3674812030075188,5
535,152.0,204.0,356.0,0.3625254582484725,5
536,172.0,246.0,418.0,0.3291338582677165,5
578,178.0,225.0,403.0,0.6574225122349103,5
579,156.0,203.0,359.0,0.4857916102841678,5
580,131.0,213.0,344.0,0.4332493702770781,5
581,123.0,220.0,343.0,0.44954128440366975,5
582,158.0,156.0,314.0,0.4147952443857332,5
583,138.0,198.0,336.0,0.4215809284818068,5
584,89.0,121.0,210.0,0.30042918454935624,5
585,105.0,154.0,259.0,0.34858681022880217,5
586,118.0,157.0,275.0,0.3309265944645006,5
587,123.0,184.0,307.0,0.38042131350681535,5
588,115.0,214.0,329.0,0.370913190529876,5
589,138.0,90.0,228.0,0.29457364341085274,5
590,161.0,199.0,360.0,0.4311377245508982,5
591,158.0,210.0,368.0,0.45264452644526443,5
592,183.0,274.0,457.0,0.4908700322234157,5
593,209.0,222.0,431.0,0.5394242803504381,5
594,144.0,197.0,341.0,0.449868073878628,5
596,184.0,268.0,452.0,0.6541244573082489,5
597,165.0,163.0,328.0,0.4733044733044733,5
598,193.0,232.0,425.0,0.5227552275522755,5
599,141.0,220.0,361.0,0.514978601997147,5
600,145.0,259.0,404.0,0.48152562574493446,5
601,189.0,193.0,382.0,0.5190217391304348,5
