LISTA,CANDIDATO
MOVIMENTO STORICO ROMANO LISTA NERONE,LUCA SPERANZA
MOVIMENTO STORICO ROMANO LISTA NERONE,NATALINA BELELLI
MOVIMENTO STORICO ROMANO LISTA NERONE,ALESSANDRO FATICONI
MOVIMENTO STORICO ROMANO LISTA NERONE,MICHELE FORGIONE
MOVIMENTO STORICO ROMANO LISTA NERONE,SERENA IACOMONI
MOVIMENTO STORICO ROMANO LISTA NERONE,MARIA RITA LEONARDI
MOVIMENTO STORICO ROMANO LISTA NERONE,NAZZARIO LETI MAGGIO
MOVIMENTO STORICO ROMANO LISTA NERONE,LUCIANA LUCIANI
MOVIMENTO STORICO ROMANO LISTA NERONE,SERAFINO MAURO
MOVIMENTO STORICO ROMANO LISTA NERONE,RAFFAELE MAZZAFERRI
MOVIMENTO STORICO ROMANO LISTA NERONE,ANDREA POLI
MOVIMENTO STORICO ROMANO LISTA NERONE,MASSIMILIANO SCARINGELLA
MOVIMENTO STORICO ROMANO LISTA NERONE,CLAUDIA SCATTONI
MOVIMENTO STORICO ROMANO LISTA NERONE,CLAUDIA SERAFINI
MOVIMENTO STORICO ROMANO LISTA NERONE,GIUSEPPE TURRISI
MOVIMENTO STORICO ROMANO LISTA NERONE,VIRGILIO VIOLO
MOVIMENTO STORICO ROMANO LISTA NERONE,MELISSA VISDOMINI
POTERE AL POPOLO,SERGIO CARARO
POTERE AL POPOLO,LORENZO MASTROCESARE
POTERE AL POPOLO,GIORDANO FUSA'
POTERE AL POPOLO,STEFANIA ALESSANDRINI
POTERE AL POPOLO,MARTA TURILLI
POTERE AL POPOLO,CHIARA DE MARCHIS
POTERE AL POPOLO,MARGHERITA FILIPPOZZI
POTERE AL POPOLO,ROBERTO CHIARELLI
POTERE AL POPOLO,FABIO GRIMALDI
POTERE AL POPOLO,PASQUALE NAPPO
POTERE AL POPOLO,MATTIA SANTANDREA
POTERE AL POPOLO,MONJA RUGGERI
POTERE AL POPOLO,MARCELLA STOCCHI
POTERE AL POPOLO,ALESSANDRO MOLDITO
POTERE AL POPOLO,STEFANO LATTANZI
POTERE AL POPOLO,ADRIANO LAPEDOTA
POTERE AL POPOLO,FEDERICO BIUSO
POTERE AL POPOLO,ALESSANDRO FRAIOLI
POTERE AL POPOLO,ELENA ORFEI
POTERE AL POPOLO,ALESSIA SCIANNIMANICO
POTERE AL POPOLO,MICHELANGELO GIGLIO
REVOLUZIONE CIVICA,ISIDORO GIOVANNI FEDERICO
REVOLUZIONE CIVICA,MARIA ROSARIA CHIAPPI
REVOLUZIONE CIVICA,LUCA DI PAOLO
REVOLUZIONE CIVICA,PATRIZIA MUSETTI
REVOLUZIONE CIVICA,CLAUDIO MELINI
REVOLUZIONE CIVICA,NIDIA YADIRA DI MARCO MALATESTA
REVOLUZIONE CIVICA,ANTONELLO TAVOLETTA
REVOLUZIONE CIVICA,CRISTINA LEO
REVOLUZIONE CIVICA,VALENTINA COLETTA
REVOLUZIONE CIVICA,EMILIANO ROSATI
REVOLUZIONE CIVICA,GIUSEPPE MARIA CORSI
REVOLUZIONE CIVICA,SELENE GEMELLI
REVOLUZIONE CIVICA,MAURO CALCOPIETRO
REVOLUZIONE CIVICA,MARCO SIMONETTI
