SEZIONE,LISTA CIVICA VIRGINIA RAGGI,RICONQUISTARE L'ITALIA,PARTITO COMUNISTA MARCO RIZZO,MOVIMENTO STORICO ROMANO LISTA NERONE,POTERE AL POPOLO,REVOLUZIONE CIVICA,ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD,MPL MOVIMENTO POLITICO LIBERTAS,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,LEGA SALVINI PREMIER,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,GIORGIA MELONI FRATELLI D'ITALIA,LISTA CIVICA MICHETTI SINDACO,CALENDA SINDACO,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,LISTA CIVICA GUALTIERI SINDACO,DEMOS DEMOCRAZIA SOLIDALE,IMPEGNO CIVICO CALISTE PRESIDENTE,SINISTRA CIVICA ECOLOGISTA,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,PD PARTITO DEMOCRATICO,IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,MOVIMENTO CINQUE STELLE 2050,TOTALE,MUNICIPIO,AFFLUENZA
412,23,1,3,3,10,3,8,0,13,39,14,64,15,54,4,28,14,4,6,28,54,0,47,435,5,0.4882154882154882
413,13,0,4,0,7,2,4,1,7,13,10,38,3,29,1,13,3,6,11,33,42,1,27,268,5,0.4116743471582181
414,7,0,4,0,3,1,1,0,7,16,3,49,7,27,2,23,3,8,8,20,53,1,30,273,5,0.2424511545293073
415,31,5,6,1,9,1,22,0,13,26,6,58,16,47,8,18,3,7,13,38,94,0,40,462,5,0.6657060518731989
416,13,2,3,0,8,0,10,1,13,10,5,5,60,34,30,31,50,25,10,0,15,0,12,337,5,0.4535666218034993
417,15,0,4,0,5,2,6,0,8,20,7,42,10,27,5,13,8,8,9,44,71,1,26,331,5,0.4372523117569353
418,25,0,10,0,7,2,8,2,17,17,2,55,7,40,8,12,5,10,12,57,57,0,27,380,5,0.4708798017348203
419,30,2,2,2,11,2,31,0,11,26,10,67,10,48,8,20,10,19,19,58,66,0,33,485,5,0.5083857442348009
420,8,0,5,1,5,5,10,1,8,76,12,34,12,29,5,19,5,13,15,41,67,2,19,392,5,0.47980416156670747
421,14,0,8,0,4,0,7,0,10,59,8,44,8,31,9,27,3,27,10,41,78,0,31,419,5,0.5277078085642317
422,16,2,9,1,11,5,11,2,12,22,6,55,15,32,6,19,15,17,20,48,55,1,25,405,5,0.49150485436893204
423,14,0,3,1,9,1,7,1,13,30,5,61,9,43,6,18,19,11,30,30,49,1,30,391,5,0.5006402048655569
424,14,0,3,0,3,2,6,1,10,22,9,75,7,45,6,17,9,18,14,32,72,2,56,423,5,0.5047732696897375
425,24,0,4,1,9,1,4,0,11,31,9,62,12,39,4,23,8,5,19,48,75,3,42,434,5,0.48654708520179374
426,18,0,0,3,4,1,6,0,12,39,10,67,13,48,4,22,6,28,12,14,53,0,30,390,5,0.520694259012016
427,20,1,2,2,2,1,9,0,11,30,8,53,3,40,4,21,9,11,20,47,56,0,29,379,5,0.44958481613285883
428,14,1,8,1,3,1,8,0,11,28,11,55,14,55,3,12,9,25,14,33,62,0,34,402,5,0.4987593052109181
429,22,1,10,0,5,2,5,1,5,40,12,67,9,31,7,25,5,21,11,23,71,1,52,426,5,0.5169902912621359
430,14,2,5,2,7,3,4,1,12,27,13,44,4,53,10,28,13,36,17,25,65,0,52,437,5,0.4855555555555556
431,15,2,5,0,7,3,10,1,21,28,7,84,11,52,10,24,7,21,5,22,84,0,33,452,5,0.5628891656288917
432,18,0,7,3,10,0,4,0,20,20,9,67,13,47,3,18,4,18,13,18,85,0,41,418,5,0.5060532687651331
433,17,1,4,4,3,4,2,0,18,30,10,86,12,49,2,16,10,34,5,14,64,0,54,439,5,0.5238663484486874
434,15,0,4,1,6,1,3,0,21,39,12,74,14,41,2,22,16,38,16,14,66,1,47,453,5,0.5236994219653179
435,17,0,8,2,6,1,1,0,16,20,5,57,4,37,4,20,3,13,4,18,55,1,21,313,5,0.44084507042253523
436,19,0,2,2,3,0,3,2,34,30,7,57,5,45,4,18,4,12,11,16,56,4,38,372,5,0.45869297163995065
437,22,1,7,0,2,0,6,0,12,41,9,59,12,50,11,18,8,36,4,17,67,0,30,412,5,0.48757396449704143
438,17,1,2,3,5,1,3,0,13,30,9,69,9,57,4,28,6,32,11,22,67,0,37,426,5,0.5029515938606848
439,9,1,4,0,2,0,3,0,5,23,6,68,4,42,5,8,0,31,8,14,100,1,34,368,5,0.49595687331536387
440,17,1,2,0,2,1,3,0,16,24,20,66,11,39,5,22,10,30,6,17,72,1,38,403,5,0.4600456621004566
441,13,1,6,0,6,1,5,0,6,38,4,68,8,31,7,24,12,101,15,21,48,0,41,456,5,0.48
442,17,0,5,3,14,4,7,0,11,24,2,51,3,33,7,19,9,24,16,53,74,3,49,428,5,0.48306997742663654
