SEZIONE,ALESSANDRO BARNABA,DAVIDE KAZAZI,SABRINA CAPOMASSI,CRISTINA GRANDI,DANILO ORABONA,DANIELE RINALDI,MASSIMO PICCARDI,MAURO CALISTE,ANGELO DE SANTIS,VALENTINA COPPOLA,MAURO PAGGI,MARCO PAPARELLA,TOTALE,AFFLUENZA
412,3,10,3,8,0,151,59,142,0,81,1,3,461,0.5173961840628507
413,0,8,2,4,1,78,30,111,1,44,0,4,283,0.434715821812596
414,0,3,2,3,0,86,29,124,1,40,0,4,292,0.25932504440497334
415,1,9,1,22,0,125,51,192,0,79,5,6,491,0.707492795389049
416,0,8,0,10,1,97,37,167,0,28,2,3,353,0.47510094212651416
417,0,5,2,6,0,93,28,167,1,51,0,4,357,0.4715984147952444
418,0,7,2,10,2,103,43,172,0,56,0,10,405,0.5018587360594795
419,3,11,2,30,0,130,51,200,0,76,2,3,508,0.5324947589098532
420,1,5,5,10,1,148,31,172,2,36,1,5,417,0.5104039167686658
421,0,4,0,8,0,133,36,197,1,56,0,9,444,0.5591939546599496
422,1,11,5,11,2,112,37,191,1,49,2,9,431,0.5230582524271845
423,1,11,1,10,1,123,48,168,1,50,0,3,417,0.5339308578745199
424,0,3,2,6,1,126,49,168,2,76,0,3,436,0.5202863961813843
425,1,10,1,6,0,129,41,183,4,77,0,4,456,0.5112107623318386
426,3,4,1,6,0,146,48,159,0,50,0,0,417,0.5567423230974633
427,2,4,1,10,0,111,43,175,0,52,1,2,401,0.47568208778173193
428,1,3,3,10,0,126,61,167,0,54,1,9,435,0.5397022332506204
429,0,5,2,6,1,136,32,172,1,77,1,10,443,0.537621359223301
430,2,7,3,4,1,103,55,199,0,73,2,5,454,0.5044444444444445
431,0,7,3,10,1,167,52,189,0,55,2,5,491,0.6114570361145704
432,3,10,0,4,0,129,47,159,0,59,0,7,418,0.5060532687651331
433,0,2,0,0,0,160,49,168,0,79,1,4,463,0.5525059665871122
434,1,6,1,2,0,163,44,181,1,72,0,5,476,0.5502890173410404
435,2,6,2,1,0,105,38,120,1,51,0,8,334,0.4704225352112676
436,2,3,2,2,2,141,46,129,4,62,0,2,395,0.4870530209617756
437,0,2,0,6,0,144,50,175,0,60,1,7,445,0.5266272189349113
438,3,5,1,4,0,134,59,181,1,58,1,2,449,0.5301062573789846
439,0,2,0,3,0,112,45,175,1,48,1,4,391,0.5269541778975741
440,0,4,1,3,0,158,42,175,1,59,1,2,446,0.5091324200913242
441,0,7,1,4,0,128,32,245,0,67,2,6,492,0.5178947368421053
442,3,14,5,8,0,93,35,212,3,73,0,5,451,0.5090293453724605
443,0,13,0,16,0,100,35,174,0,49,1,7,395,0.4858548585485855
444,0,2,4,5,0,148,48,162,4,62,1,3,439,0.5776315789473684
445,0,8,1,2,1,141,38,208,0,52,0,2,453,0.511864406779661
446,0,11,0,6,0,85,25,180,1,32,2,4,346,0.4570673712021136
