SEZIONE,FRANCESCA FILIPPONI,NICOLA FRANCO,TOTALE,AFFLUENZA,MUNICIPIO
477,142.0,137.0,279.0,0.21412125863392173,6
491,180.0,246.0,426.0,0.3582842724978974,6
498,133.0,179.0,312.0,0.3586206896551724,6
510,99.0,153.0,252.0,0.302158273381295,6
512,184.0,222.0,406.0,0.3677536231884058,6
515,147.0,224.0,371.0,0.31790916880891174,6
519,83.0,196.0,279.0,0.2770605759682224,6
521,143.0,206.0,349.0,0.29752770673486784,6
523,68.0,142.0,210.0,0.34035656401944897,6
534,126.0,222.0,348.0,0.3336529242569511,6
616,123.0,226.0,349.0,0.3378509196515005,6
627,156.0,210.0,366.0,0.3160621761658031,6
677,65.0,111.0,176.0,0.34509803921568627,6
678,83.0,154.0,237.0,0.3366477272727273,6
679,145.0,190.0,335.0,0.33975659229208927,6
680,130.0,150.0,280.0,0.3185437997724687,6
681,137.0,210.0,347.0,0.34839357429718876,6
682,115.0,172.0,287.0,0.22230828814872192,6
683,159.0,233.0,392.0,0.5297297297297298,6
684,68.0,108.0,176.0,0.1676190476190476,6
685,159.0,175.0,334.0,0.30144404332129965,6
686,114.0,192.0,306.0,0.30029440628066734,6
687,114.0,230.0,344.0,0.2819672131147541,6
688,172.0,206.0,378.0,0.3063209076175041,6
689,153.0,209.0,362.0,0.3339483394833948,6
690,101.0,185.0,286.0,0.3400713436385256,6
691,100.0,182.0,282.0,0.24310344827586206,6
692,83.0,231.0,314.0,0.29074074074074074,6
693,78.0,255.0,333.0,0.32840236686390534,6
694,111.0,200.0,311.0,0.32668067226890757,6
695,35.0,156.0,191.0,0.36450381679389315,6
697,139.0,143.0,282.0,0.36959370904325034,6
698,187.0,126.0,313.0,0.38170731707317074,6
699,114.0,145.0,259.0,0.30363423212192264,6
700,147.0,93.0,240.0,0.3337969401947149,6
701,98.0,123.0,221.0,0.30027173913043476,6
702,99.0,133.0,232.0,0.33429394812680113,6
703,31.0,86.0,117.0,0.2158671586715867,6
704,64.0,111.0,175.0,0.24613220815752462,6
705,113.0,145.0,258.0,0.35149863760217986,6
706,81.0,119.0,200.0,0.31695721077654515,6
707,110.0,157.0,267.0,0.32324455205811137,6
708,99.0,93.0,192.0,0.3270868824531516,6
709,91.0,216.0,307.0,0.3293991416309013,6
710,106.0,193.0,299.0,0.34727061556329847,6
711,108.0,172.0,280.0,0.3125,6
712,108.0,214.0,322.0,0.35076252723311546,6
713,121.0,176.0,297.0,0.34494773519163763,6
714,128.0,194.0,322.0,0.34291799787007454,6
715,95.0,204.0,299.0,0.3026315789473684,6
716,136.0,196.0,332.0,0.32612966601178783,6
717,157.0,168.0,325.0,0.34282700421940926,6
718,102.0,200.0,302.0,0.360381861575179,6
719,115.0,187.0,302.0,0.363855421686747,6
720,133.0,193.0,326.0,0.3721461187214612,6
721,109.0,150.0,259.0,0.315468940316687,6
722,111.0,143.0,254.0,0.28700564971751413,6
723,126.0,175.0,301.0,0.3348164627363737,6
724,119.0,178.0,297.0,0.34494773519163763,6
725,90.0,142.0,232.0,0.2903629536921151,6
726,67.0,153.0,220.0,0.3283582089552239,6
727,51.0,134.0,185.0,0.2969502407704655,6
728,121.0,188.0,309.0,0.34994337485843713,6
729,91.0,133.0,224.0,0.3368421052631579,6
730,128.0,213.0,341.0,0.3382936507936508,6
731,100.0,157.0,257.0,0.30741626794258375,6
732,95.0,111.0,206.0,0.266839378238342,6
733,108.0,176.0,284.0,0.36270753512132825,6
734,82.0,123.0,205.0,0.35901926444833626,6
735,60.0,99.0,159.0,0.26677852348993286,6
736,45.0,92.0,137.0,0.26705653021442494,6
737,40.0,86.0,126.0,0.23684210526315788,6
738,57.0,87.0,144.0,0.20930232558139536,6
739,97.0,79.0,176.0,0.292358803986711,6
740,45.0,80.0,125.0,0.249500998003992,6
741,52.0,91.0,143.0,0.19833564493758668,6
742,22.0,67.0,89.0,0.13862928348909656,6
743,79.0,212.0,291.0,0.2296764009471192,6
744,29.0,53.0,82.0,0.16237623762376238,6
745,69.0,126.0,195.0,0.21885521885521886,6
746,33.0,59.0,92.0,0.1765834932821497,6
747,31.0,76.0,107.0,0.17147435897435898,6
748,45.0,68.0,113.0,0.1944922547332186,6
749,117.0,159.0,276.0,0.30429988974641675,6
750,89.0,91.0,180.0,0.26627218934911245,6
751,36.0,88.0,124.0,0.16666666666666666,6
752,50.0,123.0,173.0,0.24331926863572434,6
753,91.0,147.0,238.0,0.32075471698113206,6
754,101.0,179.0,280.0,0.35759897828863346,6
755,122.0,178.0,300.0,0.36101083032490977,6
756,120.0,168.0,288.0,0.35687732342007433,6
757,114.0,177.0,291.0,0.38188976377952755,6
758,108.0,202.0,310.0,0.32057911065149947,6
759,169.0,278.0,447.0,0.46659707724425886,6
760,122.0,201.0,323.0,0.3282520325203252,6
761,141.0,255.0,396.0,0.40824742268041236,6
762,145.0,197.0,342.0,0.3045414069456812,6
763,150.0,182.0,332.0,0.2587685113016368,6
764,90.0,210.0,300.0,0.2425222312045271,6
765,164.0,196.0,360.0,0.291970802919708,6
766,129.0,220.0,349.0,0.30506993006993005,6
767,94.0,163.0,257.0,0.3088942307692308,6
768,84.0,178.0,262.0,0.3078730904817861,6
769,128.0,224.0,352.0,0.2950544844928751,6
770,109.0,236.0,345.0,0.27957860615883307,6
771,123.0,198.0,321.0,0.30368968779564803,6
772,158.0,191.0,349.0,0.38393839383938394,6
773,84.0,192.0,276.0,0.35984354628422427,6
774,94.0,145.0,239.0,0.36882716049382713,6
775,102.0,190.0,292.0,0.21758569299552907,6
776,105.0,195.0,300.0,0.2631578947368421,6
777,99.0,247.0,346.0,0.3405511811023622,6
778,111.0,227.0,338.0,0.31947069943289225,6
779,73.0,172.0,245.0,0.2536231884057971,6
780,139.0,238.0,377.0,0.38351983723296035,6
781,92.0,206.0,298.0,0.2384,6
782,114.0,199.0,313.0,0.2802148612354521,6
783,105.0,181.0,286.0,0.3283582089552239,6
784,124.0,250.0,374.0,0.34186471663619744,6
785,119.0,275.0,394.0,0.347136563876652,6
786,72.0,177.0,249.0,0.34535367545076284,6
787,102.0,215.0,317.0,0.3045148895292987,6
788,88.0,209.0,297.0,0.2682926829268293,6
789,127.0,248.0,375.0,0.3588516746411483,6
790,102.0,199.0,301.0,0.35537190082644626,6
791,127.0,184.0,311.0,0.3413830954994512,6
792,114.0,244.0,358.0,0.33773584905660375,6
793,85.0,233.0,318.0,0.31299212598425197,6
794,105.0,179.0,284.0,0.27925270403146507,6
795,174.0,268.0,442.0,0.3711167086481948,6
796,127.0,200.0,327.0,0.32344213649851633,6
797,143.0,240.0,383.0,0.3707647628267183,6
798,109.0,203.0,312.0,0.36923076923076925,6
799,91.0,235.0,326.0,0.31619786614936957,6
800,169.0,239.0,408.0,0.40556660039761433,6
801,165.0,302.0,467.0,0.4012027491408935,6
802,137.0,280.0,417.0,0.3518987341772152,6
803,153.0,175.0,328.0,0.35344827586206895,6
804,105.0,224.0,329.0,0.3533834586466165,6
805,116.0,203.0,319.0,0.38203592814371257,6
806,125.0,153.0,278.0,0.35732647814910024,6
807,156.0,236.0,392.0,0.4197002141327623,6
808,140.0,191.0,331.0,0.380897583429229,6
809,149.0,199.0,348.0,0.4172661870503597,6
810,92.0,136.0,228.0,0.27175208581644816,6
811,117.0,225.0,342.0,0.3899657924743444,6
812,133.0,204.0,337.0,0.4050480769230769,6
813,129.0,168.0,297.0,0.4051841746248295,6
814,33.0,99.0,132.0,0.22259696458684655,6
815,121.0,172.0,293.0,0.3103813559322034,6
816,101.0,173.0,274.0,0.2939914163090129,6
817,53.0,60.0,113.0,0.255079006772009,6
818,78.0,193.0,271.0,0.3321078431372549,6
819,180.0,213.0,393.0,0.39858012170385393,6
820,157.0,200.0,357.0,0.3918770581778266,6
821,179.0,283.0,462.0,0.42857142857142855,6
822,206.0,234.0,440.0,0.4280155642023346,6
823,185.0,276.0,461.0,0.3906779661016949,6
824,140.0,248.0,388.0,0.3233333333333333,6
825,195.0,240.0,435.0,0.37532355478861085,6
826,197.0,210.0,407.0,0.44627192982456143,6
827,207.0,154.0,361.0,0.3958333333333333,6
1075,62.0,66.0,128.0,0.12052730696798493,6
1128,130.0,196.0,326.0,0.3786295005807201,6
1129,108.0,131.0,239.0,0.29800498753117205,6
1130,144.0,145.0,289.0,0.3743523316062176,6
1131,155.0,150.0,305.0,0.38558786346396967,6
1132,96.0,104.0,200.0,0.29985007496251875,6
1133,90.0,91.0,181.0,0.3036912751677852,6
1134,107.0,99.0,206.0,0.34505862646566166,6
1135,89.0,102.0,191.0,0.29475308641975306,6
1757,135.0,173.0,308.0,0.6443514644351465,6
2110,91.0,188.0,279.0,0.2961783439490446,6
2510,148.0,245.0,393.0,0.3592321755027422,6
2540,152.0,220.0,372.0,0.31822070145423437,6
2541,127.0,199.0,326.0,0.376878612716763,6
2542,141.0,200.0,341.0,0.2939655172413793,6
2555,170.0,194.0,364.0,0.364,6
2557,143.0,208.0,351.0,0.30337078651685395,6
2558,57.0,111.0,168.0,0.14105793450881612,6
2559,140.0,192.0,332.0,0.27597672485453034,6
2578,5.0,6.0,11.0,,6
