SEZIONE,GIORGIA MELONI FRATELLI D'ITALIA,POTERE AL POPOLO,REVOLUZIONE CIVICA,MOVIMENTO IDEA SOCIALE M.I.S.,PARTITO COMUNISTA MARCO RIZZO,DEMOS DEMOCRAZIA SOLIDALE,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,SINISTRA CIVICA ECOLOGISTA,PD PARTITO DEMOCRATICO,LISTA CIVICA GUALTIERI SINDACO,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,CALENDA SINDACO,RICONQUISTARE L'ITALIA,MOVIMENTO STORICO ROMANO LISTA NERONE,LISTA CIVICA VIRGINIA RAGGI,MOVIMENTO CINQUE STELLE 2050,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,LEGA SALVINI PREMIER,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,LISTA CIVICA MICHETTI SINDACO,LISTA CIVICA LE TORRI NICOLA FRANCO PRESIDENTE,TOTALE,MUNICIPIO,AFFLUENZA
477,69,4,5,0,4,2,4,5,43,12,4,1,45,0,0,49,77,5,28,9,7,2,375,6,0.28779739063699156
491,129,6,4,5,7,7,6,4,72,27,5,2,47,0,1,52,76,10,67,10,16,0,553,6,0.46509671993271656
498,65,2,5,1,7,0,6,1,72,11,1,3,37,1,1,57,69,12,51,24,11,3,440,6,0.5057471264367817
510,62,4,3,3,7,2,4,7,31,15,5,1,28,1,0,26,59,7,50,19,10,1,345,6,0.4136690647482014
512,127,4,0,3,5,2,6,6,55,22,5,3,44,3,0,50,84,14,24,12,17,0,486,6,0.44021739130434784
515,100,6,4,5,6,1,5,3,44,22,5,0,55,0,1,40,74,13,25,16,15,0,440,6,0.37703513281919454
519,112,2,0,2,4,0,3,3,38,16,2,1,18,0,0,17,60,10,53,11,11,0,363,6,0.36047666335650447
521,97,7,4,5,2,3,2,3,48,26,3,0,30,0,1,45,96,15,43,7,29,0,466,6,0.39727195225916456
523,74,4,2,1,4,3,1,0,49,12,3,1,18,1,14,13,25,4,28,7,7,0,271,6,0.4392220421393841
534,120,4,6,3,6,4,3,0,56,21,2,1,28,2,1,47,41,13,52,27,12,0,449,6,0.4304889741131352
