SEZIONE,NAOMI DURANTE,GIAN LUCA GISMONDI,MAURIZIO FIORAVANTI,FABRIZIO COMPAGNONE,CLAUDIO MATTEODA,VALTER MASTRANGELI,MONICA NATALI,SERAFINO MAURO,FRANCESCA FILIPPONI,NICOLA FRANCO,MARIA VITTORIA MOLINARI,TOTALE,AFFLUENZA
477,6,1,4,75,1,49,0,0,139,126,4,405,0.3108211818879509
491,4,5,7,124,2,46,0,1,131,239,6,565,0.4751892346509672
498,5,1,7,56,3,29,1,1,118,96,1,318,0.36551724137931035
510,3,3,7,70,1,28,1,0,94,156,4,367,0.44004796163069543
512,1,3,5,102,3,44,4,0,154,210,4,530,0.48007246376811596
515,4,5,6,84,0,55,0,1,128,189,6,478,0.40959725792630675
519,1,3,4,64,1,18,0,0,78,207,3,379,0.37636544190665344
521,4,5,2,90,0,30,0,1,156,200,7,495,0.4219948849104859
523,2,1,5,69,1,19,1,14,41,123,4,280,0.4538087520259319
534,6,3,6,90,1,28,2,1,102,232,4,475,0.4554170661553212
616,0,5,6,89,0,50,0,1,112,237,8,508,0.49177153920619554
627,5,3,4,99,4,35,1,0,141,190,9,491,0.42400690846286704
677,2,1,1,35,2,19,0,1,49,111,1,222,0.43529411764705883
678,3,1,2,60,0,22,1,8,54,148,3,302,0.4289772727272727
679,2,1,3,100,1,29,0,0,123,172,6,437,0.4432048681541582
680,2,2,5,89,2,27,1,0,113,158,4,403,0.45847554038680316
681,0,2,7,84,1,22,1,3,120,195,3,438,0.4397590361445783
682,0,1,1,75,4,37,1,0,98,190,4,411,0.31835786212238576
683,4,1,6,120,0,36,0,0,108,223,3,501,0.677027027027027
684,2,2,4,68,2,9,0,1,59,123,15,285,0.2714285714285714
685,1,4,7,60,0,26,6,1,107,171,18,401,0.361913357400722
686,3,0,4,73,2,35,3,2,116,206,4,448,0.4396467124631992
687,3,3,5,82,1,57,2,0,114,218,3,488,0.4
688,1,2,5,133,0,37,4,0,120,174,6,482,0.3905996758508914
689,3,1,6,102,1,41,1,0,121,202,1,479,0.4418819188191882
690,0,3,5,92,0,21,0,0,109,185,5,420,0.4994054696789536
691,1,5,4,82,0,18,1,0,101,221,4,437,0.3767241379310345
692,1,0,7,70,0,12,1,1,89,276,2,459,0.425
693,3,4,5,103,0,16,0,5,72,248,7,463,0.45660749506903353
694,2,1,11,92,3,23,4,1,100,221,6,464,0.48739495798319327
695,0,0,1,119,2,9,0,0,20,96,0,247,0.4713740458015267
697,0,2,4,166,1,17,2,2,73,113,6,386,0.5058977719528178
698,3,2,3,206,2,21,0,1,68,103,9,418,0.5097560975609756
699,1,0,4,100,1,34,1,0,74,134,8,357,0.41852286049237986
700,3,0,4,162,3,10,1,0,65,83,1,332,0.4617524339360223
701,1,1,2,111,3,22,2,0,76,102,1,321,0.4361413043478261
702,0,1,2,105,2,17,0,0,76,112,5,320,0.4610951008645533
703,1,2,3,39,4,12,0,1,39,94,32,227,0.4188191881918819
704,1,1,1,52,2,7,0,0,45,64,98,271,0.38115330520393814
705,2,8,2,134,2,15,6,1,57,119,5,351,0.4782016348773842
706,1,0,1,82,0,11,0,2,33,91,5,226,0.358161648177496
707,1,2,3,151,4,21,1,2,71,136,2,394,0.47699757869249393
708,2,0,7,92,2,12,0,2,52,87,5,261,0.444633730834753
709,8,2,5,87,0,25,1,0,84,201,6,419,0.44957081545064376
710,3,2,5,71,0,27,1,0,94,198,9,410,0.47619047619047616
711,7,2,4,80,0,21,1,4,102,170,4,395,0.4408482142857143
712,7,2,9,60,1,31,0,2,79,199,6,396,0.43137254901960786
713,0,3,4,79,5,26,1,1,85,184,1,389,0.4518002322880372
714,4,0,5,68,1,48,0,1,76,217,4,424,0.45154419595314166
715,1,2,7,83,1,26,4,0,70,207,8,409,0.4139676113360324
716,3,3,6,75,2,35,0,2,118,200,5,449,0.44106090373280943
717,4,3,2,97,0,33,0,2,99,172,10,422,0.4451476793248945
718,4,2,2,68,0,25,1,0,83,192,6,383,0.45704057279236276
719,3,3,4,79,0,23,0,0,86,177,15,390,0.46987951807228917
720,3,1,4,86,0,33,2,0,82,186,5,402,0.4589041095890411
721,5,0,5,69,0,19,1,0,74,149,10,332,0.4043848964677223
722,3,3,0,82,3,31,2,0,98,139,10,371,0.4192090395480226
723,2,4,6,70,2,40,2,4,88,170,5,393,0.4371523915461624
724,7,3,5,76,1,30,1,2,92,185,5,407,0.4727061556329849
725,11,1,3,59,3,35,2,1,83,140,4,342,0.42803504380475593
726,3,5,5,41,2,17,0,0,61,163,2,299,0.4462686567164179
727,0,1,2,64,0,20,0,0,61,152,1,301,0.48314606741573035
728,6,4,1,76,1,25,1,0,105,195,3,417,0.4722536806342016
729,3,3,4,82,2,18,0,2,55,137,6,312,0.4691729323308271
730,2,7,1,117,0,31,7,2,84,182,12,445,0.44146825396825395
731,2,2,6,68,6,28,0,1,75,129,4,321,0.3839712918660287
732,5,0,2,65,2,12,1,0,69,142,15,313,0.405440414507772
733,5,9,3,97,2,25,1,2,80,169,8,401,0.51213282247765
734,3,1,0,60,2,17,2,0,42,112,9,248,0.4343257443082312
735,0,1,3,44,4,10,0,0,42,80,8,192,0.3221476510067114
736,2,2,6,26,1,16,2,5,48,74,6,188,0.3664717348927875
737,0,2,4,42,1,9,0,3,35,81,7,184,0.3458646616541353
738,4,3,4,46,0,13,2,0,66,90,8,236,0.3430232558139535
739,13,0,3,37,1,10,3,0,55,86,8,216,0.3588039867109635
