SEZIONE,FRANCESCO LADDAGA,LUIGI AVVEDUTO,TOTALE,AFFLUENZA,MUNICIPIO
844,238,207,445,0.4250238777459408,7
848,243,137,380,0.29275808936825887,7
854,301,163,464,0.5093304061470911,7
855,258,138,396,0.6055045871559633,7
857,268,104,372,0.5821596244131455,7
858,235,125,360,0.6545454545454545,7
859,331,196,527,0.7550143266475645,7
860,217,80,297,0.27297794117647056,7
861,293,125,418,0.48717948717948717,7
862,282,183,465,0.7187017001545595,7
863,280,112,392,0.4542294322132097,7
864,289,132,421,0.511543134872418,7
865,316,163,479,0.5042105263157894,7
866,316,126,442,0.5151515151515151,7
867,224,88,312,0.5098039215686274,7
868,271,117,388,0.5012919896640827,7
869,332,101,433,0.5399002493765586,7
870,218,101,319,0.4725925925925926,7
871,226,122,348,0.5014409221902018,7
872,182,124,306,0.46153846153846156,7
873,355,227,582,0.5521821631878557,7
874,211,123,334,0.5276461295418642,7
875,245,148,393,0.4486301369863014,7
876,266,150,416,0.47380410022779046,7
877,316,176,492,0.5051334702258727,7
878,290,134,424,0.43621399176954734,7
879,242,137,379,0.4571773220747889,7
880,289,134,423,0.49473684210526314,7
881,175,69,244,0.4326241134751773,7
882,177,110,287,0.47833333333333333,7
883,246,130,376,0.46134969325153374,7
884,228,103,331,0.4681753889674682,7
885,201,106,307,0.5057660626029654,7
886,303,171,474,0.5486111111111112,7
887,264,135,399,0.5006273525721455,7
888,233,133,366,0.5041322314049587,7
889,217,110,327,0.42084942084942084,7
890,282,150,432,0.5192307692307693,7
891,283,156,439,0.5571065989847716,7
892,195,123,318,0.5039619651347068,7
893,193,126,319,0.5071542130365659,7
894,237,145,382,0.5418439716312057,7
895,250,126,376,0.5740458015267176,7
896,247,120,367,0.5265423242467718,7
897,189,123,312,0.4406779661016949,7
898,212,108,320,0.48265460030165913,7
899,181,99,280,0.44025157232704404,7
900,219,89,308,0.46107784431137727,7
901,218,130,348,0.4233576642335766,7
902,231,113,344,0.49072753209700426,7
903,251,93,344,0.441591784338896,7
904,236,129,365,0.4620253164556962,7
905,187,83,270,0.4433497536945813,7
906,269,106,375,0.47468354430379744,7
907,154,92,246,0.47766990291262135,7
908,295,122,417,0.4911660777385159,7
909,224,108,332,0.5045592705167173,7
910,196,143,339,0.4478203434610304,7
911,246,113,359,0.469281045751634,7
912,261,163,424,0.49765258215962443,7
913,200,110,310,0.512396694214876,7
914,200,132,332,0.4992481203007519,7
915,287,169,456,0.5072302558398221,7
916,200,123,323,0.46275071633237824,7
917,279,128,407,0.43023255813953487,7
918,129,89,218,0.34222919937205654,7
919,195,162,357,0.32933579335793356,7
931,158,125,283,0.4492063492063492,7
941,163,117,280,0.4236006051437216,7
942,227,151,378,0.4666666666666667,7
943,197,148,345,0.42021924482338613,7
944,167,119,286,0.49310344827586206,7
945,170,109,279,0.38966480446927376,7
946,228,187,415,0.46162402669632924,7
947,252,148,400,0.43149946062567424,7
948,273,183,456,0.5170068027210885,7
950,208,146,354,0.4498094027954257,7
951,190,121,311,0.4049479166666667,7
952,241,163,404,0.4758539458186101,7
953,173,88,261,0.4003067484662577,7
954,258,149,407,0.47380675203725264,7
955,232,123,355,0.44766708701134933,7
956,312,131,443,0.4758324382384533,7
957,203,107,310,0.4189189189189189,7
958,199,82,281,0.4048991354466859,7
959,296,122,418,0.47446083995459704,7
960,248,107,355,0.4658792650918635,7
961,246,71,317,0.4058898847631242,7
962,415,174,589,0.5925553319919518,7
963,244,104,348,0.5312977099236641,7
964,239,93,332,0.4585635359116022,7
965,224,119,343,0.5029325513196481,7
966,320,174,494,0.5329018338727076,7
967,227,85,312,0.5106382978723404,7
968,327,117,444,0.5311004784688995,7
969,378,100,478,0.5610328638497653,7
970,299,135,434,0.5585585585585585,7
971,220,138,358,0.5319465081723626,7
972,341,145,486,0.5225806451612903,7
973,284,112,396,0.4987405541561713,7
974,116,258,374,0.4588957055214724,7
975,318,123,441,0.494949494949495,7
976,181,104,285,0.3963838664812239,7
977,339,123,462,0.5162011173184358,7
978,274,125,399,0.525,7
979,290,78,368,0.4842105263157895,7
980,232,132,364,0.4702842377260982,7
981,258,120,378,0.5308988764044944,7
982,287,118,405,0.5321944809461235,7
983,255,147,402,0.5180412371134021,7
