SEZIONE,PARTITO COMUNISTA MARCO RIZZO,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,LISTA CIVICA GUALTIERI SINDACO,SINISTRA CIVICA ECOLOGISTA,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,PD PARTITO DEMOCRATICO,DEMOS DEMOCRAZIA SOLIDALE,MOVIMENTO STORICO ROMANO LISTA NERONE,RICONQUISTARE L'ITALIA,ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,GIORGIA MELONI FRATELLI D'ITALIA,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,LEGA SALVINI PREMIER,POTERE AL POPOLO,SETTIMO SOSTENIBILE LISTA CIVICA,REVOLUZIONE CIVICA,IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,CALENDA SINDACO,MOVIMENTO CINQUE STELLE 2050,LISTA CIVICA VIRGINIA RAGGI,TOTALE,MUNICIPIO,AFFLUENZA
844,6,5,25,4,3,99,3,1,3,1,7,113,28,35,1,4,34,4,45,57,46,524,7,0.5004775549188156
848,8,46,22,12,11,72,2,0,1,4,7,72,12,29,0,3,43,1,39,59,43,486,7,0.37442218798151
854,5,20,28,19,9,96,19,2,2,5,11,73,25,26,3,3,6,3,58,30,20,463,7,0.5082327113062569
855,11,20,29,9,12,93,4,1,2,3,14,70,24,12,4,2,2,2,69,22,21,426,7,0.6513761467889908
857,5,21,54,3,9,86,4,3,5,5,8,36,15,28,0,0,1,1,56,18,17,375,7,0.5868544600938967
858,3,18,36,13,10,91,4,0,1,1,11,58,17,17,6,0,6,2,66,26,17,403,7,0.7327272727272728
859,3,30,42,19,11,112,5,12,1,5,13,79,29,35,1,1,0,0,87,31,17,533,7,0.7636103151862464
860,5,22,28,9,6,56,7,13,0,0,4,38,22,18,4,0,3,3,27,24,16,305,7,0.2803308823529412
861,0,24,32,17,7,84,13,1,0,3,9,51,40,23,4,1,2,3,54,27,20,415,7,0.4836829836829837
862,5,10,29,10,5,83,6,1,0,4,12,112,11,38,3,21,36,1,37,73,39,536,7,0.8284389489953632
863,6,33,25,13,20,93,1,0,0,1,13,61,20,16,3,0,4,2,60,28,31,430,7,0.4982618771726535
864,1,19,22,15,29,95,8,0,2,4,9,73,26,26,2,2,3,4,65,31,17,453,7,0.5504252733900364
865,12,20,26,17,11,91,10,1,0,2,16,80,26,21,8,2,1,2,85,31,26,488,7,0.5136842105263157
866,10,27,36,16,7,110,12,3,0,5,10,75,25,14,3,0,2,4,71,21,11,462,7,0.5384615384615384
867,2,18,27,7,17,70,3,0,1,2,8,49,22,14,3,1,2,0,54,18,11,329,7,0.5375816993464052
868,5,11,26,16,16,85,12,0,1,3,9,58,35,46,9,2,3,3,46,27,12,425,7,0.5490956072351422
869,5,27,27,15,16,109,11,1,0,7,4,54,21,18,7,0,2,7,98,26,20,475,7,0.5922693266832918
870,9,13,21,12,10,44,11,1,1,4,5,51,22,16,6,0,2,3,60,20,16,327,7,0.48444444444444446
871,7,11,24,19,15,65,15,0,2,4,10,62,18,29,4,0,2,3,58,22,18,388,7,0.5590778097982709
872,5,10,23,8,4,55,4,1,1,0,7,53,17,19,4,1,5,1,41,24,13,296,7,0.4464555052790347
873,1,22,56,23,11,102,3,0,0,4,29,96,33,35,2,0,2,0,126,34,31,610,7,0.5787476280834914
874,2,14,42,9,12,54,14,0,0,7,7,57,21,32,1,1,6,2,44,15,7,347,7,0.5481832543443917
875,4,10,35,16,5,85,2,0,6,14,6,90,15,30,1,3,7,0,46,42,37,454,7,0.5182648401826484
876,6,25,34,9,11,78,11,0,0,0,7,57,38,40,5,2,4,0,71,37,15,450,7,0.5125284738041003
877,4,25,37,10,21,98,10,2,2,1,15,72,27,29,8,1,0,5,69,36,26,498,7,0.5112936344969199
878,2,24,42,13,6,102,5,1,0,4,10,71,9,35,2,1,8,5,71,24,29,464,7,0.4773662551440329
879,4,23,33,7,8,81,4,0,0,1,13,89,17,17,2,0,3,0,76,34,28,440,7,0.5307599517490953
880,13,20,22,7,12,102,9,0,0,4,10,75,17,21,1,0,1,2,48,36,29,429,7,0.5017543859649123
881,3,13,12,13,8,55,6,1,2,2,4,44,7,17,4,1,1,0,25,29,7,254,7,0.450354609929078
882,4,13,33,10,6,52,2,0,0,3,7,67,13,19,0,1,3,0,37,19,13,302,7,0.5033333333333333
883,11,24,27,11,5,69,7,4,0,2,13,67,26,29,4,0,7,0,52,26,29,413,7,0.5067484662576687
884,8,16,33,10,5,60,6,0,0,3,2,53,15,19,3,0,5,0,50,35,23,346,7,0.4893917963224894
885,7,15,21,2,4,70,4,0,0,1,13,54,13,14,1,0,4,1,48,30,10,312,7,0.514003294892916
886,5,38,31,7,5,79,6,1,0,0,12,100,13,21,1,1,5,0,74,41,25,465,7,0.5381944444444444
887,1,14,40,13,5,88,2,1,1,5,8,69,15,22,3,0,5,1,57,27,19,396,7,0.4968632371392723
888,3,18,32,10,6,76,0,1,1,4,8,81,17,19,3,1,10,4,63,23,16,396,7,0.5454545454545454
889,2,9,30,14,4,65,8,1,0,3,7,60,12,23,5,2,13,1,40,37,24,360,7,0.46332046332046334
890,1,9,37,13,11,97,7,1,2,4,7,91,10,24,0,0,22,5,63,32,25,461,7,0.5540865384615384
891,3,4,35,20,11,93,4,1,0,3,13,86,13,27,3,0,5,3,61,40,27,452,7,0.5736040609137056
892,1,9,18,10,6,77,1,0,1,2,9,87,11,17,1,2,5,0,37,21,19,334,7,0.5293185419968305
893,3,8,27,6,3,52,5,0,0,1,15,54,16,26,1,0,3,0,60,23,17,320,7,0.5087440381558028
894,4,14,28,12,6,91,0,1,11,2,14,85,12,21,1,0,3,2,62,27,41,437,7,0.6198581560283688
895,1,15,28,10,5,72,0,0,1,2,15,71,13,15,3,2,1,1,56,22,33,366,7,0.5587786259541985
896,4,17,37,15,4,73,3,1,0,1,9,73,10,20,4,0,8,3,77,20,24,403,7,0.5781922525107605
897,5,15,30,11,9,64,1,1,0,1,12,73,18,19,6,0,3,0,28,25,21,342,7,0.4830508474576271
898,6,20,16,3,9,60,3,0,1,7,13,43,16,20,1,0,11,0,29,28,12,298,7,0.4494720965309201
899,1,13,18,11,7,55,2,0,3,3,4,64,11,18,0,0,2,2,34,30,14,292,7,0.4591194968553459
900,4,24,38,16,6,63,4,1,0,3,6,45,11,20,3,1,3,1,47,27,19,342,7,0.5119760479041916
901,1,18,31,10,6,70,5,0,0,1,5,75,32,22,2,1,5,1,58,32,26,401,7,0.4878345498783455
902,2,33,37,18,8,73,5,2,4,0,4,63,13,22,2,3,1,0,54,31,16,391,7,0.557774607703281
