SEZIONE,FRANCESCO LADDAGA,MASSIMILIANO SCARINGELLA,MARCO DI CROCE,MARIO MUSUMECI,LUIGI AVVEDUTO,LORENZO MESSINA,SALVATORE VIVACE,MAURO ROTUNNO,LUCA DI EGIDIO,EMANUEL TROMBETTA,PASQUALE BELMONTE,TOTALE,AFFLUENZA
844,144,1,3,1,191,1,38,4,49,114,6,552,0.5272206303724928
848,170,0,1,5,121,0,48,1,41,110,8,505,0.38906009244992296
854,205,2,2,5,142,4,10,3,62,58,6,499,0.5477497255762898
855,178,1,2,3,122,4,4,2,77,46,11,450,0.6880733944954128
857,185,3,5,5,91,2,1,1,60,38,5,396,0.6197183098591549
858,176,0,1,1,109,6,6,2,71,45,3,420,0.7636363636363637
859,225,12,1,5,165,1,3,1,100,55,3,571,0.8180515759312321
860,131,12,0,0,82,4,3,3,29,43,6,313,0.28768382352941174
861,186,1,0,3,129,4,3,3,56,60,1,446,0.5198135198135199
862,152,1,0,5,175,3,62,1,39,117,5,560,0.865533230293663
863,189,0,0,1,112,3,4,2,66,70,6,453,0.5249130938586327
864,207,0,2,6,138,2,5,5,73,55,2,495,0.6014580801944107
865,186,1,0,2,145,10,5,3,93,73,12,530,0.5578947368421052
866,216,3,0,5,126,3,2,4,75,39,10,483,0.5629370629370629
867,151,0,1,3,95,3,3,1,59,39,3,358,0.5849673202614379
868,176,0,1,3,149,10,6,3,49,41,6,444,0.5736434108527132
869,214,1,0,7,99,6,2,7,103,55,5,499,0.6221945137157108
870,119,1,1,4,96,6,6,3,65,38,9,348,0.5155555555555555
871,164,0,2,4,122,4,2,3,61,44,7,413,0.5951008645533141
872,110,1,1,0,99,4,6,1,46,42,6,316,0.4766214177978884
873,227,0,0,4,197,2,2,0,132,75,1,640,0.6072106261859582
874,152,0,0,7,123,1,7,2,56,25,2,375,0.5924170616113744
875,164,0,6,15,146,1,10,0,46,94,4,486,0.5547945205479452
876,177,0,0,1,146,5,7,0,70,56,6,468,0.5330296127562643
877,207,2,2,1,150,8,1,5,73,74,4,527,0.5410677618069816
878,200,1,0,6,132,2,9,5,71,60,2,488,0.5020576131687243
879,161,0,0,1,142,3,4,0,80,63,4,458,0.5524728588661038
880,195,0,0,6,137,3,11,3,62,78,13,508,0.5941520467836258
881,114,1,3,2,75,4,3,0,28,46,5,281,0.49822695035460995
882,121,0,0,3,107,0,5,0,38,36,4,314,0.5233333333333333
883,150,4,0,2,140,4,8,0,61,59,12,440,0.5398773006134969
884,137,0,0,5,89,3,5,0,57,67,8,371,0.5247524752475248
885,119,0,0,1,95,1,4,1,54,48,7,330,0.5436573311367381
886,175,1,0,0,148,1,6,0,80,74,5,490,0.5671296296296297
887,176,1,1,5,125,3,6,1,75,57,1,451,0.5658720200752823
888,146,2,1,5,132,4,12,4,71,45,4,426,0.5867768595041323
889,135,1,0,4,105,5,15,1,45,65,3,379,0.4877734877734878
890,179,1,2,4,136,0,23,7,68,66,2,488,0.5865384615384616
891,176,1,0,5,144,3,5,4,69,73,3,483,0.6129441624365483
892,128,0,1,2,126,1,8,0,47,50,1,364,0.5768621236133122
893,104,0,0,2,119,1,3,0,63,43,4,339,0.5389507154213037
894,160,1,0,3,136,4,5,2,64,68,4,447,0.6340425531914894
895,138,0,1,2,116,3,4,1,61,64,1,391,0.5969465648854961
896,158,1,0,1,113,4,8,3,81,49,4,422,0.6054519368723099
897,137,1,0,2,128,6,3,0,32,55,5,369,0.5211864406779662
898,122,0,1,7,97,1,17,0,31,48,6,330,0.497737556561086
899,114,0,3,3,100,0,5,2,37,53,1,318,0.5
900,158,1,0,3,88,3,4,1,51,50,4,363,0.5434131736526946
901,148,0,0,1,134,2,6,1,58,63,1,414,0.5036496350364964
902,183,2,4,0,105,2,4,0,54,61,2,417,0.5948644793152639
903,166,0,0,2,86,5,1,0,46,50,4,360,0.4621309370988447
904,170,0,1,1,117,1,3,1,42,60,3,399,0.5050632911392405
905,161,1,0,2,90,1,7,0,19,35,2,318,0.5221674876847291
906,194,0,1,0,106,2,3,1,59,59,2,427,0.540506329113924
907,111,1,1,0,88,1,4,0,34,38,2,280,0.5436893203883495
908,201,2,1,7,120,9,4,2,64,52,3,465,0.5477031802120141
909,145,0,0,5,119,3,2,2,47,44,8,375,0.5699088145896657
910,136,0,1,4,124,2,5,0,48,65,2,387,0.5112285336856011
911,161,4,1,0,122,0,9,2,50,40,3,392,0.5124183006535947
912,162,4,2,3,155,5,6,2,55,66,5,465,0.545774647887324
913,128,1,0,4,107,3,1,2,41,38,5,330,0.5454545454545454
914,124,3,0,1,155,3,5,6,52,34,4,387,0.5819548872180451
915,179,1,2,14,163,1,9,2,60,55,4,490,0.5450500556173526
916,118,2,1,4,121,2,6,0,25,60,5,344,0.49283667621776506
917,161,4,2,7,125,6,42,5,42,70,9,473,0.5
918,98,17,3,3,89,0,9,2,24,34,4,283,0.44427001569858715
919,117,5,0,6,156,5,14,2,36,73,3,417,0.38468634686346864
931,77,2,5,3,127,1,23,2,27,79,4,350,0.5555555555555556
941,109,0,1,7,120,6,8,3,28,53,2,337,0.5098335854765507
942,154,1,0,5,160,3,4,1,51,60,4,443,0.5469135802469136
943,123,2,2,2,137,5,15,0,38,65,3,392,0.4774665042630938
944,126,0,2,0,121,1,9,0,14,50,1,324,0.5586206896551724
945,123,2,3,2,97,19,3,1,32,36,2,320,0.44692737430167595
946,166,4,3,5,185,2,10,1,44,70,10,500,0.5561735261401557
947,169,1,1,0,146,5,7,0,42,63,9,443,0.4778856526429342
948,187,3,2,2,160,7,8,0,53,86,6,514,0.5827664399092971
950,137,1,0,1,127,1,12,2,40,58,5,384,0.48792884371029227
951,134,2,3,4,115,3,20,0,41,53,2,377,0.4908854166666667
952,162,12,2,2,153,4,9,3,63,62,5,477,0.5618374558303887
953,100,6,0,2,107,6,5,0,25,52,6,309,0.47392638036809814
954,168,1,0,7,146,2,12,0,50,60,7,453,0.5273573923166472
955,159,2,2,3,128,5,33,4,34,80,6,456,0.575031525851198
956,220,0,3,6,124,1,17,2,39,69,9,490,0.5263157894736842
957,160,2,0,3,96,6,14,1,25,53,1,361,0.48783783783783785
958,152,2,2,6,97,4,9,0,15,45,3,335,0.4827089337175792
959,175,0,0,7,129,3,18,1,41,73,12,459,0.5209988649262202
960,170,1,3,4,107,11,25,0,30,60,5,416,0.5459317585301837
961,184,2,0,4,83,4,2,0,15,85,6,385,0.49295774647887325
962,225,1,1,6,139,9,13,8,135,45,6,588,0.5915492957746479
963,130,2,0,8,86,2,25,0,69,37,6,365,0.5572519083969466
964,171,0,3,2,90,4,6,0,50,51,5,382,0.5276243093922652
965,129,1,1,3,114,3,12,8,70,32,2,375,0.5498533724340176
966,182,5,2,4,161,3,4,1,133,56,3,554,0.5976267529665588
967,148,0,0,2,97,1,6,9,55,33,2,353,0.5777414075286416
