SEZIONE,AMEDEO CIACCHERI,ALESSIO SCIME',TOTALE,AFFLUENZA,MUNICIPIO
1023,24,26,50,0.3787878787878788,8
1127,33,28,61,0.3193717277486911,8
1194,98,113,211,0.4271255060728745,8
1195,54,66,120,0.37267080745341613,8
1230,338,71,409,0.4626696832579186,8
1231,151,46,197,0.4061855670103093,8
1232,306,93,399,0.43991179713340683,8
1233,209,78,287,0.37516339869281046,8
1234,198,103,301,0.42334739803094235,8
1235,263,121,384,0.46265060240963857,8
1236,312,116,428,0.5101311084624554,8
1237,225,128,353,0.49232914923291493,8
1238,288,125,413,0.5124069478908189,8
1239,301,115,416,0.4842840512223516,8
1240,374,186,560,0.5118829981718465,8
1241,203,106,309,0.5082236842105263,8
1242,337,133,470,0.534698521046644,8
1243,258,109,367,0.551051051051051,8
1244,227,72,299,0.4008042895442359,8
1245,223,78,301,0.39814814814814814,8
1246,147,56,203,0.3780260707635009,8
1247,299,67,366,0.44363636363636366,8
1248,176,91,267,0.3739495798319328,8
1249,333,104,437,0.48717948717948717,8
1250,349,101,450,0.5005561735261401,8
1251,178,89,267,0.4734042553191489,8
1252,202,105,307,0.4066225165562914,8
1253,287,91,378,0.5206611570247934,8
1254,232,66,298,0.4837662337662338,8
1255,224,90,314,0.4109947643979058,8
1256,303,109,412,0.4887307236061684,8
1257,308,74,382,0.48050314465408805,8
1258,378,78,456,0.5217391304347826,8
1259,388,84,472,0.565947242206235,8
1260,420,96,516,0.5876993166287016,8
1261,171,84,255,0.5079681274900398,8
1262,206,70,276,0.3865546218487395,8
1263,400,105,505,0.5598669623059866,8
1264,224,55,279,0.4852173913043478,8
1265,202,88,290,0.4461538461538462,8
1266,264,70,334,0.44063324538258575,8
1267,240,82,322,0.4916030534351145,8
1268,241,102,343,0.4525065963060686,8
1269,356,119,475,0.49686192468619245,8
1271,337,155,492,0.5222929936305732,8
1272,269,126,395,0.48886138613861385,8
1274,250,94,344,0.44272844272844275,8
1275,192,90,282,0.5391969407265774,8
1276,265,67,332,0.4790764790764791,8
1277,218,97,315,0.4144736842105263,8
1278,290,95,385,0.4954954954954955,8
1279,202,79,281,0.5272045028142589,8
1280,284,124,408,0.5528455284552846,8
1281,300,145,445,0.5367913148371531,8
1282,249,79,328,0.4639321074964639,8
1283,211,82,293,0.4556765163297045,8
1284,309,148,457,0.48877005347593583,8
1285,223,96,319,0.49611197511664074,8
1286,247,64,311,0.45335276967930027,8
1287,279,119,398,0.4907521578298397,8
1288,276,109,385,0.5,8
1289,186,85,271,0.48134991119005327,8
1290,217,96,313,0.515650741350906,8
1291,163,93,256,0.375366568914956,8
1292,194,77,271,0.36671177266576455,8
1293,189,89,278,0.4371069182389937,8
1472,280,148,428,0.5175332527206772,8
1473,285,156,441,0.5575221238938053,8
1474,209,116,325,0.5742049469964664,8
1475,217,126,343,0.5833333333333334,8
1476,211,118,329,0.5340909090909091,8
1477,228,119,347,0.5783333333333334,8
1478,150,80,230,0.44315992292870904,8
1479,245,97,342,0.49493487698986977,8
1480,378,136,514,0.5544768069039914,8
1481,327,120,447,0.571611253196931,8
1482,273,132,405,0.4753521126760563,8
1483,163,79,242,0.35174418604651164,8
1484,311,98,409,0.4869047619047619,8
1485,236,105,341,0.462059620596206,8
1486,193,67,260,0.3439153439153439,8
1487,230,104,334,0.571917808219178,8
1488,258,100,358,0.4877384196185286,8
1489,203,88,291,0.4349775784753363,8
1490,277,104,381,0.4890885750962773,8
1491,244,98,342,0.44015444015444016,8
1492,281,86,367,0.46279949558638084,8
1493,348,116,464,0.575682382133995,8
1494,306,88,394,0.5375170532060027,8
1495,330,139,469,0.5287485907553551,8
1496,273,124,397,0.4605568445475638,8
1497,287,94,381,0.4774436090225564,8
1498,265,126,391,0.5,8
1499,213,142,355,0.4843110504774898,8
1500,267,119,386,0.47890818858560796,8
1501,219,155,374,0.520891364902507,8
1502,221,103,324,0.5070422535211268,8
1503,184,93,277,0.5573440643863179,8
1504,260,116,376,0.49801324503311256,8
1505,363,143,506,0.6030989272943981,8
1506,363,186,549,0.5419545903257651,8
1507,339,164,503,0.5153688524590164,8
1508,303,193,496,0.5925925925925926,8
1509,303,210,513,0.7235543018335684,8
1510,349,167,516,0.4835988753514527,8
1511,279,128,407,0.5355263157894737,8
1512,219,154,373,0.5453216374269005,8
1513,341,158,499,0.5241596638655462,8
1514,272,148,420,0.5461638491547465,8
1515,288,148,436,0.5265700483091788,8
1516,258,161,419,0.5230961298377028,8
1517,208,110,318,0.5802919708029197,8
1518,395,162,557,0.5826359832635983,8
1519,311,147,458,0.5088888888888888,8
1520,230,104,334,0.5604026845637584,8
1521,253,126,379,0.5053333333333333,8
1522,141,67,208,0.4964200477326969,8
1523,319,119,438,0.5232974910394266,8
1524,390,193,583,0.5824175824175825,8
1525,331,159,490,0.5285868392664509,8
1526,317,149,466,0.5277463193657984,8
1527,237,116,353,0.5237388724035609,8
1528,334,140,474,0.5550351288056206,8
1529,195,121,316,0.5146579804560261,8
1530,283,140,423,0.5493506493506494,8
1531,220,105,325,0.5527210884353742,8
1532,332,114,446,0.5777202072538861,8
1533,373,128,501,0.5648252536640361,8
1534,357,153,510,0.5362776025236593,8
1535,236,105,341,0.5036927621861153,8
1536,110,109,219,0.4689507494646681,8
1604,18,24,42,0.4329896907216495,8
2512,349,145,494,0.5717592592592593,8
2531,414,216,630,0.5640107430617726,8
2537,4,7,11,0.2037037037037037,8
2583,5,0,5,,8
