SEZIONE,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,GIORGIA MELONI FRATELLI D'ITALIA,LEGA SALVINI PREMIER,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,PARTITO COMUNISTA MARCO RIZZO,REVOLUZIONE CIVICA,POTERE AL POPOLO,MOVIMENTO CINQUE STELLE 2050,LISTA CIVICA VIRGINIA RAGGI,SINISTRA CIVICA ECOLOGISTA CIACCHERI PRESIDENTE,PD PARTITO DEMOCRATICO,LISTA CIVICA GUALTIERI SINDACO,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,DEMOS DEMOCRAZIA SOLIDALE,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD,RICONQUISTARE L'ITALIA,CALENDA SINDACO,IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,TOTALE,MUNICIPIO,AFFLUENZA
1023,3,18,3,8,0,0,1,1,1,2,7,3,0,1,2,0,0,10,0,60,8,0.45454545454545453
1127,2,16,2,4,0,1,0,4,5,1,21,4,4,1,0,1,0,7,0,73,8,0.38219895287958117
1194,12,66,12,18,1,0,3,14,13,12,28,17,2,0,1,0,1,46,0,246,8,0.4979757085020243
1195,6,30,4,17,0,0,0,13,11,4,12,5,1,0,0,0,0,25,0,128,8,0.39751552795031053
1230,9,46,22,5,3,4,6,33,28,63,76,29,14,15,23,13,1,40,3,433,8,0.48981900452488686
1231,6,34,6,6,3,1,4,13,6,26,39,16,2,4,6,3,3,30,1,209,8,0.4309278350515464
1232,8,49,21,14,7,1,7,24,23,41,118,29,14,7,14,2,1,61,0,441,8,0.4862183020948181
1233,4,55,14,9,3,3,3,27,11,35,63,19,5,8,6,3,1,44,2,315,8,0.4117647058823529
1234,15,59,15,7,2,1,3,15,19,45,61,32,6,10,3,4,2,38,0,337,8,0.4739803094233474
1235,17,68,19,25,5,4,7,18,18,30,99,24,8,9,17,1,2,51,0,422,8,0.5084337349397591
1236,8,66,18,25,1,1,2,46,13,102,77,31,17,6,7,4,4,44,0,472,8,0.5625744934445769
1237,10,87,16,6,1,1,2,32,21,64,72,28,3,4,3,2,4,40,0,396,8,0.5523012552301255
1238,8,109,10,8,4,1,3,20,12,95,65,30,3,5,9,3,1,44,1,431,8,0.5347394540942928
1239,9,125,6,13,4,0,3,36,18,76,77,35,11,5,8,0,2,39,2,469,8,0.5459837019790454
1240,6,178,13,7,2,1,2,37,26,75,86,42,9,11,10,4,3,82,0,594,8,0.5429616087751371
1241,17,64,14,13,1,1,1,21,16,49,51,17,5,6,4,4,1,42,3,330,8,0.5427631578947368
1242,14,92,17,18,2,0,10,22,26,81,83,28,4,5,7,3,0,62,2,476,8,0.5415244596131968
1243,18,41,19,10,0,0,3,18,13,79,75,29,6,5,5,2,0,68,3,394,8,0.5915915915915916
1244,3,51,5,9,5,1,2,24,10,89,73,20,3,4,4,3,1,21,1,329,8,0.4410187667560322
1245,14,74,16,4,1,0,2,26,22,100,48,11,4,1,3,3,1,19,1,350,8,0.46296296296296297
1246,3,45,13,12,6,0,2,28,8,43,35,10,5,1,1,2,0,14,0,228,8,0.4245810055865922
1247,6,48,9,3,4,0,5,39,17,95,72,19,7,17,7,8,2,30,1,389,8,0.4715151515151515
1248,7,59,20,10,2,0,1,34,18,42,40,24,3,0,6,3,1,31,1,302,8,0.42296918767507
1249,14,83,15,13,6,1,5,43,19,92,82,36,19,1,7,6,3,42,4,491,8,0.5473801560758083
1250,6,80,14,14,5,2,0,47,22,101,94,25,15,0,6,4,1,56,0,492,8,0.5472747497219133
1251,7,52,5,10,1,2,1,18,10,38,47,17,4,2,6,2,0,37,0,259,8,0.4592198581560284
1252,9,85,20,9,3,1,1,38,18,57,63,12,16,7,6,0,2,31,0,378,8,0.5006622516556292
1253,7,65,9,10,4,0,4,36,17,84,80,18,12,4,8,0,1,39,1,399,8,0.5495867768595041
1254,3,44,10,8,5,0,1,27,14,58,64,18,13,3,10,1,0,29,0,308,8,0.5
1255,8,60,11,5,2,2,4,26,15,84,57,18,3,4,8,5,0,18,0,330,8,0.4319371727748691
1256,10,66,17,14,6,2,6,38,16,101,73,14,13,12,10,7,0,26,0,431,8,0.5112692763938316
1257,10,53,18,6,6,3,5,27,22,101,87,27,7,7,13,4,1,33,2,432,8,0.5433962264150943
1258,8,49,13,7,2,2,2,25,17,113,87,36,15,12,21,15,0,40,1,465,8,0.5320366132723112
1259,5,41,5,7,6,2,5,24,16,160,107,25,11,11,17,6,0,39,2,489,8,0.5863309352517986
1260,13,52,14,9,5,2,3,37,13,113,87,43,12,7,28,6,1,73,2,520,8,0.592255125284738
1261,2,62,9,9,1,0,1,29,19,32,71,14,8,8,2,1,0,44,0,312,8,0.6215139442231076
1262,5,51,13,7,7,3,5,27,16,54,82,18,8,6,12,2,1,17,1,335,8,0.469187675070028
1263,4,45,9,16,5,0,4,36,12,117,97,31,9,5,14,3,5,85,4,501,8,0.5554323725055432
1264,4,43,7,3,6,2,2,24,13,92,43,25,4,6,4,1,0,29,0,308,8,0.5356521739130434
1265,5,48,11,8,5,0,1,14,15,48,58,20,11,2,7,1,0,23,2,279,8,0.42923076923076925
1266,1,48,6,5,6,1,2,22,11,69,73,21,4,1,15,1,2,45,0,333,8,0.4393139841688654
1267,14,38,10,5,2,1,3,20,19,76,62,19,7,7,6,6,0,35,1,331,8,0.5053435114503817
1268,7,64,12,20,1,1,1,29,16,38,67,24,6,6,6,2,1,40,2,343,8,0.4525065963060686
1269,9,54,14,15,2,1,6,41,25,90,94,28,12,10,16,4,3,58,2,484,8,0.5062761506276151
1271,9,83,29,25,5,2,6,45,30,70,96,31,11,4,14,3,6,48,1,518,8,0.5498938428874734
1272,12,52,22,46,5,2,4,31,17,86,61,16,6,9,9,3,1,31,1,414,8,0.5123762376237624
1274,7,44,12,18,5,2,4,39,23,33,68,40,11,5,2,7,1,40,0,361,8,0.4646074646074646
1275,7,37,10,11,0,2,1,19,14,74,43,18,9,1,6,0,0,0,0,252,8,0.4818355640535373
1276,4,45,9,9,1,1,3,41,11,77,66,31,9,11,4,6,0,38,1,367,8,0.5295815295815296
1277,6,63,12,4,3,0,0,32,13,63,61,25,10,5,10,3,3,36,1,350,8,0.4605263157894737
1278,7,58,13,11,5,0,3,34,31,65,81,23,7,11,9,18,0,39,0,415,8,0.5341055341055341
1279,7,55,9,10,1,1,0,22,15,30,64,16,18,8,3,3,0,44,1,307,8,0.575984990619137
1280,9,55,15,26,2,1,2,29,15,51,114,20,9,5,9,9,1,53,4,429,8,0.5813008130081301
1281,16,67,15,26,3,4,4,31,28,58,83,29,14,30,11,7,3,55,0,484,8,0.5838359469240049
1282,4,38,8,8,3,2,2,40,20,46,77,17,7,2,7,2,2,47,0,332,8,0.4695898161244696
1283,8,42,15,7,1,0,2,33,10,46,48,32,7,4,6,2,0,32,1,296,8,0.4603421461897356
1284,14,71,22,21,4,1,2,51,26,57,96,30,12,3,7,5,0,72,1,495,8,0.5294117647058824
1285,9,58,13,7,4,3,5,30,16,35,84,19,9,5,15,5,0,43,1,361,8,0.5614307931570762
1286,8,34,11,10,3,2,0,23,8,55,61,31,4,9,28,3,0,45,3,338,8,0.49271137026239065
1287,20,60,21,12,5,4,4,40,22,84,71,19,10,7,11,2,1,59,2,454,8,0.55980271270037
1288,13,52,10,17,4,0,4,39,16,55,82,31,4,8,10,7,1,59,1,413,8,0.5363636363636364
1289,7,49,15,12,9,1,2,14,14,50,49,18,4,8,9,3,0,30,2,296,8,0.5257548845470693
1290,8,50,12,14,3,0,4,22,7,60,81,16,2,6,3,0,0,42,3,333,8,0.5485996705107083
1291,11,56,11,9,0,0,4,24,18,73,36,10,3,1,5,1,1,15,2,280,8,0.41055718475073316
1292,7,35,17,7,2,3,1,32,20,89,56,17,2,2,2,5,2,31,2,332,8,0.44925575101488496
1293,12,52,18,9,5,0,2,24,18,124,38,11,3,2,4,3,2,9,0,336,8,0.5283018867924528
1472,8,88,12,27,3,2,1,31,14,73,74,29,7,8,11,0,1,119,1,509,8,0.6154776299879081
1473,19,81,11,23,1,1,1,21,15,73,82,34,9,9,2,12,0,85,2,481,8,0.6080910240202275
1474,6,57,16,16,0,1,1,5,11,37,56,40,4,3,7,1,2,66,1,330,8,0.5830388692579506
1475,6,69,13,28,1,0,3,13,7,26,65,35,2,6,3,0,0,69,1,347,8,0.5901360544217688
1476,7,58,16,18,1,0,1,31,9,27,80,20,2,2,7,2,0,42,2,325,8,0.5275974025974026
1477,6,61,14,45,4,0,4,26,11,40,76,22,5,3,5,4,0,60,3,389,8,0.6483333333333333
1478,9,31,10,13,2,1,0,20,8,20,63,16,3,1,3,4,1,60,0,265,8,0.5105973025048169
1479,5,60,15,15,6,5,1,37,11,45,71,20,11,5,8,8,0,38,0,361,8,0.5224312590448625
1480,13,75,20,17,3,3,4,27,25,88,104,33,9,3,5,3,0,92,2,526,8,0.5674217907227616
1481,5,73,18,8,5,1,3,29,16,73,90,34,11,13,10,3,1,88,2,483,8,0.6176470588235294
1482,9,70,24,28,3,2,4,26,29,63,84,34,13,20,8,2,0,65,1,485,8,0.5692488262910798
1483,4,53,13,6,5,0,0,24,8,22,62,49,5,5,2,4,1,4,0,267,8,0.38808139534883723
1484,4,64,6,22,9,0,1,34,16,54,116,45,8,13,12,11,3,38,3,459,8,0.5464285714285714
1485,9,64,23,7,4,2,3,15,18,34,82,40,10,7,8,4,1,36,1,368,8,0.4986449864498645
1486,8,57,12,9,0,0,4,35,23,51,44,36,7,4,4,6,0,22,0,322,8,0.42592592592592593
1487,8,68,12,18,3,1,1,13,5,44,68,32,9,12,3,5,1,33,2,338,8,0.5787671232876712
1488,7,60,13,8,3,1,4,23,15,57,77,26,9,2,7,2,4,47,4,369,8,0.502724795640327
1489,6,39,18,25,7,0,5,32,9,45,61,35,4,9,3,3,5,35,0,341,8,0.5097159940209267
1490,8,64,12,12,4,1,2,37,13,73,89,43,6,6,12,6,1,40,1,430,8,0.55198973042362
1491,2,57,23,22,1,0,2,31,10,51,70,37,19,4,4,6,3,38,3,383,8,0.4929214929214929
1492,17,45,16,14,2,0,3,35,23,56,62,34,8,5,9,4,1,65,2,401,8,0.5056746532156369
1493,5,61,25,11,5,3,3,18,16,43,94,41,19,12,5,3,1,83,0,448,8,0.5558312655086849
1494,5,46,14,12,3,4,2,36,17,54,88,30,13,5,5,0,0,75,4,413,8,0.5634379263301501
1495,7,85,23,16,1,0,1,39,17,79,91,29,8,4,14,5,0,55,1,475,8,0.5355129650507328
1496,9,80,9,14,1,4,3,49,29,62,99,31,11,6,4,3,1,46,2,463,8,0.537122969837587
1497,7,57,25,11,2,2,5,45,22,63,75,19,5,14,1,8,1,39,0,401,8,0.5025062656641605
1498,9,74,35,7,2,2,2,30,24,47,91,27,11,3,3,4,2,54,2,429,8,0.5485933503836317
1499,5,113,8,11,1,0,4,35,17,54,65,18,7,0,5,3,0,39,0,385,8,0.5252387448840382
1500,5,72,25,16,3,1,5,30,32,55,75,30,12,5,12,2,1,48,3,432,8,0.5359801488833746
1501,15,120,19,9,0,0,0,25,14,0,78,12,12,3,4,0,0,59,0,370,8,0.5153203342618384
1502,4,75,28,11,1,0,4,30,16,48,68,13,10,2,9,1,0,29,1,350,8,0.5477308294209703
1503,8,56,17,15,3,0,1,17,9,29,56,12,8,0,5,0,3,57,2,298,8,0.5995975855130785
1504,12,62,26,12,4,2,3,45,20,44,101,18,9,6,5,3,4,32,2,410,8,0.543046357615894
1505,8,89,16,13,2,3,6,25,20,67,90,43,30,6,6,2,0,82,1,509,8,0.6066746126340882
1506,12,104,33,23,1,4,0,52,33,60,101,38,16,3,9,2,1,104,0,596,8,0.5883514313919053
1507,8,115,26,16,5,1,2,30,22,59,105,20,23,12,6,5,0,86,1,542,8,0.555327868852459
1508,9,90,28,24,5,1,0,35,17,42,92,27,8,8,6,6,2,102,8,510,8,0.6093189964157706
1509,16,124,33,26,3,1,3,29,16,41,107,41,12,4,11,2,1,101,2,573,8,0.8081805359661495
1510,6,105,46,23,6,6,3,48,26,29,164,38,8,10,10,7,0,67,3,605,8,0.5670103092783505
1511,7,50,23,44,0,4,3,24,15,33,116,31,8,5,7,2,0,65,1,438,8,0.5763157894736842
1512,14,79,21,21,1,2,0,18,12,20,74,19,5,2,3,0,3,97,1,392,8,0.5730994152046783
1513,7,73,27,20,5,2,3,37,31,40,131,27,11,3,10,2,2,90,3,524,8,0.5504201680672269
1514,10,95,27,17,3,1,1,20,24,24,108,18,7,1,15,4,1,82,0,458,8,0.5955786736020806
1515,12,87,18,18,6,0,1,17,14,15,135,22,2,9,5,4,2,108,0,475,8,0.5736714975845411
1516,14,71,30,20,3,1,1,30,11,25,113,26,5,3,4,2,1,86,0,446,8,0.5568039950062422
1517,8,76,11,7,1,0,1,14,9,19,96,17,4,3,4,1,1,67,2,341,8,0.6222627737226277
1518,12,73,21,21,1,0,6,32,14,31,141,44,11,9,11,3,1,162,2,595,8,0.6223849372384938
1519,12,77,15,11,0,0,0,24,19,23,140,28,5,0,2,0,0,109,0,465,8,0.5166666666666667
1520,3,53,11,23,4,1,0,16,22,25,108,21,3,2,5,1,1,57,1,357,8,0.5989932885906041
1521,8,68,19,19,1,1,2,29,28,22,92,38,2,0,4,2,4,75,1,415,8,0.5533333333333333
1522,7,37,8,12,1,1,2,12,10,66,39,5,2,1,7,0,0,9,1,220,8,0.5250596658711217
1523,9,78,15,14,0,1,3,31,26,58,140,16,11,12,7,2,4,53,3,483,8,0.5770609318996416
1524,7,109,30,32,1,1,1,60,22,65,132,53,12,4,8,3,1,74,4,619,8,0.6183816183816184
1525,9,86,14,18,5,0,3,36,25,63,121,33,8,11,11,1,2,67,2,515,8,0.5555555555555556
1526,11,92,21,17,4,0,1,22,18,52,145,45,12,4,5,2,0,52,4,507,8,0.5741789354473387
1527,5,62,19,11,1,1,0,19,10,35,97,14,3,5,6,2,1,66,7,364,8,0.5400593471810089
1528,9,87,15,13,4,1,2,32,21,54,124,26,7,7,11,1,2,76,1,493,8,0.5772833723653396
1529,6,81,9,8,1,2,1,27,23,33,83,13,8,1,7,3,3,37,2,348,8,0.5667752442996743
1530,9,88,13,19,1,1,2,21,11,70,111,18,7,18,4,0,0,44,3,440,8,0.5714285714285714
1531,8,77,11,11,4,2,2,21,16,26,81,23,5,10,7,3,0,35,3,345,8,0.5867346938775511
1532,4,58,22,11,2,3,2,22,18,69,150,34,13,2,8,1,4,48,2,473,8,0.6126943005181347
1533,12,87,24,12,1,2,1,37,17,61,165,39,7,4,8,5,0,69,1,552,8,0.6223224351747464
1534,6,102,13,17,4,1,5,68,25,71,104,17,12,2,5,0,2,84,7,545,8,0.573080967402734
1535,15,74,15,9,6,0,3,35,7,43,103,15,1,5,5,5,0,36,1,378,8,0.5583456425406204
1536,12,59,16,22,0,1,0,16,20,16,40,12,0,0,5,2,1,25,0,247,8,0.5289079229122056
1604,5,11,0,2,0,0,0,2,2,0,9,0,0,0,0,2,0,8,0,41,8,0.422680412371134
2512,12,77,30,32,3,0,3,41,29,72,132,34,33,1,2,2,2,78,1,584,8,0.6759259259259259
2531,18,141,26,23,4,1,1,45,22,60,123,38,8,12,14,1,1,134,3,675,8,0.6042972247090421
2537,1,1,3,0,0,0,0,5,5,1,0,0,1,1,0,1,0,2,0,21,8,0.3888888888888889
2583,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,2,7,8,
