SEZIONE,ALESSIO SCIME',MARIA NICOLETTA ALARI,ELENA CHERUBINI,MAURO LUONGO,MARCO MERAFINA,AMEDEO CIACCHERI,MARIA CLAUDIA BENINCA',AGOSTINO ALTOBELLI,SIMONETTA NOVI,ELEONORA ANTONUCCI,TOTALE,AFFLUENZA
1023,32.0,0.0,0.0,2.0,2.0,18.0,0.0,0.0,11.0,0.0,65.0,0.49242424242424243
1127,25.0,0.0,1.0,0.0,11.0,33.0,1.0,0.0,7.0,0.0,78.0,0.4083769633507853
1194,113.0,1.0,0.0,3.0,28.0,60.0,0.0,1.0,49.0,0.0,255.0,0.5161943319838057
1195,58.0,0.0,0.0,0.0,26.0,26.0,0.0,0.0,25.0,0.0,135.0,0.4192546583850932
1230,83.0,3.0,4.0,5.0,61.0,220.0,13.0,1.0,40.0,3.0,433.0,0.48981900452488686
1231,53.0,4.0,1.0,4.0,24.0,101.0,3.0,3.0,30.0,1.0,224.0,0.4618556701030928
1232,94.0,7.0,1.0,7.0,58.0,253.0,2.0,1.0,64.0,0.0,487.0,0.5369349503858876
1233,86.0,3.0,3.0,3.0,42.0,144.0,3.0,1.0,48.0,2.0,335.0,0.43790849673202614
1234,97.0,2.0,1.0,3.0,44.0,165.0,4.0,2.0,40.0,0.0,358.0,0.5035161744022504
1235,131.0,5.0,4.0,7.0,43.0,197.0,0.0,2.0,57.0,0.0,446.0,0.5373493975903615
1236,119.0,2.0,1.0,3.0,61.0,255.0,5.0,4.0,46.0,0.0,496.0,0.5911799761620977
1237,119.0,1.0,1.0,2.0,62.0,180.0,2.0,4.0,41.0,0.0,412.0,0.5746164574616457
1238,136.0,4.0,1.0,3.0,40.0,217.0,3.0,1.0,45.0,2.0,452.0,0.5607940446650124
1239,162.0,6.0,0.0,3.0,58.0,240.0,0.0,2.0,40.0,2.0,513.0,0.5972060535506403
1240,208.0,2.0,1.0,2.0,70.0,263.0,4.0,3.0,87.0,0.0,640.0,0.5850091407678245
1241,113.0,1.0,1.0,1.0,43.0,139.0,4.0,1.0,43.0,3.0,349.0,0.5740131578947368
1242,142.0,2.0,0.0,10.0,55.0,238.0,3.0,0.0,67.0,2.0,519.0,0.590443686006826
1243,91.0,0.0,0.0,4.0,37.0,208.0,2.0,0.0,73.0,3.0,418.0,0.6276276276276276
1244,74.0,5.0,1.0,2.0,38.0,208.0,3.0,1.0,22.0,1.0,355.0,0.47587131367292224
1245,110.0,2.0,0.0,2.0,54.0,177.0,3.0,1.0,19.0,1.0,369.0,0.4880952380952381
1246,73.0,6.0,0.0,2.0,42.0,99.0,2.0,0.0,15.0,0.0,239.0,0.4450651769087523
1247,71.0,4.0,0.0,7.0,66.0,234.0,7.0,2.0,33.0,1.0,425.0,0.5151515151515151
1248,98.0,3.0,0.0,2.0,54.0,123.0,3.0,1.0,32.0,1.0,317.0,0.44397759103641454
1249,124.0,6.0,1.0,5.0,67.0,254.0,8.0,3.0,46.0,3.0,517.0,0.5763656633221851
1250,118.0,7.0,2.0,0.0,72.0,255.0,4.0,1.0,56.0,0.0,515.0,0.5728587319243604
1251,78.0,1.0,2.0,1.0,34.0,124.0,2.0,0.0,39.0,0.0,281.0,0.49822695035460995
1252,126.0,3.0,1.0,2.0,61.0,170.0,0.0,2.0,32.0,0.0,397.0,0.5258278145695364
1253,93.0,5.0,0.0,4.0,58.0,218.0,0.0,1.0,40.0,1.0,420.0,0.5785123966942148
1254,66.0,5.0,0.0,2.0,42.0,180.0,2.0,0.0,34.0,0.0,331.0,0.5373376623376623
1255,94.0,2.0,2.0,4.0,47.0,187.0,5.0,0.0,21.0,0.0,362.0,0.4738219895287958
1256,113.0,6.0,2.0,6.0,59.0,234.0,9.0,0.0,29.0,0.0,458.0,0.5432977461447213
1257,89.0,6.0,3.0,5.0,52.0,267.0,3.0,1.0,35.0,2.0,463.0,0.5823899371069182
1258,78.0,3.0,2.0,2.0,48.0,310.0,16.0,0.0,46.0,1.0,506.0,0.5789473684210527
1259,61.0,7.0,2.0,5.0,47.0,345.0,10.0,0.0,43.0,2.0,522.0,0.6258992805755396
1260,97.0,6.0,2.0,3.0,66.0,315.0,9.0,1.0,75.0,2.0,576.0,0.6560364464692483
1261,84.0,1.0,0.0,0.0,50.0,141.0,1.0,0.0,46.0,0.0,323.0,0.6434262948207171
1262,76.0,7.0,3.0,5.0,47.0,189.0,2.0,1.0,17.0,1.0,348.0,0.48739495798319327
1263,76.0,6.0,0.0,5.0,54.0,319.0,3.0,5.0,95.0,5.0,568.0,0.6297117516629712
1264,59.0,6.0,2.0,2.0,43.0,188.0,1.0,0.0,29.0,0.0,330.0,0.5739130434782609
1265,75.0,5.0,0.0,1.0,33.0,159.0,1.0,0.0,25.0,2.0,301.0,0.46307692307692305
1266,64.0,6.0,1.0,2.0,36.0,194.0,2.0,2.0,49.0,0.0,356.0,0.46965699208443273
1267,74.0,2.0,2.0,3.0,45.0,196.0,8.0,0.0,41.0,1.0,372.0,0.5679389312977099
1268,103.0,1.0,1.0,1.0,54.0,159.0,3.0,1.0,43.0,3.0,369.0,0.4868073878627968
1269,99.0,2.0,7.0,7.0,75.0,266.0,5.0,4.0,68.0,2.0,535.0,0.5596234309623431
1271,153.0,5.0,2.0,6.0,80.0,241.0,4.0,7.0,58.0,1.0,557.0,0.5912951167728238
1272,137.0,5.0,2.0,6.0,53.0,201.0,3.0,1.0,39.0,1.0,448.0,0.5544554455445545
1274,85.0,5.0,2.0,4.0,70.0,177.0,7.0,1.0,40.0,0.0,391.0,0.5032175032175032
1275,71.0,7.0,2.0,1.0,41.0,156.0,1.0,0.0,37.0,0.0,316.0,0.6042065009560229
1276,71.0,1.0,2.0,5.0,59.0,208.0,7.0,0.0,39.0,1.0,393.0,0.5670995670995671
1277,90.0,5.0,0.0,0.0,50.0,182.0,3.0,2.0,38.0,1.0,371.0,0.4881578947368421
1278,91.0,5.0,0.0,3.0,70.0,211.0,21.0,0.0,41.0,0.0,442.0,0.5688545688545689
1279,83.0,1.0,1.0,0.0,39.0,151.0,4.0,0.0,49.0,1.0,329.0,0.6172607879924953
1280,110.0,2.0,1.0,2.0,49.0,221.0,11.0,1.0,58.0,4.0,459.0,0.6219512195121951
1281,129.0,3.0,4.0,4.0,61.0,239.0,8.0,3.0,56.0,0.0,507.0,0.6115802171290712
1282,66.0,3.0,3.0,4.0,70.0,178.0,3.0,2.0,52.0,0.0,381.0,0.5388967468175389
1283,74.0,2.0,0.0,2.0,48.0,155.0,2.0,1.0,37.0,1.0,322.0,0.5007776049766719
1284,140.0,4.0,1.0,2.0,90.0,217.0,6.0,0.0,76.0,1.0,537.0,0.574331550802139
1285,92.0,4.0,3.0,5.0,48.0,172.0,5.0,0.0,43.0,1.0,373.0,0.5800933125972006
1286,66.0,3.0,2.0,0.0,36.0,198.0,5.0,0.0,51.0,3.0,364.0,0.5306122448979592
1287,118.0,7.0,4.0,4.0,67.0,205.0,3.0,1.0,63.0,2.0,474.0,0.5844636251541308
1288,96.0,5.0,0.0,4.0,63.0,196.0,9.0,1.0,62.0,1.0,437.0,0.5675324675324676
1289,86.0,9.0,1.0,3.0,32.0,148.0,4.0,0.0,33.0,2.0,318.0,0.5648312611012434
