SEZIONE,MASSIMILIANO DE JULIIS,TERESA MARIA DI SALVO,TOTALE,AFFLUENZA,MUNICIPIO
595,187.0,301.0,488.0,0.6515353805073432,9
849,277.0,331.0,608.0,0.5223367697594502,9
850,265.0,255.0,520.0,0.4828226555246054,9
936,187.0,251.0,438.0,0.4899328859060403,9
949,177.0,117.0,294.0,0.31343283582089554,9
1009,186.0,212.0,398.0,0.41458333333333336,9
1011,238.0,265.0,503.0,0.5539647577092511,9
1059,223.0,235.0,458.0,0.6387726638772664,9
1074,206.0,269.0,475.0,0.40563620836891545,9
1196,164.0,130.0,294.0,0.3572296476306197,9
1197,225.0,146.0,371.0,0.4464500601684717,9
1198,264.0,130.0,394.0,0.39087301587301587,9
1199,262.0,288.0,550.0,0.4737295434969854,9
1200,209.0,175.0,384.0,0.3910386965376782,9
1201,236.0,190.0,426.0,0.399624765478424,9
1202,204.0,149.0,353.0,0.4066820276497696,9
1203,330.0,94.0,424.0,0.4774774774774775,9
1204,254.0,162.0,416.0,0.40904621435594885,9
1205,204.0,170.0,374.0,0.30680885972108285,9
1206,138.0,98.0,236.0,0.2300194931773879,9
1207,290.0,256.0,546.0,0.4105263157894737,9
1208,230.0,226.0,456.0,0.44662095984329087,9
1209,187.0,139.0,326.0,0.3990208078335373,9
1210,155.0,110.0,265.0,0.35286284953395475,9
1211,200.0,239.0,439.0,0.40275229357798165,9
1212,196.0,208.0,404.0,0.40725806451612906,9
1213,117.0,118.0,235.0,0.34711964549483015,9
1214,223.0,161.0,384.0,0.3213389121338912,9
1215,203.0,221.0,424.0,0.3518672199170125,9
1216,190.0,224.0,414.0,0.4152457372116349,9
1218,156.0,199.0,355.0,0.46895640686922063,9
1294,20.0,33.0,53.0,0.34868421052631576,9
1537,158.0,271.0,429.0,0.5844686648501363,9
1538,169.0,318.0,487.0,0.6057213930348259,9
1539,112.0,269.0,381.0,0.5233516483516484,9
1540,108.0,289.0,397.0,0.5483425414364641,9
1541,146.0,232.0,378.0,0.5887850467289719,9
1542,140.0,245.0,385.0,0.5703703703703704,9
1543,112.0,193.0,305.0,0.580952380952381,9
1544,146.0,300.0,446.0,0.5710627400768246,9
1545,131.0,335.0,466.0,0.504875406283857,9
1546,137.0,279.0,416.0,0.5333333333333333,9
1547,129.0,368.0,497.0,0.6251572327044025,9
1548,135.0,287.0,422.0,0.4988179669030733,9
1549,124.0,255.0,379.0,0.508724832214765,9
1550,120.0,204.0,324.0,0.5472972972972973,9
1551,126.0,280.0,406.0,0.5584594222833562,9
1552,174.0,277.0,451.0,0.5250291036088475,9
1553,134.0,289.0,423.0,0.493006993006993,9
1554,99.0,66.0,165.0,0.3563714902807775,9
1555,116.0,105.0,221.0,0.3564516129032258,9
1556,113.0,99.0,212.0,0.29859154929577464,9
1557,185.0,283.0,468.0,0.54292343387471,9
