SEZIONE,ROMA TI RIGUARDA BERDINI SINDACO PARTITO DEL SUD,LISTA CIVICA GUALTIERI SINDACO,PD PARTITO DEMOCRATICO,EUROPA VERDE ECOLOGISTA - EUROPEAN GREEN PARTY - VERDI,SINISTRA CIVICA ECOLOGISTA,DEMOS DEMOCRAZIA SOLIDALE,ROMA FUTURA FEMMINISTA EGUALITARIA ECOLOGISTA,REVOLUZIONE CIVICA,IL POPOLO DELLA FAMIGLIA NO GENDER NELLE SCUOLE,RICONQUISTARE L'ITALIA,LIBERISTI ITALIANI,PARTITO COMUNISTA MARCO RIZZO,LEGA SALVINI PREMIER,GIORGIA MELONI FRATELLI D'ITALIA,FORZA ITALIA - BERLUSCONI PER MICHETTI - LIBERTAS - UNIONE,RINASCIMENTO SGARBI MICHETTI SINDACO CAMBIAMO ROMA,LISTA CIVICA MICHETTI SINDACO,CALENDA SINDACO,NOI X IL 9 MUNICIPIO,LISTA CIVICA VIRGINIA RAGGI,MOVIMENTO CINQUE STELLE 2050,TOTALE,MUNICIPIO,AFFLUENZA
595,4,35,79,14,12,10,1,1,4,0,1,2,47,97,13,3,11,100,1,76,38,549,9,0.732977303070761
849,2,47,94,8,17,12,25,6,2,1,0,2,47,142,28,7,18,61,1,73,57,650,9,0.5584192439862543
850,2,23,85,4,8,3,14,3,4,5,2,3,19,87,7,5,14,76,0,76,65,505,9,0.4688950789229341
936,3,29,69,11,8,7,8,11,1,3,1,3,30,105,18,12,6,80,0,57,42,504,9,0.5637583892617449
949,0,8,52,3,6,3,0,1,2,0,0,7,43,73,28,7,11,17,0,25,35,321,9,0.3422174840085288
1009,2,35,53,9,8,3,4,2,3,1,0,2,32,104,29,7,7,64,1,53,48,467,9,0.4864583333333333
1011,5,25,79,13,11,5,6,2,1,3,0,3,55,131,21,7,15,89,4,60,49,584,9,0.6431718061674009
1059,1,22,64,4,6,3,5,3,4,4,0,3,32,128,21,8,11,104,1,28,35,487,9,0.6792189679218968
1074,6,16,60,13,9,2,7,2,2,0,1,5,45,106,15,4,20,116,3,46,45,523,9,0.4466268146883006
1196,3,14,43,5,2,4,1,3,0,1,0,4,31,98,31,4,4,25,1,46,52,372,9,0.4520048602673147
1197,0,20,48,3,6,2,4,3,0,0,2,1,31,128,33,9,13,36,1,19,26,385,9,0.46329723225030084
1198,3,10,67,6,6,10,5,3,5,1,0,3,35,136,48,12,14,21,1,26,32,444,9,0.44047619047619047
1199,10,31,90,6,13,8,20,11,4,1,9,5,53,135,38,7,22,76,2,40,57,638,9,0.549526270456503
1200,3,28,93,4,9,14,5,0,1,0,1,2,30,95,42,10,11,43,1,26,46,464,9,0.4725050916496945
1201,4,22,58,6,3,8,4,16,3,1,3,10,35,122,29,7,8,43,0,39,51,472,9,0.4427767354596623
1202,2,11,69,11,8,4,3,4,2,1,0,6,34,93,40,4,8,36,3,25,45,409,9,0.47119815668202764
1203,1,17,48,2,5,1,2,1,3,1,0,2,48,170,70,10,12,11,0,15,18,437,9,0.49211711711711714
