SEZIONE,TERESA MARIA DI SALVO,LAURA CAMPAGNOLA,MAURO CANGINI,DOMENICO DE MASI,DIEGO ZANDEL,CLAUDIA MOLLICA,MASSIMILIANO DE JULIIS,MARCO MURO PES,GENESIO PINO,CARLA CANALE,MASSIMO GIOVANNI FAUSTO MARIA SABBAT,TOTALE,AFFLUENZA
595,159,2,4,0,1,3,181,105,1,125,5,586,0.7823765020026703
849,199,6,2,1,0,2,242,61,1,130,2,646,0.5549828178694158
850,144,6,1,5,2,3,196,87,0,174,2,620,0.5756731662024142
936,139,11,1,3,1,4,175,83,0,119,3,539,0.6029082774049217
949,79,1,3,0,0,7,181,18,0,67,0,356,0.3795309168443497
1009,119,2,3,1,0,2,185,70,1,113,2,498,0.51875
1011,149,2,2,3,0,3,240,93,4,120,5,621,0.683920704845815
1059,108,3,1,4,0,3,200,104,1,63,1,488,0.6806136680613668
1074,111,2,2,0,1,5,198,123,5,108,6,561,0.47907771135781385
1196,76,3,0,1,0,4,179,27,1,106,3,400,0.48602673147023084
1197,90,3,0,0,2,1,233,37,1,49,0,416,0.5006016847172082
1198,107,3,5,1,0,3,276,21,1,74,3,494,0.49007936507936506
1199,173,11,4,1,9,5,268,82,2,110,10,675,0.5813953488372093
1200,155,0,1,0,0,2,197,48,1,79,3,486,0.49490835030549896
1201,110,16,3,1,4,10,218,46,1,100,4,513,0.4812382739212008
1202,109,4,2,1,0,6,193,38,3,78,2,436,0.5023041474654378
1203,81,2,3,1,0,2,339,11,0,45,1,485,0.5461711711711712
1204,153,3,0,6,0,7,261,23,0,55,5,513,0.504424778761062
1205,80,3,2,1,4,3,208,47,1,181,3,533,0.4372436423297785
1206,65,1,1,2,0,1,152,14,0,35,0,271,0.26413255360623783
1207,145,3,2,2,0,3,295,93,1,113,1,658,0.49473684210526314
1208,127,17,2,4,0,4,222,58,0,114,0,548,0.5367286973555337
1209,93,24,3,2,0,4,168,24,0,66,1,385,0.47123623011015914
1210,74,14,1,0,2,1,158,35,0,46,8,339,0.45139813581890814
1211,133,15,2,2,1,5,220,60,3,107,4,552,0.5064220183486239
1212,150,17,1,3,2,2,230,32,2,96,2,537,0.5413306451612904
1213,72,6,1,4,0,4,136,31,5,49,2,310,0.45790251107828656
1214,81,6,4,3,0,7,217,25,1,155,2,501,0.4192468619246862
1215,115,3,1,4,1,3,186,39,1,206,1,560,0.46473029045643155
1216,112,4,1,1,0,0,232,52,0,122,2,526,0.5275827482447342
1218,117,3,2,3,0,0,156,117,3,37,1,439,0.5799207397622193
1294,32,0,1,0,0,1,17,7,0,14,2,74,0.4868421052631579
1537,125,0,2,0,0,0,145,58,1,136,4,471,0.6416893732970027
1538,129,2,2,1,2,2,125,92,0,182,0,537,0.667910447761194
