SEZIONE,VITA,MOVIMENTO 5 STELLE,UNIONE POPOLARE DE MAGISTRIS,ALTERNATIVA PER L'ITALIA NO GREEN PASS,ITALIA SOVRANA E POPOLARE,PARTITO DELLA FOLLIA CREATIVA,PARTITO DEMOCRATICO,IMPEGNO CIVICO DI MAIO,ALLEANZA VERDI E SINISTRA,#NAME?,LISTA PARAGONE ITALEXIT,AZIONE ITALIA VIVA,NOI MODERATI,LEGA SALVINI PREMIER,FRATELLI D'ITALIA,FORZA ITALIA,TOTALE,AFFLUENZA
1,0,88,11,1,5,0,158,1,29,24,8,81,3,18,235,39,701,0.652700186
2,2,52,12,3,6,0,86,0,11,18,10,28,2,11,98,14,353,0.614982578
3,0,61,21,0,11,1,93,1,34,15,6,38,0,20,97,13,411,0.56846473
4,4,23,11,0,6,0,64,0,19,21,4,30,0,11,86,16,295,0.612033195
5,0,43,16,2,1,1,99,2,44,28,12,56,1,16,120,16,457,0.657553957
6,1,38,13,0,9,0,117,3,30,26,9,51,1,7,103,13,421,0.618208517
7,0,59,14,1,7,0,161,1,64,28,6,45,2,6,92,14,500,0.693481276
8,0,30,7,0,5,0,52,1,23,7,4,8,1,12,54,5,209,0.461368653
9,2,55,13,0,5,1,128,0,51,22,11,36,1,9,101,16,451,0.622928177
10,1,39,22,1,8,0,118,2,41,26,11,34,0,15,95,9,422,0.595204513
11,0,51,21,0,13,1,171,0,48,35,6,56,9,13,104,19,547,0.682044888
12,0,38,14,0,3,0,109,5,32,26,4,44,6,12,86,10,389,0.6078125
13,3,54,38,1,17,0,135,3,72,34,10,48,6,16,87,14,538,0.63368669
14,0,0,0,0,0,0,192,0,64,37,0,0,1,15,150,15,474,0.49375
15,2,60,16,1,3,0,181,0,39,36,8,72,4,9,105,28,564,0.685297691
16,3,38,10,0,2,0,151,1,27,23,8,44,2,17,98,21,445,0.619777159
17,1,62,14,3,10,0,168,2,33,36,6,71,5,19,125,22,577,0.686904762
18,1,21,3,1,2,0,80,2,14,18,2,82,5,12,83,30,356,0.654411765
19,2,11,7,0,2,0,66,0,10,12,2,49,2,12,91,19,285,0.587628866
20,0,37,6,1,8,0,111,1,21,27,6,112,2,24,141,32,529,0.640435835
21,4,57,6,0,5,0,163,0,26,23,8,103,4,30,143,26,598,0.727493917
22,1,66,9,1,9,0,147,3,25,25,9,79,4,21,142,30,571,0.626783754
23,2,45,14,0,16,2,92,1,17,17,12,58,2,16,115,18,427,0.599719101
24,1,49,5,1,11,1,107,1,29,14,5,55,3,17,142,18,459,0.608753316
25,9,128,18,1,12,1,171,4,35,35,23,53,0,32,195,20,737,0.605090312
26,0,33,4,1,2,0,58,1,15,16,3,34,1,5,83,8,264,0.565310493
27,2,30,4,0,3,0,76,0,14,13,7,60,2,8,83,7,309,0.629327902
28,0,27,3,0,2,0,124,0,20,32,4,86,7,10,101,23,439,0.630747126
29,2,26,8,0,2,1,187,1,23,31,3,99,1,11,87,13,495,0.693277311
30,0,26,4,0,7,0,154,0,26,24,6,130,2,13,119,20,531,0.721467391
