SEZIONE,MUNICIPIO,TOTALE,PECORILLI SONIA,ROCCA FRANCESCO,RINALDI ROSA,BIANCHI DONATELLA,D'AMATO ALESSIO,AFFLUENZA
1,3,391,2,217,2,38,132,0.28602779809802487
2,1,230,1,98,8,37,86,0.3668261562998405
3,1,251,5,89,13,32,112,0.31772151898734174
4,1,202,2,89,6,11,94,0.18617511520737326
5,1,287,2,117,3,22,143,0.3239277652370203
6,1,297,3,121,4,29,140,0.3949468085106383
7,1,351,2,98,6,37,208,0.3084358523725835
8,1,138,2,55,0,16,65,0.2123076923076923
9,1,310,3,117,3,46,141,0.35714285714285715
10,1,291,4,111,1,35,140,0.2978505629477994
11,1,375,5,122,3,42,203,0.44802867383512546
12,1,259,1,91,4,24,139,0.275531914893617
13,1,340,6,108,6,51,169,0.36836403033586135
14,1,484,4,177,11,35,257,0.465832531280077
15,1,359,2,121,5,38,193,0.4098173515981735
16,1,298,2,121,3,21,151,0.38303341902313626
17,1,367,3,122,5,40,197,0.417995444191344
18,1,212,0,102,1,13,96,0.3752212389380531
19,1,186,1,91,1,11,82,0.2325
20,1,348,1,172,1,25,149,0.39057239057239057
21,1,383,4,162,0,25,192,0.43473325766174803
22,1,397,3,157,9,35,193,0.40885684860968075
23,1,271,4,130,3,26,108,0.24261414503133394
24,1,279,4,134,2,17,122,0.3423312883435583
25,3,381,9,158,6,56,152,0.30676328502415456
26,1,146,0,57,2,14,73,0.15682062298603652
27,1,211,2,89,3,22,95,0.18557607739665788
28,2,276,2,101,2,17,154,0.32779097387173395
29,2,337,1,96,5,18,217,0.42604298356510745
30,2,340,2,136,1,23,178,0.3259827420901246
31,2,358,2,123,4,36,193,0.4344660194174757
32,2,384,1,167,8,37,171,0.40209424083769635
33,2,369,2,149,1,41,176,0.39762931034482757
34,2,448,0,182,1,27,238,0.4422507403751234
35,2,424,6,148,3,42,225,0.4444444444444444
36,2,351,4,160,1,21,165,0.3774193548387097
37,3,353,2,170,1,35,145,0.2781717888100867
38,2,301,3,125,1,37,135,0.3919270833333333
39,2,368,1,160,5,29,173,0.47361647361647363
40,2,327,0,140,4,35,148,0.40171990171990174
41,2,406,2,181,2,22,199,0.4704519119351101
42,2,281,3,102,1,31,144,0.29331941544885176
43,2,204,1,91,6,20,86,0.2527881040892193
44,2,240,2,89,3,34,112,0.3034134007585335
45,2,283,2,107,8,26,140,0.28877551020408165
46,2,333,3,178,2,31,119,0.4445927903871829
47,2,311,2,121,4,32,152,0.43435754189944137
48,2,356,4,128,3,35,186,0.43309002433090027
49,2,290,6,109,4,28,143,0.4067321178120617
50,2,393,3,152,4,34,200,0.4684147794994041
51,2,311,8,124,3,20,156,0.38112745098039214
52,2,393,2,159,5,37,190,0.4395973154362416
53,2,380,5,135,9,40,191,0.46511627906976744
54,2,403,4,169,3,51,176,0.4507829977628635
55,2,262,3,97,2,30,130,0.4012251148545176
56,2,374,2,167,2,29,174,0.46002460024600245
57,2,344,2,149,2,27,164,0.42574257425742573
58,2,398,5,148,2,39,204,0.4558991981672394
59,2,302,5,135,3,17,142,0.40482573726541554
60,2,302,1,113,2,31,155,0.3590963139120095
61,2,340,0,131,0,26,183,0.3310613437195716
62,2,336,1,157,3,23,152,0.31401869158878504
63,2,457,6,185,7,31,228,0.44936086529006886
64,2,378,0,161,3,19,195,0.4570737605804111
65,2,425,1,190,7,32,195,0.47117516629711753
66,2,316,1,151,1,34,129,0.3704572098475967
67,3,344,5,147,5,59,128,0.26259541984732826
68,3,366,5,131,10,42,178,0.42020665901262916
69,3,406,4,146,12,41,203,0.45261984392419174
70,3,293,2,113,7,33,138,0.262780269058296
71,3,342,3,105,7,56,171,0.3638297872340426
72,3,350,6,133,1,47,163,0.3808487486398259
73,3,466,4,123,10,58,271,0.4232515894641235
